title,contents,decoder_input,decoder_target
아빠 힘내세요 창작동요제,딩동댕 초인종 소리 아빠 아빠 오늘 아빠 얼굴 우울 걱정 마음 오늘 아빠 우리 아빠 우리 간주 딩동댕 초인종 소리 아빠 아빠 오늘 아빠 얼굴 우울 걱정 마음 오늘 아빠 우리 아빠 우리 아빠,sostoken 아빠 힘내세요 창작동요제,아빠 힘내세요 창작동요제 eostoken
예쁜 아기곰 창작동요제,털옷 아기곰 소망 얘기 행복해 비밀 얼굴 아기곰 반복,sostoken 예쁜 아기곰 창작동요제,예쁜 아기곰 창작동요제 eostoken
악어떼,정글 엉금 엉금 늪지대 악어떼 나올라 악어떼 반복,sostoken 악어떼,악어떼 eostoken
머리 어깨 무릎,머리 어깨 무릎 무릎 머리 어깨 무릎 무릎 머리 어깨 무릎 머리 어깨 무릎 반복,sostoken 머리 어깨 무릎,머리 어깨 무릎 eostoken
작은 동물원,삐약 삐약 병아리 음메 음메 송아지 따당 따당 사냥꾼 뒤뚱 뒤뚱 물오리 개구리 가재 푸르르르르르 물풀 반복,sostoken 작은 동물원,작은 동물원 eostoken
꼬부랑 할머니,꼬부랑 할머니 꼬부랑 고갯길 꼬부랑 꼬부랑 꼬부랑 꼬부랑 꼬부랑 꼬부랑 고개 열두고개 고개 고개 반복,sostoken 꼬부랑 할머니,꼬부랑 할머니 eostoken
우유송,콜라 홍차 커피 핫쵸코 사이 우유 맛좋고 색깔 영양 최고 깔끔한 입맛 우유 단백질 칼슘 비타민 건강 입맛 우유 우유 우유 우유 우유 우유 세상 우유 세상 상상하기 우유 우유 영어 밀크 우유 공부 한잔 게임 한잔 우유 우유 우유병 신선한 우유만 진짜 우유 우유 튼튼 얼른자라서 일꾼 되볼랍니다 우유 우유 우유 우유 우유 세상 우유 우유 우유 우유 우유 세상 세상,sostoken 우유송,우유송 eostoken
솜사탕 초등학교 학년 과정,나뭇가지 솜사탕 깨끗 솜사탕 엄마 나들이 솜사탕 구멍 솜사탕 반복,sostoken 솜사탕 초등학교 학년 과정,솜사탕 초등학교 학년 과정 eostoken
아기 다람쥐 또미 창작동요제,쪼로로롱 산새 아기 다람쥐 울창한 나무 아기다람쥐 또미 랄라 노래 아침 트랄라 아기다람쥐 또미 반복,sostoken 아기 다람쥐 또미 창작동요제,아기 다람쥐 또미 창작동요제 eostoken
피노키오,꼭두각시 인형 피노키오 머리 천사 피아노 미술 영어 공부 말썽쟁이 피노키오야 우리 아빠 꿈속 오늘밤 놀이 꼭두각시 인형 피노키오 장난감 숙제 시험 청개구리 피노키오야 우리 엄마 꿈속 오늘밤 간주 꼭두각시 인형 피노키오 머리 천사 학교 학원 독서실 페트 피노키오야 엄마 아빠 꿈속 오늘밤 피노키오 줄타 꼭두각시 줄타 아이,sostoken 피노키오,피노키오 eostoken
클로버 창작동요제,산골짜기 사이 샘터 사이 이슬 클로버 랄랄라 랄랄라 랄랄라 랄랄라 행운 얼굴 미소 한줄기 따스 햇살 희망 가득 친구 반복,sostoken 클로버 창작동요제,클로버 창작동요제 eostoken
도깨비 나라,이상 도깨비 방망이 무엇 뚝딱 뚝딱 반복,sostoken 도깨비 나라,도깨비 나라 eostoken
나비야,나비 나비 이리날 오너 노랑나비 흰나비 오너 봄바람 꽃잎 방긋방긋 참새 짹짹짹 반복,sostoken 나비야,나비야 eostoken
파란마음 하얀마음 초등학교 학년 과정,우리들 마음 여름 여름 산도들 나무 하늘 간주 우리들 마음 겨울 겨울 산도들 지붕 깨끗 마음 자라,sostoken 파란마음 하얀마음 초등학교 학년 과정,파란마음 하얀마음 초등학교 학년 과정 eostoken
고향의 초등학교 학년 과정,고향 산골 복숭아꽃 살구꽃 아기 진달래 대궐 자리 동네 꽃동네 새동네 고향 남쪽 바람 냇가 수양버들 동네,sostoken 고향의 초등학교 학년 과정,고향의 초등학교 학년 과정 eostoken
노을 창작동요제,바람 저녁연기 색동옷 언덕 노을 허수아비 웃음 초가지붕 고개 논밭 열매 가을바람 저녁연기 색동옷 언덕 저녁놀 반복,sostoken 노을 창작동요제,노을 창작동요제 eostoken
시골 하루 창작동요제,뽀오얀 안개 산무등 닭소리 초가집 굴뚝 연기 시골 하루 시작 산비둘기 구구 염소 음매 한가 강아지 농부 빨래 소리 뚝딱 물레방아 초생달 서산 귀뚜라미 자장가 아기 감기 소리 반복,sostoken 시골 하루 창작동요제,시골 하루 창작동요제 eostoken
가을 초등학교 학년 과정,하늘 고운길 트랄랄랄라 트랄랄랄라 트라랄랄랄라 노래 비단길 간주 하늘 고운길 트랄랄랄라 트랄랄랄라 트라랄랄랄라 노래 숲속 우리길,sostoken 가을 초등학교 학년 과정,가을 초등학교 학년 과정 eostoken
나무야,나무 나무 나무 나무 나무 다리 나무 나무 반복,sostoken 나무야,나무야 eostoken
동생,동생 곱슬머리 개구장이 동생 이름 하나 별명 서너 엄마 꿀돼지 아빠 두꺼비 누나 왕자님 어떤게 진짜 간주 동생 곱슬머리 개구쟁이 동생 이름 하나 별명 서너 건강 꿀돼지 두꺼비 용감 슬기 왕자님 어떤게 진짜,sostoken 동생,동생 eostoken
둥근 해가 떴습니다,자리 윗니 아랫니 세수 이쪽 저쪽 머리 거울 가방 인사 유치원 씩씩,sostoken 둥근 해가 떴습니다,둥근 해가 떴습니다 eostoken
도레미 초등학교 학년 과정,도화지 레코드 미나리 파랑새 솔방울 라디오 시냇물 도레미파솔라시 도도시라솔파미레 도미미 미솔솔 레파파 라시시 도미미 미솔솔 레파파 라시시 도레미파솔라시 도솔,sostoken 도레미 초등학교 학년 과정,도레미 초등학교 학년 과정 eostoken
돌과 바윗돌깨트려,바윗돌 돌덩이 돌덩이 돌맹이 돌맹이 자갈돌 자갈돌 모래알 랄라 랄라 랄라 랄라 간주 도랑물 개울물 개울물 시냇물 시냇물 강물 강물 바닷물 랄라 랄라 랄라 랄라,sostoken 돌과 바윗돌깨트려,돌과 바윗돌깨트려 eostoken
푸른 세상 만들기 창작동요제,하늘 뭉게구름 노래 숲속 아빠 엄마 우리 세상 우리 씨앗 우리 하늘 간주 아빠 엄마 우리 세상 우리 씨앗 우리 하늘 하자,sostoken 푸른 세상 만들기 창작동요제,푸른 세상 만들기 창작동요제 eostoken
아이들은 창작동요제,세상 노래 집집 노래 때문 어른들 아이들 아이들 아이들 노랫소리 반복,sostoken 아이들은 창작동요제,아이들은 창작동요제 eostoken
코끼리 초등학교 학년 과정,코끼리 아저씨 과자 코끼리 아저씨 소방수 반복,sostoken 코끼리 초등학교 학년 과정,코끼리 초등학교 학년 과정 eostoken
올챙이와 개구리 브레인 서바이버,개울가 올챙이 마리 꼬물꼬물 뒷다리 앞다리 팔딱팔딱 개구리 꼬물꼬물 꼬물꼬물 꼬물꼬물 올챙이 뒷다리 앞다리 팔딱팔딱 개구리 반복,sostoken 올챙이와 개구리 브레인 서바이버,올챙이와 개구리 브레인 서바이버 eostoken
숫자쏭,초조한데 이야이 이야이 사랑해 사랑해 오늘 육십억 지구 럭키 사랑해 요기조 미소 팔딱팔딱 가슴 구해 마음 사랑해 이맘 변치 않을,sostoken 숫자쏭,숫자쏭 eostoken
씨앗,뿌리 하룻밤 이틀 간주 하룻밤 이틀 뽀로롱 뽀로롱 뽀로롱,sostoken 씨앗,씨앗 eostoken
옆에 옆에,아래 아래 아래 아래 간주 아래 아래 아래 아래 간주 아래 아래 아래 아래,sostoken 옆에 옆에,옆에 옆에 eostoken
쥐가 마리,마리 마리 마리 마리 다섯 마리 여섯 마리 일곱 마리 여덟 마리 아홉 마리 마리 고양이 고양이 어디 쥐구멍 쥐구멍 쥐구멍 반복,sostoken 쥐가 마리,쥐가 마리 eostoken
산중호걸,산중호걸 생일날 각색 짐승 공원 무도회 토끼 여우 바이올린 짠짠 찌가찌 찐짠 찐짠 찐짠하더라 까불하더 반복,sostoken 산중호걸,산중호걸 eostoken
시계 초등학교 학년 과정,시계 아침 똑딱똑딱 시계 아침 똑딱똑딱 소리 똑딱똑딱 시계 똑딱똑딱 시계 똑딱똑딱 모두들 똑딱똑딱 반복,sostoken 시계 초등학교 학년 과정,시계 초등학교 학년 과정 eostoken
산토끼,산토끼 토끼 어디 깡총 깡총 어디 산고개 고개 나혼자 알밤,sostoken 산토끼,산토끼 eostoken
비행기 초등학교 학년 과정,비행기 우리 비행기 간주 비행기 우리 비행기,sostoken 비행기 초등학교 학년 과정,비행기 초등학교 학년 과정 eostoken
엄마돼지 아기돼지,아기돼지 엄마돼지 오냐오냐 꿀꿀꿀꿀 꿀꿀꿀꿀 꿀꿀꿀꿀꿀 아기돼지 바깥 엄마돼지 반복,sostoken 엄마돼지 아기돼지,엄마돼지 아기돼지 eostoken
나라의 어린이,나라 어린이 잠꾸러기 우리나라 나라 어린이 욕심쟁이 우리나라 간주 나라 어린이 거짓말 우리나라 나라,sostoken 나라의 어린이,나라의 어린이 eostoken
호키포키,오른손 오른손 오른손 호키포키 왼손 왼손 왼손 호키포키 오른발 오른발 오른발 호키포키 왼발 왼발 왼발 호키포키 키포키 키포키 키포키,sostoken 호키포키,호키포키 eostoken
옥수수 하모니카 초등학교 학년 과정,우리 아기 하모니카 옥수수 옥수수알 우리 아기 하모니카 도레미파 솔라시 소리 도미솔 도솔미 반복,sostoken 옥수수 하모니카 초등학교 학년 과정,옥수수 하모니카 초등학교 학년 과정 eostoken
코스모스,길가 코스모스 얼굴 길가 코스모스 얼굴 길가 코스모스 얼굴 반복,sostoken 코스모스,코스모스 eostoken
우리 유치원,꽃밭 우리들 유치원 우리 유치원 우리 유치원 아이들 꽃동산 간주 미끄럼 그네뛰기 선생님 풍금 우리 유치원 우리 유치원 아이들 꽃동산,sostoken 우리 유치원,우리 유치원 eostoken
밀과 보리,보리 보리 보리 누구 농부 손뼉 사방 간주 친구 친구 사람 랄라랄라 랄라 랄라랄라 랄라 랄라 랄라 랄라 랄라 랄라 랄라 랄라 랄라,sostoken 밀과 보리,밀과 보리 eostoken
비누방울 만화 아기공룡 둘리 삽입곡,쏙쏙쏙 방울 방울 내방울 내방울 쏙쏙쏙 방울 방울 무지개 하늘 하늘 동글동글 내방울 내방울 하늘 하늘 동글동글 무지개 구름 마음 두리둥실 두리둥실 아롱다롱 꽃잔치 두리둥실 두리둥실 쏙쏙쏙 방울 방울 내방울 내방울 쏙쏙쏙 방울 방울 무지개 하늘 하늘 동글동글 내방울 내방울 하늘 하늘 동글동글 무지개 바다건너 먼나라 간주 쏙쏙쏙 방울 방울 내방울 내방울 쏙쏙쏙 방울 방울 무지개 하늘 하늘 동글동글 내방울 내방울 하늘 하늘 동글동글 무지개 구름 마음 두리둥실 두리둥실 아롱다롱 꽃잔치 두리둥실 두리둥실 쏙쏙쏙 방울 방울 내방울 내방울 쏙쏙쏙 방울 방울 무지개 하늘 하늘 동글동글 내방울 내방울 하늘 하늘 동글동글 무지개,sostoken 비누방울 만화 아기공룡 둘리 삽입곡,비누방울 만화 아기공룡 둘리 삽입곡 eostoken
뾰로롱 꼬마 마녀 만화 뾰로롱 꼬마 마녀 오프닝,뾰로롱 꼬마 마녀 열두 마법 마법 천사 무지갯빛 미소 당신 신비 행복 가게 행복 가게 무엇 싶으세요 그것 스위트밍트 우리 친구 사이 고민 당신 눈동자 뾰로롱 꼬마 마녀 마법 나라 오로라 당신 보내드릴게요 신비 행복 가게 행복 가게 무엇 싶으세요 그것 스위트밍트 우리 친구 사이 고민 당신 눈동자 뾰로롱 꼬마 마녀 마법 나라 오로라 당신,sostoken 뾰로롱 꼬마 마녀 만화 뾰로롱 꼬마 마녀 오프닝,뾰로롱 꼬마 마녀 만화 뾰로롱 꼬마 마녀 오프닝 eostoken
우리 아빤 슈퍼맨 슈퍼맨이 돌아왔다 삽입곡,아빠 이틀 생각 쉽진 아빠 내겐 재밌지 아빤 슈퍼맨일까 아빠 슈퍼맨이야 아빠 이틀 내겐 행운 아빠 내겐 우리 아빤 슈퍼맨 간주 아빤 슈퍼맨일까 아빠 슈퍼맨이야 아빠 이틀 내겐 행운 아빠 내겐 우리 아빤 슈퍼맨,sostoken 우리 아빤 슈퍼맨 슈퍼맨이 돌아왔다 삽입곡,우리 아빤 슈퍼맨 슈퍼맨이 돌아왔다 삽입곡 eostoken
말썽쟁이 짱구 만화 짱구는 못말려 주제가,하나 짱구 세상 제일 말썽쟁이 짱구 천방지축 얼렁뚱땅 앞뒤 짱구 짱구 심심 답답 장난 천재 하늘 해님 사랑 비취 짱구 마음 있을거 친구들 오늘 장난 짱구 오늘 장난 말썽 짱구,sostoken 말썽쟁이 짱구 만화 짱구는 못말려 주제가,말썽쟁이 짱구 만화 짱구는 못말려 주제가 eostoken
치키치키차카차카 만화 날아라 슈퍼보드 오프닝,치키치키차카차카초코초코초 치키치키차카차카초코초코초 치키치키차카차카초코초코초 치키치키차카차카초코초코초 우리 있다네 우리 손오공 치키치키차카차카초코초코초 치키치키차카차카초코초코초 사랑 치키치키차카차카초코초코초 치키치키차카차카초코초코초 평화 반복 평화,sostoken 치키치키차카차카 만화 날아라 슈퍼보드 오프닝,치키치키차카차카 만화 날아라 슈퍼보드 오프닝 eostoken
안녕 자두야 오프닝 만화 안녕 자두야 오프닝,새콤하 달콤 오늘 우리 친구 이름 자두 명랑소녀 자두 어디 오늘 우리 친구 이름 자두 명랑소녀 자두 랄랄랄라 새콤해 랄랄랄라 달콤해 마음 새콤하 달콤 친구 최고 친구 기분 최고 새콤하 달콤 친구 최고 친구 어디,sostoken 안녕 자두야 오프닝 만화 안녕 자두야 오프닝,안녕 자두야 오프닝 만화 안녕 자두야 오프닝 eostoken
카드캡터 체리 만화 카드캡터 체리 오프닝,기분인걸 속마음 사랑 마법 열쇠 그것 세상 이유 이젠 숨바꼭질 우울 하늘 오늘 마음 간주 누군가 느낌인걸 향기만 가득 순수 마음 어디 한눈 이젠 숨바꼭질 우울 하늘 오늘 마음,sostoken 카드캡터 체리 만화 카드캡터 체리 오프닝,카드캡터 체리 만화 카드캡터 체리 오프닝 eostoken
함께 걸어가는 만화 포켓몬스터 엔딩송,빠람 빠람 하늘 그곳 빠람 빠람 그곳 무엇 노랠 두려움 우리 행복만 빠람 빠람 우리 빠람 빠람 따뜻한 모닥불 서로,sostoken 함께 걸어가는 만화 포켓몬스터 엔딩송,함께 걸어가는 만화 포켓몬스터 엔딩송 eostoken
구름빵 만화 구름빵 오프닝,동글동글 동글 구름빵 몽실몽실 몽실 구름빵 홍비 홍시 친구들 하늘 엄마 구름 구름빵 구름 구름빵 구름빵 구름빵 여행 동글동글 동글 구름빵 몽실몽실 몽실 구름빵 홍비 홍시 친구들 하늘 엄마 아빠 친구들 할아버지 할머니 웃음 이야기 구름빵 구름빵 구름빵 여행 구름빵 구름빵 구름빵 여행,sostoken 구름빵 만화 구름빵 오프닝,구름빵 만화 구름빵 오프닝 eostoken
꼬마 자동차 붕붕 만화 꼬마 자동차 붕붕 오프닝,붕붕붕 자동차 꼬마 자동차 붕붕붕 꽃향기 꼬마 자동차 엄마 모험 세계여행 우리 꼬마차 꼬마차 랄랄라 랄랄라 꼬마차 친구 희망 사랑 꼬마 자동차 반복,sostoken 꼬마 자동차 붕붕 만화 꼬마 자동차 붕붕 오프닝,꼬마 자동차 붕붕 만화 꼬마 자동차 붕붕 오프닝 eostoken
개구리 왕눈이 만화 개구리 왕눈이 오프닝,개구리 소년 개구리 소년 무지개 연못 비바람 일곱 피리 불어 삘릴리 개굴개굴 삘릴릴리 삘릴리 개굴개굴 삘릴릴리 무지개 연못 웃음 반복,sostoken 개구리 왕눈이 만화 개구리 왕눈이 오프닝,개구리 왕눈이 만화 개구리 왕눈이 오프닝 eostoken
달려라 하니 만화 달려라 하니 주제곡,엄마 세상 하늘땅 엄마 세상 모습 눈물 세상 별명 악바리 엄마품 세상 세상 세상,sostoken 달려라 하니 만화 달려라 하니 주제곡,달려라 하니 만화 달려라 하니 주제곡 eostoken
장금이의 만화 장금이의 주제곡,아침 햇살 상쾌 바람 따뜻한 풀잎 손길 이슬 모두 행복 두렵진 미소 세상 가득 시작할래요 서투를진 처음 하나씩 하나씩 사랑 햇살 간주 행복 가득 미소 세상 가득 시작할래요 서투를진 처음 하나씩 하나씩 사랑 햇살,sostoken 장금이의 만화 장금이의 주제곡,장금이의 만화 장금이의 주제곡 eostoken
디지몬 어드벤처 오프닝,비밀 열쇠 미로 모험들 현실 세상 환상 디지털 세상 마음속 날개 이대 희망 어둠 어쩌다 함정 위기 생각 우리 그곳 어디 디지몬 친구들 세상 승리 우리 디지몬 친구들 세상 승리 우리 반복,sostoken 디지몬 어드벤처 오프닝,디지몬 어드벤처 오프닝 eostoken
태극천자문 만화 태극천자문 오프닝,하늘 대지 생명 우주 시간 삼라만상 세상 이치 천자문 지수화풍 천지 태극천자문 해달처럼 위어조 언재호 파파파 절대 말거야 태극천자문,sostoken 태극천자문 만화 태극천자문 오프닝,태극천자문 만화 태극천자문 오프닝 eostoken
세쌍둥이송 슈퍼맨이 돌아왔다 삽입곡,하나 하나 하나 하나 하나 생각 기적 엄마 아빠 기적 대한민국 만세 하나 하나 하나 하나,sostoken 세쌍둥이송 슈퍼맨이 돌아왔다 삽입곡,세쌍둥이송 슈퍼맨이 돌아왔다 삽입곡 eostoken
빛으로 세상을 한국전력,세상 따뜻해 우리들 마음 가득 사랑 행복 행복 세상,sostoken 빛으로 세상을 한국전력,빛으로 세상을 한국전력 eostoken
뭉게구름,뭉게구름 하늘 하늘 빗물 어디 우리 뭉게구름 반복,sostoken 뭉게구름,뭉게구름 eostoken
아름다운 세상 초등학교 학년 과정,하늘 태양 아래 하나 눈빛 나지막 사랑 노래 가슴 가슴 마다 고운사랑 우리 세상 간주 혼자선 세상 무엇 사랑 안개꽃 서로 가슴 가슴 마다 고운사랑 우리 세상 간주 가슴 가슴 마다 고운사랑 우리 세상 가슴 가슴 마다 고운사랑 우리 세상 라라라 가슴 가슴 마다 고운사랑 우리 세상 가슴 가슴 마다 고운사랑 우리 세상 라라라,sostoken 아름다운 세상 초등학교 학년 과정,아름다운 세상 초등학교 학년 과정 eostoken
예쁜 예쁜,마음 나비 마음 고우 구름 나비 무꽃 구름 반복 마음 나비 마음 나비,sostoken 예쁜 예쁜,예쁜 예쁜 eostoken
도토리의 부산 창작동요대회,숲속 도토리 풀잎 산새 노래 참나무 꾼다네 하늘 가지 시원 나뭇잎 그늘 도토리 마음 행복 반복,sostoken 도토리의 부산 창작동요대회,도토리의 부산 창작동요대회 eostoken
궁금이 창작동요제,창문 미루나무 길쭉 여름 해님 새벽 가슴 세상 투성이 세상 알고픈 투성이 세상 궁금 투성이 별명 궁금 창문 미루나무 길쭉 여름 해님 간주 어딘가 엄마 우리 아빠 강아지 강아지 세상 투성이 세상 알고픈 투성이 세상 궁금 투성이 별명 별명 궁금,sostoken 궁금이 창작동요제,궁금이 창작동요제 eostoken
아기 고양이 창작동요제,꼬리 엉덩이 실룩 폴짝쿵 폴짝쿵 아기고양이 앞발 선반 뒷발 식탁 폴짝쿵 눈치 치즈 야금 콜까닥 냠냠 폴짝쿵 입가 치즈 노랑 치즈 당당 발걸음 아기고양이 하나 주인 간주 꼬리 엉덩이 실룩 폴짝쿵 폴짝쿵 아기고양이 앞발 선반 뒷발 식탁 폴짝쿵 눈치 치즈 한개 야금 콜까닥 냠냠 폴짝쿵 입가 치즈 노랑 치즈 당당 발걸음 아기고양이 하나 주인,sostoken 아기 고양이 창작동요제,아기 고양이 창작동요제 eostoken
아빠 붕붕카,아빠 붕붕카 붕붕카 어른 아빠 운전할래요 오늘 아빠 붕붕카 회사 빠이빠 빠이빠 아빠 붕붕카 저녁 아빠 붕붕카 반복,sostoken 아빠 붕붕카,아빠 붕붕카 eostoken
가을바람 초등학교 학년 과정,가을바람 뱅글뱅글뱅글 단풍잎 뱅글뱅글뱅글 은행잎 가을바람,sostoken 가을바람 초등학교 학년 과정,가을바람 초등학교 학년 과정 eostoken
즐거운 여름,여름 여름 여름 여름 시원 냇가 고기잡이 랄랄라 미꾸라지 뱀장어 송사리떼 올챙이 반복,sostoken 즐거운 여름,즐거운 여름 eostoken
겨울 물오리,얼음 강물 동동동 물오리들아 얼음장 맨발 물오리 이젠 찬바람 오리들 반복,sostoken 겨울 물오리,겨울 물오리 eostoken
어른들은 몰라요,우리 무엇 어른들 우리 무엇 어른들 장난감 어른들 아무것 마음 어른들 아무것 알약 물약 소용 혼자 우리들 따뜻 사랑 간주 장난감 어른들 아무것 마음 어른들 아무것 알약 물약 소용 혼자 우리들 따뜻 사랑 주세요,sostoken 어른들은 몰라요,어른들은 몰라요 eostoken
어리둥절 코끼리 나라,코끼리 백화점 코걸이 인기 간주 개구리 백화점 물안경 인기 간주 코끼리 백화점 허리띠 인기,sostoken 어리둥절 코끼리 나라,어리둥절 코끼리 나라 eostoken
당근쏭,당근쏭 당근 당근 당근 당근 당근 당근 사랑 당근 당근 당근 당근 당근 언제 당근 당근 당근 당근 행복 당근 당근 사랑해 사랑해 당근 짜증 생각해 생각 당근쏭,sostoken 당근쏭,당근쏭 eostoken
아빠는 엄마를 좋아해,앞뜰 나뭇잎 해님 방긋 고개 우리 웃음꽃 아빠 엄마 엄마 아빠 아빠 엄마 엄마 아빠 아빠 퇴근 양손 선물 우리 꼬마들 엄마 아빠 엄마 엄마 아빠 아빠 엄마 엄마 아빠 휴일 아무 살짝꿍 우리 꼬마들 아빠 엄마 아빠 엄마 엄마 아빠 아빠 엄마 엄마 아빠 랄라 랄랄랄라 랄라 랄랄랄라 랄라 랄랄랄라 랄라 랄랄랄라,sostoken 아빠는 엄마를 좋아해,아빠는 엄마를 좋아해 eostoken
마귀할멈과 유리공주,도깨비 마귀할멈 유리성 유리공주 마술 그때 왕자님 도깨비 마귀할멈 용감 공주님 결혼 행복 살았대 반복,sostoken 마귀할멈과 유리공주,마귀할멈과 유리공주 eostoken
검은 고양이 네로,그대 고양이 리본 어쩌다 토라져 마음 고양이 친구 고양이 고양이 이랬다저랬다 장난꾸러기 랄랄랄랄랄 랄랄라 멋쟁이 그대 고양이 달콤한 후회 고양이 친구 검은고양 고양이 이랬다저랬다 장난꾸러기 랄랄랄랄랄 랄랄라 세상 그대 눈동자 고요 어둠 그대 마음 든든해 고양이 친구 고양이 고양이 이랬다저랬다 장난꾸러기 랄랄랄랄랄 랄랄라 고요 어둠속 그대 마음 든든해 고양이 친구 고양이 장난 고등어 통조림 랄랄랄랄랄 랄랄라,sostoken 검은 고양이 네로,검은 고양이 네로 eostoken
여름 냇가 시냇물은 졸졸졸졸,시냇물 졸졸졸졸 고기들 버들가지 꾀꼬리 꾀꼴꾀꼴 황금 여름 아씨 마중 노랑 치마 단장 시냇가 빨래,sostoken 여름 냇가 시냇물은 졸졸졸졸,여름 냇가 시냇물은 졸졸졸졸 eostoken
암탉을 잡으려다 귀여운 꼬마,꼬마 닭장 암탉 놓쳤다네 닭장 여우 갔다네 꼬꼬댁 암탉 소리 꼬꼬댁 암탉 소리 꼬마 망설였다네 간주 꼬마 돼지우리 돼지 놓쳤다네 늑대 같다네 꿀꿀꿀 돼지 소리 꿀꿀꿀 돼지 소리 꼬마 망설였다,sostoken 암탉을 잡으려다 귀여운 꼬마,암탉을 잡으려다 귀여운 꼬마 eostoken
