,title,contents,decoder_input,decoder_target
17,이상하게 미국에서 인기를 끄는 간식,쿠키를 굽기 이전의 형태인 반죽 도우 상태가 나름 찰기도 있고 맛도 적절하게 있기에 별미의 간식으로 평가 받았는데 이걸 판매하는 가게들이 상당히 늘어났다고 한다 보통은 퍼서 컵에 담아주며 반죽의 종류별로 맛도 다양하다고 이후 쿠키 도우는 지금도 인기를 자랑중이며 언젠가는 미국 뿐만이 국가에서도 보일거라 추정중이라고,sostoken 이상하게 미국에서 인기를 끄는 간식,이상하게 미국에서 인기를 끄는 간식 eostoken
18,장모님이 저의 엄마입니다,후로 장모님과 아내의 사이는 멀어지게 아버지 폰을 우연히 봤는데 아버지와 장모님이 연애한다는 것을 알고 충격 받음 알고 보니 장모님이 나를 낳아준 엄마였음 진짜 때린다 사연남은 죄야,sostoken 장모님이 저의 엄마입니다,장모님이 저의 엄마입니다 eostoken
19,제로투 댄스 유행이 불러버린 참극,달링프라 똥맛보고 정신을 못차리는 인싸 아싸걸 뺏어가서 업보받음 댄스로 퍼져야 한다고,sostoken 제로투 댄스 유행이 불러버린 참극,제로투 댄스 유행이 불러버린 참극 eostoken
20,대한민국이 핀란드에 수출,수출함 이런거 아님 진짜 핀란드에서 굳이 한국산 러시아산 사기에는 미국 눈치가 보이고 많이 사지도 않을거고 실전용도 아니고 예비군용 체험용인데 거기다가 자기네들 제식소총하고 비슷해야하고 뭣보다 동구권 말고는 만들어 줄수있는데가 한국밖에 없었다고함,sostoken 대한민국이 핀란드에 수출,대한민국이 핀란드에 수출 eostoken
21,넥슨 근황,눈에가는 넨도로이드들 게임개발 프로젝트가 드롭이 되면 개발자들은 사내에서 대기발령상태로 떨어지게되고 프로젝트가 시작되면 그곳에 이력서를 넣어 들어가야하는 사내에서도 구직자 신세가 대단하다 넥슨 이러니 맨날 똥겜들만 줄창내놓지,sostoken 넥슨 근황,넥슨 근황 eostoken
22,백종원 역대급 창렬가격에 분노,천원아니것슈 원짜리쥬 우삼겹 샐러드 파스타 저사람들 제정신이유 백종원 가격에 분노 맛도 별로,sostoken 백종원 역대급 창렬가격에 분노,백종원 역대급 창렬가격에 분노 eostoken
23,딸로 위장하여 등교한 유부녀,미국 학교에서 담임교사가 없어서 저렇게 학생 얼굴도 모르는거임 수업듣는 학생 얼굴을 모르는 수준인데 학생들이 총기 인까지 가는지 알겠다 저렇게 학생에게 무신경하니깐 그러는거지 학부모가 걸린 시각은 교시때였음 이전까지 전혀 몰랐음,sostoken 딸로 위장하여 등교한 유부녀,딸로 위장하여 등교한 유부녀 eostoken
24,교수 실험기구는 여성을 다루듯이 다뤄주세요,교수 실험기구는 여성을 다루듯이 다뤄주세요 여성은 다루면 되나요 교수 여성말인가요 여성은 실험기구를 다루듯이 다뤄주세요,sostoken 교수 실험기구는 여성을 다루듯이 다뤄주세요,교수 실험기구는 여성을 다루듯이 다뤄주세요 eostoken
25,게임 입문 일차 아버지에게 디시인,입문 일차 아버지에게 졌다고 알고보니까 아버지 젊었을적 노량진 정인 오락실 출신임 선해서 떡으로 마지막으로 개못하잖아 당함,sostoken 게임 입문 일차 아버지에게 디시인,게임 입문 일차 아버지에게 디시인 eostoken
26,한국인의 대표적인 착각,콘소메 맛이 스위트콘 맛인줄 아는 사람들이 넘나 많음 광고에 옥수수까지 그려 넣으니 더더욱 오해가 생김 실제 콘소메 스프는 맑은 고기국임 옥수수랑은 연관 없음,sostoken 한국인의 대표적인 착각,한국인의 대표적인 착각 eostoken
27,부산항에 들어오는 영국항모,중국견제 목적으로 아시아순방 영국국방부 영국은 한국과 가장 오랜친구 한국 거문도사건 영일동맹 세계사악의 근원 프렌드요,sostoken 부산항에 들어오는 영국항모,부산항에 들어오는 영국항모 eostoken
28,년간 실종된 여성이 다락방에서 갇힌 발견되었던 사건,부유한 귀족 집안에서 태어나고 성장한 블랑쉬 모니 실종 사진과 발견 당시 사진 귀족가의 여인이 년간 실종되었다가 발견되었던 사건임 당시 프랑스 귀족사회는 부모가 정한 사람과 결혼해야 관습이 있었는데 블랑쉬 모니는 살에 부르주아 계층이아닌 파산한 변호사 사실상 하층민 취급을 받았던 남성과 사랑에 빠졌고 집안과 크게 다투고 실종되었음 실종 당시 가정 불화로 인한 가출로 결론짖고 용의자 파산한 변호사 주변을 조사했지만 찾지 못했음 최종적으로 해외 도피 실종으로 어영부영 조사가 끝남 법무장관 뮤슈는 편지 통을 받게 됐는데 그가 받은 서명되지 않은 편지에는 매우 심각한 사건을 알립니다 여성이 년간 쓰레기와 오물로 뒤덮인 다락방에 갇혀 모니 부인의 집입니다 그녀는 실종된 블랑쉬 모니입니다 라고 적혀 있었고 조사에 들어가게 발견된 곳은 가족들의 다락방 어머니가 자기가 정한 사람과 결혼하지 않는다고 다락방에 년간 감금생활을 시킴 발견 당시 몸무게는 운신이 힘들어서 주변은 대변으로 인한 분변독과 욕창때문에 온몸이 썩어가는 중이였다고함 그녀의 어머니는 딸이 가난한 변호사와 사랑에 빠져 다락에 가뒀다 자백한 일이 지나 감옥에서 사망했고 친언니도 사실을 알고있어지만 방치했음 페이크 뉴스가 진짜 이었던 비참한 사건 반대하는 사랑을 했다는 이유로 인생을 송두리째 잃어버린 그녀는 사망하기 전까지 말은 자신의 선택을 후회하지 않는다 였다고 한다 라고 블로그 글에서 올라오던데 감금에서 풀려서나서 년만에 정신이 나가서 정신병동에서 숨을 거뒀기에 윗말은 루머,sostoken 년간 실종된 여성이 다락방에서 갇힌 발견되었던 사건,년간 실종된 여성이 다락방에서 갇힌 발견되었던 사건 eostoken
29,갓오브워 호불호 거르고 단점인 부분,트롤 가면 트롤 차가운 트롤 뜨거운 트롤 딱딱한 트롤 이름이 그렌델인 트롤 망자의 다리를 지키는 파수꾼 마투그르 헬손 이라고 불리는 트롤 트롤 트롤 또롤 또로로롤롤로 오브 워가 부정 못할 명작임에도 돌려먹기 우려먹기 재탕이 나온 갓오브워가 산타 모니카 스튜디오가 망할 위기에 있을 간신히 만들어낸 게임이기 때문이다 아마 성공을 거두고 회사도 안정되었을 만들어진 후속작에서는 확실하게 개선될 부분으로 여겨진다,sostoken 갓오브워 호불호 거르고 단점인 부분,갓오브워 호불호 거르고 단점인 부분 eostoken
30,정가 보다 비싸게 받는 이유,정가 보다 비싸게 파는 정가 보다 비싸게 팔아야 이윤이 남기 때문입니다,sostoken 정가 보다 비싸게 받는 이유,정가 보다 비싸게 받는 이유 eostoken
31,강남스타일 영상 근황,레딧 서버 터지니까 레딧 강남스타일 영상 댓글창으로 몰려와서 레딧 대신해서 쓰고 있음,sostoken 강남스타일 영상 근황,강남스타일 영상 근황 eostoken
32,일본 한국 라면 표절 역전 시대,동남아에서 불닭볶음면 짝퉁을 일본의 닛신라면에서 판매중 그냥 비슷한 만드는거야 그러려니 하는데 굳이 제품 포장에 한글이 들어가 있음,sostoken 일본 한국 라면 표절 역전 시대,일본 한국 라면 표절 역전 시대 eostoken
33,백신을 맞았는데 이상하다,자꾸 머릿속에서 군단이라는 단어가 떠오르고 저그를 충성하고 싶어진다 부딫히면 안될것 같아서 조심조심 다니는,sostoken 백신을 맞았는데 이상하다,백신을 맞았는데 이상하다 eostoken
34,수천년동안 사용되었다가 사라진 물건,주판 오래 전인 기원전 메소포타미아 수메르 문명에서도 사용되어 년대까지도 보였지만 이후 계산기 컴퓨터의 등장과 발전으로 큐브와 장난감 지능 개발을 위한 유희용 도구로 전락하게 된다 탑승감 만큼은 지금도 높게 평가 받는다고,sostoken 수천년동안 사용되었다가 사라진 물건,수천년동안 사용되었다가 사라진 물건 eostoken
35,우리집 현재 근황,철거하다가 건물 붕괴된 학동인데 퇴근 하다 보니까 지금은 경찰들이랑 소방관이 막고 잔해 파내는 중임 밤늦게 고생 많으시네,sostoken 우리집 현재 근황,우리집 현재 근황 eostoken
36,개발진이 손수 인정한 외부요소 악용,최근 데드바이데이라이트에서 생존마 아바타에 달수 있는 기념 부적을 내놓음 당연히 저걸 다는 순간 시진핑핑이 사진급으로 게임상에서 최고의 어그로를 받을 있음 개발진의 반응 상대로 터널링하면 정지먹임 개발진이 공언한 만큼 이용하면 호구될 예정,sostoken 개발진이 손수 인정한 외부요소 악용,개발진이 손수 인정한 외부요소 악용 eostoken
37,한국영화 역사상 가장 충격적인 오프닝,거사를 준비하는 안중근 운명의 하얼빈 야수의 심정으로 이토 히로부미를 노려보던 안중근은 적절한 때를 노려 이토에게 권총을 겨눈다 어찌된 일인지 암살을 대비하던 일본군에 거사가 실패하고 안중근은 재판도 없이 현장에서 사살되고 만다 암살 미수 사건 조선 초대총독에 오른 이토 히로부미 파고다공원 불법집회 무산 이토의 뒤를 이어 총독 이노우에 위임 상해 훙커우 공원에서 윤봉길 현장에서 사살 연합군이 차대전에 참전 일본군의 만주국 점령 일본이 아닌 베를린에 최초로 원폭이 투하되면서 세계대전이 종료 일본이 상임이사국에 가입 사쿠라 인공위성 발사 대한민국 서울이 아닌 일본 나고야 올림픽이 개최 일본 단독의 월드컵 개최 이동국 선수가 일본 월드컵에 참가해 뛰고 가슴에 일장기를 달고서 경성 어찌된 일인지 경성인데 일본 풍경과 다름없는 모습 표지판도 일본어이고 조선총독부 건물까지 건재하게 남아있는 듯한 상황 경성 광장 한복판에 세워진 도요토미 히데요시의 동상 조선 총독부를 등지고 서있는 모습으로 영화 오프닝은 끝난다 그렇다 세계관에서 대한민국이란 국가는 없어졌고 독립하지 못한 일본에 종속되어 역사가 뒤바뀐 것이다 장동건 나카무라 토오루 주연의 한일합작 영화 년작 로스트메모리즈 참신한 소재에 비해 영화적 완성도가 아쉬운 영화지만 가량의 충격적인 도입부는 아직까지도 회자되고,sostoken 한국영화 역사상 가장 충격적인 오프닝,한국영화 역사상 가장 충격적인 오프닝 eostoken
38,일본의 개당 만원짜리 계란,일반슈퍼 달걀 만원짜리는 노른자가 굉장히 진한 오렌지색을 노른자색상은 사료와 연관이 있다고함 평의 광대한 토지에서 마리정도의 닭이 매일 달걀을 생산하는데 방목 해서 키우기 스트레스가 없으며 옥수수를 베이스로 가지의 재료를 섞어넣은 사료 고인물이 아닌 흐르는 물만 먹여 계란자체에 냄새가 나지 않으며 단맛과 굉장히 깊고 농후한 맛이 난다고함 실제 후기를 찾아보면 맛있는 계란이긴하나 만원이나 가치가 있는가에 대해서는 개인이 선택할 문제라고함 먹어본 유게이 말로는 맛있다네,sostoken 일본의 개당 만원짜리 계란,일본의 개당 만원짜리 계란 eostoken
39,거주 이전의 자유가 없다는 베트남의 문화,베트남은 거주 이전의 자유가 없는 나라 중에 하나인데 특정 대도시나 특정 주를 결코 벗어나서 이사하기가 불가능에 가까움 도시에서 태어난 베트남 사람들은 죽을 때까지 도시에서 살아가는 경우가 대다수라고 있고 도시나 주로 이사하고 싶을 경우에는 자신이 살고있는 도시의 공안에게 허가를 받아야 공안의 허가를 받는다는 매우 어려움 해야지 공안에게서 이사할 있도록 허가를 받느냐면 고등학생 자녀를 베트남 부모들이 자녀가 매우 우수한 성적으로 고등학교를 졸업해서 하노이 대학교 입학 허가가 떨어졌을 때임 되면 학생의 가족이 하노이로 이사할 있는 합법적인 길이 열리게 되고 공안도 하노이로의 거주지 이전을 허락해주거든 베트남 정부에서는 하노이 대학교에 입학하는 학생들을 자국의 고급 인력으로 보고있기 혜택을 준다고 봐야지 북한도 거주 이전의 자유가 없다는 것은 베트남과 공통점이지만 노동당원일 경우에는 평양 거주를 허락한다는 것이 차이점이고 하노이 대학교를 다니고 있는 사람들과 그냥 지방 도시에서 고등학교를 졸업한 사람들의 차이점이 있는데 그게 무엇이냐면 하노이 대학교를 졸업한 사람들은 결혼 상대를 고르고 골라서 후반에 결혼을 경우가 매우 편이고 지방에서 고등학교만 졸업한 사람들은 초반에 일찍 결혼을 경우가 대부분임 베트남에서의 결혼도 부분에서 차이점이 있음,sostoken 거주 이전의 자유가 없다는 베트남의 문화,거주 이전의 자유가 없다는 베트남의 문화 eostoken
40,일본 돈까스가 더이상 얇게 펴지 않게 이유,연육기의 개발덕에 필요가 없어졌기 때문 연육기는 년대 미국에서 텐더라이저라는 이름으로 개발되었는데 실제로 년대 이후로 일본에서는 얇고 넓적한 돈까스가 자취를 감추게 된다,sostoken 일본 돈까스가 더이상 얇게 펴지 않게 이유,일본 돈까스가 더이상 얇게 펴지 않게 이유 eostoken
41,물컹한 식감을 싫어하지 않는다면 먹어봐도 좋을 대전의 명물 음식,대전 유성구의 구즉동은 도토리로 만든 도토리 묵이 유명한데 이걸로 만든 도토리 묵밥이 꽤나 맛있기도 도토리 묵의 물컹한 식감을 싫어하지 충분히 먹어봐도 결코 나쁘지 않을 음식이기도 하고 게다가 시원한 식감을 자랑하는 음식이기 여름에 별미로 즐기기에는 그만인 음식이기도,sostoken 물컹한 식감을 싫어하지 않는다면 먹어봐도 좋을 대전의 명물 음식,물컹한 식감을 싫어하지 않는다면 먹어봐도 좋을 대전의 명물 음식 eostoken
42,일본 에이펙스 사건 존나 웃기네,일본인 유저가 총맞고 지렁이됨 아군이 도와주러 근데 주변에 있는걸 도와주러 오는 아군이 모름 지렁이 유저가 신경쓰지 말고 도망치라고 아군한테 채팅 도망쳐가 일어로 니게로 인종차별로 정지먹었는데 항의해도 풀어주는,sostoken 일본 에이펙스 사건 존나 웃기네,일본 에이펙스 사건 존나 웃기네 eostoken
43,공포의 요즘 테슬라 불량 수준,모델 신형 한쪽 안들어옴 인수거부 못함 무조건 수리 수리 한달 걸림 모댈 옆구리 터짐 문제 당영히 인수거부 불가 볼트 조립 심각한 불량 터짐 브레이크 밟힐 있는 매우 심각한 불량임 열어야 방전이라서 비상탈출 장치로 열고 나가려고 했는데 비상탈출 장치가 불량이라서 의식 잃고 죽을뻔 무서운데 진짜,sostoken 공포의 요즘 테슬라 불량 수준,공포의 요즘 테슬라 불량 수준 eostoken
44,한국 장인이 만드는 억짜리 시계,옻칠 자개 명인이 디자인 제작한 세이코 보석하나 없이 가격 만엔 만엔 천만원 모든 시계들은 발매 완판 됬으며 중고시장이 아니고 옥션에 나온적은 한번 있다고함 자개장 전용복 장인 일본 국보급 호텔인 메구로가조엔 호텔은 사방팔방 옻칠에 자개가 많은데 년대 후반 복원공사를 장인이 지휘하면서 일본에서 명장대우를 받음 참고로 당시 공사규모는 대충 엘리베이터만 수준 꾸준하게 작품활동을 한국에선 협업 제의도 안들어오고 일본과 유럽 럭셔리 브랜드와 협업하심 세이코 크레도르 라인은 최고의 럭셔리라인이라 가격이 미쳤는데 그마저도 발매하는 순간 당일 완판됨,sostoken 한국 장인이 만드는 억짜리 시계,한국 장인이 만드는 억짜리 시계 eostoken
45,요즘 꼰대라 불리는 아저씨들의 년대 평가,요즘 애들이 꼰대라고 생각하시는 대분들도 년전에는 기성세대처럼 직장생활에 목매달기 싫고 일정한 틀에 얽매이기 싫고 인스턴트 좋아하고 게임이랑 만화 하신분들임,sostoken 요즘 꼰대라 불리는 아저씨들의 년대 평가,요즘 꼰대라 불리는 아저씨들의 년대 평가 eostoken
46,내고 광고 시청하는,영화관 상영 시작 내외로 광고를 내보내며 영화관 전체 수입의 차지할 정도로 상영 직전 광고 수익이 짭짤하다고 한다 개인들이 여러 차례 손해보상 소송도 했으나 대기업인 영화관 측의 승리로 끝남 이를 막기 위한 법안도 여러 차례 나왔으나 영화관 측이 교묘하게 빠져나가고 있고 공론화도 되지 않아 유야무야 넘어가는,sostoken 내고 광고 시청하는,내고 광고 시청하는 eostoken
47,드래곤볼 가성비 최악의 기술들,자폭 자세한 설정이 풀린건 아니지만 자폭뎀도 전투력이 비례하는지라 약한놈이 자폭써봤자임 그렇다고 강한놈이면 애초에 자폭을 필요가없다,sostoken 드래곤볼 가성비 최악의 기술들,드래곤볼 가성비 최악의 기술들 eostoken
48,연예계 구라같은 진실,이상우 출근길 코끼리 사건 박세준 사자 멱살 사건 이덕화 이경규 낚시썰 대결,sostoken 연예계 구라같은 진실,연예계 구라같은 진실 eostoken
49,충격적인 이름의 돈까스 가게,돈까스는 마시는 이라는 충격적인 이름으로 화제가 가게를 한발 앞서 찾아가봤다 이름만이 메뉴도 굉장했다 사진은 규카츠,sostoken 충격적인 이름의 돈까스 가게,충격적인 이름의 돈까스 가게 eostoken
50,사과했지만 의외로 근본이었던 광고,킹오브 파이터즈 올스타즈의 북미광고 사과문 올리고 삭제당함 아랑전설 애니메이션의 테리 그렇다 테리는 원래 무직 백수한량이었다 애니메이션 배틀 파이터즈 아랑전설은 멀쩡한 캐릭이 죽거나 다른기술을 쓰는등 원작과는 동떨어졌다고 시리즈를 관통하는 진의 비전서나 마이의 섹시노선 플레이어의 승리를 보고 심통을 부리던 단순한 와페니즈 소악당이던 기스가 악의 카리스마로 묘사된것 대부분의 캐릭터성은 여기서 잡혔다,sostoken 사과했지만 의외로 근본이었던 광고,사과했지만 의외로 근본이었던 광고 eostoken
51,살아나는 방법,구질구질한 행사나 과문 필요 없이 이거 공수해다가 정가에만 팔아도 다시 살아남,sostoken 살아나는 방법,살아나는 방법 eostoken
52,타입 비밀,진실은 단자 배열이 달라서 앞뒤가 존재 하는건 맞지만 꽂는 구멍이 대칭으로 되어있기 꼽던 상관없다 뒤집어서 정상이 된다면 그건 접촉불량이다,sostoken 타입 비밀,타입 비밀 eostoken
53,집이 재건축 됐지만 쫒겨나지 않은 세입자,나무 전봇대를 콘크리트로 바꿨는데 나무 전봇대 안에 왕부리새가 만들어 놓은 집은 잘라서 옆에 붙여놓음,sostoken 집이 재건축 됐지만 쫒겨나지 않은 세입자,집이 재건축 됐지만 쫒겨나지 않은 세입자 eostoken
54,열도에서보는 몰락한이유,일본의 오리콘차트가 판매만 하던 집계방식이었는데 악수회 시디끼워팔기등으로 년을 해먹었는데 이게 빌보드차트방식 복합적으로 바뀌다보니까 발비비데가 없어지고 너무 뜨고 시대가 변했는데 계속같은것만 고집하다가 무너지게됐다고 하네,sostoken 열도에서보는 몰락한이유,열도에서보는 몰락한이유 eostoken
55,서양인들이 한국와서 의외로 싫어했던 음식,술이라고 해서 기대했는데 이건 싱글몰트도 아니고 중국의 고량주 일본의 사케도 아닌것이 향도 색도 없는데 맛은 화장품맛 입에 들어오면 시체안치소 향나고 짜리인데 양주랑 다르게 한잔만 마셔도 취기가 돌게만드는 도데체 안에 넣었고 만들었는지 의심가게 만드는 소주,sostoken 서양인들이 한국와서 의외로 싫어했던 음식,서양인들이 한국와서 의외로 싫어했던 음식 eostoken
56,일본에서 유행했던 여자력을 뽐내는 방법,역시 몰랐어요 단해요 센스 좋네요 그렇구나 뛰어난 여자 회화 사시스세소 물러나있어 죽고싶은 놈부터 덤벼라 빈틈 투성이군 전장에 자비따윈 무용 정도냐,sostoken 일본에서 유행했던 여자력을 뽐내는 방법,일본에서 유행했던 여자력을 뽐내는 방법 eostoken
57,년간 아내를 믿은 기러기아빠,아내가 딸의 조기유학을 위해 딸과 미국으로 출국 남편은 한국에서 태권도 도장을 운영하며 기러기아빠 생활 시작 매달 생활비와 교육비 송금 년후인 건강이 나빠지고 경제적 어려움까지 겹쳐 아내의 귀국을 요구 했으나 아내는 거절 계속 기러기 생활 이어감 그로부터 년뒤 남편은 이혼을 요구했으나 아내는 천만원을 주면 합의 이혼해주겠다고 답신함 합의 이혼을 위해 천만원을 송금해줬지만 아내는 핑계를 대며 귀국 이혼 거부 출국이후 년간 한번도 귀국을 않은 아내를 상대로 한국에 소송 돈벌어주는 기계였던 남편이 이혼소송을 청구하자 당황했는지 아내는 남편이 외도를 해서 저런 이혼 청구를 한거뿐이라고 이혼반대반론 법원에서는 남편의 이혼청구는 정당하다며 혼인 파탄 책임은 아내라고 판결 판사도 판결문쓰다가 울었을듯,sostoken 년간 아내를 믿은 기러기아빠,년간 아내를 믿은 기러기아빠 eostoken
58,남의 잔치에 가서 깽판친 한국인,일본에서 열린 국제 야구대회인 프리미어 노골적으로 일본 팀을 밀어준걸로 유명한데 경기 일정도 일본팀 편하게 잡고 일본 경기에 일본인 심판 배정 비율이 높았음 반면 한국팀은 빡빡한 일정 일본 도착 훈련도 못하고 본경기 들어감 봐도 일본이 준비한 일본만의 잔치상이었으나 한국이 우승함 꺼억 국이 짜더라 여기서 일본인들의 멘탈을 갈아버렸다는 전설의 빠던이 나옴,sostoken 남의 잔치에 가서 깽판친 한국인,남의 잔치에 가서 깽판친 한국인 eostoken
59,만화 업계의 살아있는 괴물,레이브 페어리 테일 작가 마시마 히로 기본적으로 화요일 금요일까진 작화 작업으로 하루 페이지 원고를 하고 토요일은 일요일을 네임 월요일은 협의를 거치는 루틴을 거친다 실제로는 페이지 이상을 한다 하루 일하고 거기서 게임을 한다 얼마전까진 주간연재 개랑 네임 개를 하고 있었는데 주일에 원고 페이지 네임은 페이지였는데 게임하고 취침할 시간은 있었고 여러분이 생각하는 것보단 힘들진 않았다,sostoken 만화 업계의 살아있는 괴물,만화 업계의 살아있는 괴물 eostoken
60,일본에 있었던 무존재 사건,짜리 관심종자가 가게에 들어가서 이쑤시개로 식료품에 구멍내고 돌아다니거나 물건도 훔침 유투브등을 통해 인터넷에 자랑질 미성년자인데 술먹었다고 들뜸 전국적으로 쫒기자 좋아하면서 어차피 인생 사형당해도 상관없음 체포 주변 중학교 동창들에게 얼굴 보여주자 학교였는지 모르겠다 반응들,sostoken 일본에 있었던 무존재 사건,일본에 있었던 무존재 사건 eostoken
