,title,contents,decoder_input,decoder_target
843,손정민 그만하라고 가당치 않다,한강공원에서 실종됐다가 숨진 발견돼 손정민 사망 경위 관련 쏟아지는 의혹을 해소할만한 결정적 증거나 증언이 밝혀지지 않고 있는 가운데 아버지가 답답한 심경을 토로했다 씨의 아버지는 블로그를 통해 경찰은 정민이를 한강에 모든 옷을 입은 채로 자연스레 걸어 들어간 사람으로 만들어가고 기가 막힌 시간에 기가 막힌 증인이 출현했다 짜맞추는 일만 남은 느낌이다 예상은 했지만 서운하다 했다 앞서 경찰은 씨가 실종된 당일 남성이 한강에 들어가는 것을 봤다는 목격자들의 증언을 확보했다고 밝혔다 반포한강공원 인근에서 낚시를 하던 목격자들은 한강에 들어가는 남성의 모습이 수영하는 듯해서 응급상황이라 생각하지 못했다고 진술한 것으로 전해졌다 경찰은 아직 해당 남성의 신원을 단정하지 못하고 씨의 아버지는 씨와 술을 마시던 친구 씨를 겨냥 이미 초기에 증거는 없어지고 제일 중요한 사람은 먹고 기억 난다고 하는데 수사권이 없는 제게 방법이 있었을까 라고 했다 그러면서 우리가 있는 모든 것을 제안하고 수사를 요청하지만 눈은 데를 보고 강조했다 지난 오후 서울 서초구 반포한강공원 수상택시 승강장 인근에서 손정민 씨의 아버지가 휴대전화에 담긴 아들의 생전 모습을 취재진에게 보여주고 그는 벽에 부딪혀 힘겨워하는 아내는 지금도 반포대교 보다가 잠들었다 세상에 많은데 그곳을 비추는 없냐고 하더라 전했다 이어 보인다는 제안이 있어 한남대교를 찾았으나 극단적 선택을 막기 위한 것으로 다리 난간만 비추고 있었다고도 했다 이에 극단적 선택하려고 분들을 방지하기 위해 준비가 있는데 정작 한강공원은 먹고 입은 채로 들어가도 구해주지 않는다는 사실을 저보고 믿으라고 한다 한탄했다 씨의 아버지는 어차피 예상했던 바니 움직임을 준비해야 한다 밝혔다 그러면서 일각에서 씨의 사망 경위 관련 씨에게 의심의 눈초리를 보내지 말고 경찰 수사를 믿고 기다려야 한다는 우려를 의식한 저보고 그만하라 말은 가당치 했다 그는 저는 전단지를 붙이고 현수막을 걸면서 정민이를 위한 활동 추모를 위해 블로그에 올리기 시작했다 여러분의 관심이 생기면서 언론의 인터뷰 요청이 거지 누구처럼 언론을 초대한 적도 제가 인터뷰를 요청한 적도 적었다 그러면서 제가 했느냐 블로그 올리고 정민이 찾아달라고 외엔 인터뷰에 응한 것밖에 찾아오시는 분들이 공감해주고 걱정해주시면 너무 좋지만 맘에 드시는 분들은 오면 그만인 것을 상관하지 않는다 덧붙였다 방향이 흘러가든 제가 계획한 일들을 진행할 거다 앞으로도 많이 응원해주시면 된다 우리나라는 자신의 의사를 자유롭게 밝힐 있고 법이 허용하는 모든 것을 행사할 있는 나라 아니냐 강조했다 씨의 사망 경위에 경찰 수사가 진행되고 있고 아직 결론이 나오지 않았는데도 확인되지 않은 내용과 근거 없는 의혹들은 계속 쏟아지고 프로파일러들과 경찰 출신 전문가들도 엇갈린 의견을 내놓고 특히 일부 유튜버와 누리꾼은 실종 당시 있던 친구와 가족에 대한 신상을 공개하며 의혹을 제기했다 이들은 진상규명의 일환이라고 주장하지만 전문가들은 명백한 위법 행위라고 경고했다 박지혜 빠른 미리보는 이데일리 만나보세요 빡침해소 청춘뉘우스 스냅타임 종합 경제정보 미디어 이데일리,sostoken 손정민 그만하라고 가당치 않다,손정민 그만하라고 가당치 않다 eostoken
887,당근마켓 수익 어찌 일이냐면요,비우고 정리하고 이직과 이사 나에게 찾아온 새로운 변화를 맞이하며 오마이뉴스의 모토는 모든 시민은 기자다 입니다 시민 개인의 일상을 소재로 사는 이야기 뉴스로 싣고 있습니다 당신의 살아가는 이야기가 오마이뉴스에 오면 뉴스가 됩니다 당신의 이야기를 들려주세요 정들었던 자취방의 모습 정누리 최근 둥지를 옮겼다 수원으로 이사했다 새로운 회사에 다니게 되었기 때문이다 대의 할을 보낸 직장을 돌연 그만둔 단순했다 새로운 일을 배워보고 싶었기 때문이다 시국에 무모한 선택일 있었지만 멀쩡한 본가 놔두고 거리에 월세방을 구했던 과거의 나는 별반 다를 있나 인해 편의 새둥지 자취생 이야기 쓰게 알았던가 중고거래 가계부 정누리 둥지가 바뀌는 순간 이직을 결정하자마자 모든 일이 폭풍처럼 휘몰아쳤다 회사 인수인계 자취방 정리 새로운 구하기 정리하기 이사 견적 내기 중고거래 짐을 최소한으로 줄이려 있는 잡동사니를 팔았더니 그달 중고거래 가계부 실적이 원을 기록했다 친구들이 집안 살림 거덜 냈냐 놀라워했다 주말마다 수원으로 집을 봤다 세입자와 시간을 조율해야 하다 보니 하루에 방을 봐도 개밖에 없었다 처음 듣는 지역에 동네 특성은 무엇인지 어렸을 때부터 나고 자란 곳에서 사는 아무 연고 없는 왕복 거리에서 새로운 자취방을 구하는 것은 천지 차이였다 한정된 금액에 맞춰 짧은 기간 내에 방을 구하려니 기상천외한 방도 많았다 컨디션에 월세 원을 받는다고 생각했던 곳도 있었고 창문에 묵직한 쇠창살이 달려있는 호텔을 개조한 다양한 타입 등의 방이 있었다 서너 군데를 둘러보고 그나마 시간과 금액 컨디션이 맞는 적당한 방을 계약했다 원래 살던 김포로 돌아갈 시간이 촉박해 나도 모르게 부산스럽게 했더니 중개사분도 덩달아 뛰어다니며 도장을 찍었다 계약을 했다고 끝이 이제 입주 청소와 이삿짐 견적도 내야 한다 김포는 워낙 오래 살았고 이사를 자주 했기에 베테랑 업체 서너 군데는 꿰고 있었다 수원도 그렇겠거니 하고 조사를 해보는데 웬걸 괜찮은 청소업체 자체가 그마저도 전화를 해보면 이미 만큼의 예약은 찼다 겨우겨우 청소 어플로 예약을 했는데 내가 정보 조사를 탓일까 최소 명이 와서 서너 안에 끝낼 거라 예상했는데 분이 무려 시간을 청소하고 가셨다 그분도 당황했고 나도 당황했다 김포로 다시 돌아가기도 애매해 수원 거리를 떠돌아다녔다 이삿짐은 다행히 어플을 통해 수월하게 예약했다 신청서를 올리면 안에 명의 기사님들이 견적을 보내주는 것이 놀라웠다 옮긴다 끝인 알았는데 엘리베이터가 있는지 도와줄 사람은 있는지 박스 개수는 되는지 모든 요인을 고려한다는 것도 처음 알았다 이것을 일일이 업체마다 설명하려면 힘들었을 텐데 번거로움을 줄였다 낮에는 퇴사를 준비했다 알바를 제외하면 직장을 그만두는 것은 처음이다 보니 인수인계서 작성도 심혈을 기울여 했다 아쉬워하는 동료 직원들이 날이 바뀔 때마다 퇴사일을 카운트다운해주었다 빈자리를 최대한 느끼지 못하게 후임이 들어온다면 처음 보고도 업무를 파악할 있게 모든 업무 현황과 문서 위치 등을 정리해 놓았다 정리를 하니 기보 적는 느낌이었다 내가 일을 했었나 싶기도 하고 그동안 쌓인 데이터가 내가 밟아온 길처럼 보였다 퇴사를 번도 생각해본 것은 아니지만 갑작스럽게 그만둘 몰랐거늘 놀랍게도 깔끔하고 퇴사일이 되니 이전엔 전혀 일이 없던 컴퓨터가 자꾸 먹통이 되었다 과장님이 퇴사를 하니 컴퓨터가 아쉬운가 보다 하며 웃으셨다 언제든 놀러 오라며 다들 손을 흔드셨다 집에 돌아와 못다 감사 인사를 드리니 너는 어디든 적응 거야 라는 따뜻한 말이 돌아온다 둥지가 바뀌는 순간 말이 가장 따뜻하고 된다 자취방에 누워서 정누리 혼자이기에 가능했던 일들 드디어 이사가 끝났다 프로젝트는 엉망진창 흘러도 어떻게든 마무리가 된다 정말 없는 칸에 있으니 새로운 둥지에 안착했다는 느낌이 든다 갑자기 마음이 울컥했다 그간 본가에서 거리에서 월세를 내고 밥을 먹으며 자취 아닌 자취를 하긴 했지만 그것은 어디까지나 예비훈련에 가까웠다 부모님이 근처에 있었고 퇴근 맥주 있는 친구들이 동네에 있었다 이곳에는 아프고 힘들더라도 최대한 힘으로 해결해야 한다 왕복 거리도 멀게 느껴지는데 해외로 유학 갔던 친구들은 그걸 견딘 것인가 새삼 대단하게 느껴졌다 침대에 앉아 오마이뉴스 에서 그간 연재했던 새둥지 자취생 이야기 다시 찬찬히 읽었다 별일이 있었다 밥솥 놓을 공간이 없어 가마솥 짓는 법을 배운 선물 받은 귤과 막걸리로 샤베트를 만들어 먹은 층간소음을 겪으며 난생처음 발망치 라는 단어를 알게 좀처럼 대화할 기회가 없을지도 모를 공장 아저씨와 당근마켓으로 밥솥을 거래한 본가에 있었다면 경험을 있었을까 아마 엄마가 지어주신 밥을 먹느라 가마솥을 알아볼 생각도 했을 것이고 부엌 어지럽히지 말라는 말에 믹서기에 귤과 막걸리를 갈아 셔벗을 실험해 생각도 않았을 것이고 식구들과 떠드느라 윗집 옆집에 사는지 들리지 않았을 것이다 혼자이기에 스스로 생각하고 기울이고 기록했다 이제 나는 다시 한번 둥지를 옮긴다 지금부터는 오로지 힘으로 재료를 구하고 나만의 방식으로 집을 짓고 비바람에 무너지면 보수공사도 해야 한다 가끔은 서럽다 우리는 알고 자란 새가 한번 나는 법을 배우면 하늘은 것이 된다는 것을 자유를 알기에 우리는 오늘도 홀로 살기를 도전하는 것이다 필자는 새로운 자취 생활이 익숙해질 무렵 새둥지 자취생 이야기 시즌 돌아오려 한다 지금까지 공감해주며 읽어주신 모든 분들께 감사 인사를 올리고 싶다 자취를 꿈꾸는 사람 자취를 하고 있는 사람 자취를 했던 사람 밖의 홀로 있는 모든 이들에게 행운이 있기를 바라며 이만 글을 마친다 오마이뉴스 오마이뉴스 시리즈 에서 연재하세요 이재명 경기도지사 추천 이재명과 기본소득 오마이뉴스 취재 후원하기,sostoken 당근마켓 수익 어찌 일이냐면요,당근마켓 수익 어찌 일이냐면요 eostoken
901,비트코인 폭락 달러대까지 밀려,시각 현재 주요 암호화폐 시황 코인마켓캡 갈무리 박형기 대표적인 암호화폐인 비트코인이 수직 낙하하고 오후 현재 비트코인은 글로벌 암호화폐 시황 중계사이트인 코인마켓캡에서 전보다 폭락한 달러를 기록하고 비트코인은 달러도 하향 돌파할 기세다 비트코인은 이날 오전 시만 달러 선에서 거래됐었다 하루도 못돼 달러 폭락한 것이다 비트코인뿐만 시총 이더리움도 전보다 폭락한 달러를 기록하고 시총 위인 카르다노 폭락한 달러 센트를 시총 위인 도지코인도 폭락한 센트를 기록하고 이날 암호화폐가 폭락세를 보이고 있는 것은 기관투자자들이 변동성이 극심한 암호화폐 시장에서 나와 금시장으로 옮기고 있다는 보도가 나오자 개미들이 패닉 셀링 나섰기 때문으로 풀이된다 메인에서 한글 코로나 코리아,sostoken 비트코인 폭락 달러대까지 밀려,비트코인 폭락 달러대까지 밀려 eostoken
903,국민차 등극한 현대차 크레타,특화 모델로 소형 시장 평정 인도 러시아 시장 점유율 브라질선 판매량 증가 가성비 가족용 차로 인기 국내선 단종 나가 러시아 브라질 인도 사진 한경 크레타 리오 한국에선 생소하지만 인도 러시아 브라질 등에서는 대부분 사람이 아는 이름이다 현대자동차와 기아가 코나 셀토스 등과 플랫폼을 이용해 현지에서만 생산 판매하는 전략 차종들이다 크레타는 인도 러시아 등에서 국민 불릴 정도다 짐을 실을 있고 가성비 뛰어나 가족용 차로 인기를 끌고 크레타 인도 부문 현대차 크레타는 지난해 인도 시장에서 팔렸다 소형 스포츠유틸리티차량 가장 많이 팔린 모델이다 년엔 마루티스즈키의 소형 브레자에 이어 위를 기록했지만 지난해 세대 모델을 출시하면서 위로 올라섰다 판매량은 작년 기간보다 급증했다 인도 현지 매체에 따르면 크레타는 차량용 반도체 부족과 수요 증가가 겹치면서 최대 개월 기다려야 받을 정도로 주문이 몰려 크레타는 러시아에서도 지난해 대가 판매돼 소형 시장에서 점유율 위를 차지했다 올해 판매량은 작년 기간보다 늘었다 크레타는 브라질에서도 기간 대가 판매돼 증가했다 브라질에선 현대차의 현지 전략 소형 지난해 팔려 현지 전체 차종별 판매 순위에서 위를 기록했다 현대차의 해치백 지난해 국내에서 단종됐지만 유럽과 인도에서는 인기가 여전하다 해외에서 대가 팔렸다 보다 작은 해치백인 기간 해외에서 증가한 대가 판매됐다 국내 판매가 종료된 기아 리오와 지난해 단종된 쏘울 스토닉도 해외에서 생산돼 꾸준히 판매가 이뤄지고 판매량은 리오가 스토닉 쏘울 등이다 인도 남미 동유럽 등에서 가족용 차로 각광받고 해치백 모델도 유럽에서 인기 현대차 기아의 해치백과 소형 유럽 인도 베트남 브라질 등에서 강세를 보이는 소형 모델과 비교해 크기가 작아서다 그러면서도 짐을 실을 있는 공간은 넉넉한 장점으로 꼽힌다 인도 브라질 등에서는 도로 사정이 좋지 않아 차량 보호를 위해 차체가 높은 선호한다 도로 폭이 좁거나 차선이 그려져 있지 않은 경우가 많아 보다는 날렵하게 움직일 있는 작은 모델이 팔린다 현대차 기아의 브랜드 이미지와 경쟁 모델에 비해 우수한 성능도 판매 증가에 영향을 미쳤다 인도 자동차 전문매체 카데코는 현대 크레타는 타타의 해리어보다 가격이 저렴한데도 기능이 많아 인기가 높다 평가했다 국내에선 소비자들이 차를 선호하는 트렌드가 강해지고 쏘울 스토닉은 소형 중에서도 기아 셀토스 등과 비교하면 크기가 작은 편이다 해치백은 국내에선 인기가 현대차 벨로스터 한국 아베오 르노삼성 클리오 대부분 해치백이 단종됐다 자동차업계 관계자는 한국 소비자들이 해치백 디자인을 낯설어하는 데다 짐을 싣고 자주 다니는 일이 보니 해치백의 장점이 부각되지 않는다 말했다 김형규 경제지 받아보세요 한경,sostoken 국민차 등극한 현대차 크레타,국민차 등극한 현대차 크레타 eostoken
916,손정민 친구 의심하는 아니다,손정민 부친 친구 입장문 언급 의미를 두지 않는다 서울 반포한강공원에서 실종됐다 숨진 발견된 고손정민씨와 당일 있었던 친구 씨가 입장을 밝힌 가운데 부친 손현씨가 친구를 의심하는 것이 라고 밝혔다 실화탐사대 손현씨는 더팩트와의 통화에서 친구 측이 입장문을 놓고 의미를 두지않는다 면서 의혹을 제기하지 말아달라고 내놓은 하다 말했다 그는 일반 사람도 들어가기 힘들고 얕아서 누워있어도 물에 떠내려가지는 않는다 친구를 의심하는 제일 아는 사람이니까 들어갔는지 알려달라는 이라고 했다 실화탐사대 앞서 전날 손정민씨의 모친이 사건과 관련해 처음으로 입장을 밝힌 손씨의 모친은 월간조선과의 인터뷰에서 사건 당일 아들과 있었던 친구 씨와 가족의 친분 관계에 언급했다 모친은 씨와 대학 입학하면서부터 친하게 지냈다 면서 씨의 어머니외 사건 주에도 만났다 자주 교류했던 사이라고 말했다 사건 당일 씨의 어머니가 손정민씨를 찾기 위해 한강까지 가면서 자신에게 전화하지 않은 이유에 모친은 가장 놀라고 이해할 없는 그거다 라며 아이한테 일이 생겼는데 늦은 밤이라고 전화 사이가 라고 강조했다 이어 반에 전화를 받았으면 저에게 전화를 번은 하고도 남을 사이다 라면서 너무 이상하다 그것도 실종 부부가 우리와 만났을 때는 분에 씨가 전화했단 얘기를 숨겼어요 연락만 해줬어도 정민이가 있었을 이라고 주장했다 모친은 씨가 진심으로 사죄하면 용서하겠느냐 질문에 주검으로 돌아온 아이를 부검까지 해야 했다 절대 용서할 단호히 말했다 곁에 있던 부친 손현씨도 아들이 쓰러져 있는 사진을 보고 용서할 있는 부모가 있겠습니까 라고 덧붙였다 한편 오후 고손정민씨 실종 사건 당일 남성이 한강으로 걸어 들어갔다는 제보가 나온 것으로 알려졌다 실화탐사대 데일리안 이지희 데일리안 구독만 스타벅스쿠폰이 쏟아진다 제보하기 데일리안 변형 무단배포,sostoken 손정민 친구 의심하는 아니다,손정민 친구 의심하는 아니다 eostoken
921,유령 김포 아파트값만 홀렸다,정치권 지자체 촉구에 작년 올라 지난달 국토부 발표 하락세로 정부 공식 언급 부천까지 급행철도 빨리 개설 의견도 김진숙을 만나다 경향신문 경향신문 프리미엄 유료 콘텐츠가 달간 무료 경향신문,sostoken 유령 김포 아파트값만 홀렸다,유령 김포 아파트값만 홀렸다 eostoken
978,선생님 남친이랑 하셨길래 피곤하세요,학생도 교사도 소셜미디어 세대 디지털 교권 침해 심각하다 선생님 소셜미디어 친구 받아주지 마세요 경기도 고양시의 중학교 학년 담임을 맡고 있는 이모씨는 학생이 몰래 찾아와 말을 보고 의아해했다 알고 보니 이씨와 친구를 맺은 일부 남학생들이 이씨의 페이스북 과거 사진을 캡처해 돌려보며 낄낄댔다는 것이다 이씨는 깜짝 놀라서 페이스북과 인스타그램을 비공개로 전환했다 했다 디지털 기기와 소셜미디어에 익숙한 년대생 교사와 년대생 학생들이 공존하는 학교에서 디지털 교권 침해 점차 커지고 과거 교실 안에서 벌어졌던 일들이 디지털 공간으로 옮겨가는 것이다 본지가 만난 년대생 교사 명은 카카오톡이나 소셜미디어를 통한 교권 침해를 겪어본 적이 했다 이들은 카카오톡이나 소셜미디어 프로필 숨기는 것은 이제 기본이라고 했다 간혹 연인과 찍은 사진이라도 있으면 학생들이 성희롱에 가까운 짓궂은 질문을 던진다는 것이다 경기도 중학교의 담임교사는 수업 없이 선생님 피곤하다 했더니 남학생이 밤에 하셨길래 피곤하세요 남자 친구랑 시간을 보내셨길래 라고 혼을 적이 했다 성에 관심이 많을 때긴 카카오톡이나 소셜미디어 프로필 등을 대며 얘기를 한다는 것이다 서울의 중학교 교사 엄모씨도 최근 여중으로 학교를 옮기면서 업무용 휴대폰을 만들었다 학생들이 프로필이나 소셜미디어를 보고 여자 친구랑 한강에서 데이트했냐 질문을 던지는 난감했다 했다 소통이 가능한 디지털 특징상 학생들이 밤늦게 연락을 하거나 문자를 보내는 일도 잦다고 한다 올해 경기도 수원시의 초등학교에 처음 발령받은 임모씨는 휴대폰 번호를 알려줬더니 학생들이 밤늦은 시간에도 중요하지 않은 내용으로 연락을 해온다 요즘 초등학생들은 밤에 연락하면 실례 라는 개념이 없어 했다 충북의 초등학교 학년 담임교사 김모씨도 근무시간 외에도 오는 학생들의 연락이 담임 업무 가장 힘들다 했다 교사 학생 소통뿐 학교 폭력까지 에서 벌어지는 것도 교사들의 부담을 키우고 일일이 모니터링하기 어려운 사이버 공간의 책임도 고스란히 교사에게 지워지기 때문이다 충북의 초등학교 학년 담임 박모씨는 학교에서 학생들끼리 단톡방을 만들도록 두지 않고 교사도 참여하도록 하고 있는데 학년쯤 되면 다들 몰래 단톡방을 만든다 지도했다는 내용이라도 남기기 위해 학생들에게 당부한 등을 기록으로 남겨놓고 했다 그는 요새 교사들 사이에선 적어야 생존한다 적자생존 이란 말까지 나온다 했다 디지털 교권 침해를 피하기 위해 최근 젊은 교사들 사이에선 개인용 업무용 폰을 따로 쓰는 필수처럼 통하고 지역 교육청에서도 교원 업무용 안심번호 등을 제공하고 조선일보가 뽑은 확인해보세요 최고 기자들의 받아보세요 신문 조선일보 앱으로 편하게,sostoken 선생님 남친이랑 하셨길래 피곤하세요,선생님 남친이랑 하셨길래 피곤하세요 eostoken
980,탈원전 정부 멀쩡한 밀어버렸다,탄소배출 없는 원전 줄이고 나무 억그루 새로 심겠다 드론에 포착된 마구잡이 벌목 현장 지난 강원도 홍천군 두촌면 일대 숲이 벌채로 인해 민둥산이 년생 잣나무가 자라던 이곳은 산림청으로부터 보조금을 받아 어린 나무를 심기로 하고 벌목을 진행했다 사진은 드론으로 촬영했다 고운호 정부가 탄소중립 위해 멀쩡한 숲을 대거 벌목한 어린 나무 그루를 새로 심는 방안을 추진해 논란이 일고 수령 나무가 탄소 흡수 능력이 떨어진다 이유를 댔지만 전문가들은 오래된 숲의 탄소 저감 능력이 뛰어나다는 연구 결과도 많다 반박한다 정부 들어 탄소 배출량이 적은 원전을 하나둘 줄이면서 탄소 저감 목표가 차질을 빚자 엉뚱하게 오래된 나무 화살을 돌리는 모양새다 국민의힘 윤영석 의원이 산림청에서 받은 자료에 따르면 산림청은 이산화탄소 저감량을 년까지 늘리기 위해 연간 조림 면적을 현재 에서 확대해나가겠다고 밝혔다 지금보다 연간 늘린다는 매년 늘리면 년까지 년간 서울 면적의 면적에 나무를 심어야 한다 문제는 나무를 심을 땅이 많지 않다는 있는 나무를 베고 나무를 심는 식으로 운용할 수밖에 산림청은 이를 위해 연간 벌목 규모를 목재 수확량 기준 에서 확대하겠다는 계획도 공개했다 벌목 과정에서 긁어낸 나무와 부산물 모습 고운호 산림청은 그루 나무 심기 목표 가운데 그루는 북한에 그루는 도시 신규 조성 숲에 심겠다고 했다 대부분인 그루는 기존 숲을 베고 심을 수밖에 없는 현실이다 산림청은 토종 소나무와 잣나무 등은 탄소 흡수 능력이 떨어진다고 보고 테다소나무와 백합나무 외래종 속성수를 집중적으로 심을 것으로 알려졌다 이에 강원도와 경북 등지 대규모 경제림 수령 나무들이 집중 타깃이 되고 정부가 조림 비용의 가량을 보조금으로 지급하고 벌목 규제도 완화하면서 민간 사유림에서도 갑작스러운 벌목 일어날 조짐이다 의원은 지금보다 벌목 면적을 정도 인위적으로 늘리겠다는 이라며 산림청이 탄소 감축 효과도 미지수인데 무리하게 밀어붙이고 했다 산림청은 우리나라 산림은 년생 또는 년생에서 가장 왕성하게 자란다 면서 나무가 적정 연령에 이르면 수확해서 젊은 숲으로 순환시키는 것이 바람직하다 했다 대규모로 수확한 목재는 앞으로 친환경 건축 자재 활용과 바이오매스 발전 등으로 수요를 창출해나가겠다는 입장이다 이에 부산대 조경학과 홍석환 교수는 나무는 이상까지도 꾸준히 탄소를 몸체에 축적해 나가는데 중간에 나무를 베어버리면 저장됐던 탄소가 그만큼 공기 중에 배출돼 버리는 이라며 엔진톱과 포클레인 트럭 화석 연료 장비를 동원한 벌목 과정에서도 탄소가 배출돼 저감 효과가 떨어진다 했다 윤여창 서울대 산림과학부 교수는 자라면 고급 건축이나 가구에 쓰일 나무들을 보조금을 줘가며 베라고 권장하는 이라며 산림의 효용은 탄소중립에만 있는 것도 라고 했다 미국 중국 과학자들이 네이처 발표한 연구 따르면 지름이 나무보다 지름이 나무가 빨리 커진다 나이가 들수록 탄소를 잡아두는 능력이 커진다는 것이다 조선일보가 뽑은 확인해보세요 최고 기자들의 받아보세요 신문 조선일보 앱으로 편하게,sostoken 탈원전 정부 멀쩡한 밀어버렸다,탈원전 정부 멀쩡한 밀어버렸다 eostoken
1047,엠씨더맥스 제이윤 사망,제이윤 인스타그램 그룹 엠씨더맥스 멤버 제이윤이 사망했다 엠씨더맥스 소속사 이엔씨는 공식 입장문을 통해 너무 안타깝고 비통한 소식을 전하게 되었다 면서 엠씨더맥스 멤버 제이윤이 곁을 떠났다 밝혔다 소속사 측은 갑작스러운 비보에 엠씨더맥스 멤버들과 이엔씨 임직원 슬픔 속에 고인을 애도하고 제이윤에게 아낌없는 응원과 사랑을 보내주신 여러분께 안타까운 소식을 전하게 너무나도 비통한 심정 이라고 했다 그러면서 제이윤이 편안히 있도록 고인의 명복을 빌어주시라 남겨진 유족을 위해 추측성 기사는 자제해주실 것을 간곡히 부탁드린다 당부했다 제이윤은 밴드 문차일드로 데뷔했다 가수 이수 등과 엠씨더맥스로 활동하며 팬들에게 사랑을 받았다 우울감 말하기 어려운 고민이 있거나 주변에 어려움을 겪는 가족 지인이 있을 경우 자살 예방 핫라인 희망의 전화 생명의 전화 청소년 전화 등에서 전문가의 상담을 받을 있습니다 정봉오 동아닷컴 엠씨더맥스 소속사 입장문 엠씨더맥스 소속사 이엔씨입니다 너무 안타깝고 비통한 소식을 전하게 되었습니다 엠씨더맥스 멤버 제이윤이 곁을 떠났습니다 갑작스러운 비보에 엠씨더맥스 멤버들과 이엔씨 임직원 슬픔 속에 고인을 애도하고 있습니다 제이윤에게 아낌없는 응원과 사랑을 보내주신 여러분께 안타까운 소식을 전하게 너무나도 비통한 심정입니다 제이윤이 편안히 있도록 고인의 명복을 빌어주시고 남겨진 유족을 위해 추측성 기사는 자제해주실 것을 간곡히 부탁드립니다 당신의 소중한 순간을 신문으로 만들어 드립니다 멀티미디어 스토리텔링 동아일보,sostoken 엠씨더맥스 제이윤 사망,엠씨더맥스 제이윤 사망 eostoken
1054,막아냈다 이스라엘 아이언돔 진화,동예루살렘 충돌을 계기로 가자 지구를 장악한 팔레스타인의 하마스와 이슬라믹지하드 무장세력이 최근 사흘 이스라엘로 로켓은 지금까지 발이 넘는다 이스라엘 공군이 가자의 고층 건물을 파괴한 이들 무장집단의 로켓 발사는 더욱 격렬해졌다 지금까지 이스라엘 마을과 도시에 떨어진 로켓은 발에 그쳤고 이스라엘 사망자도 명이었다 이스라엘의 공습으로 가자에선 명의 어린이를 포함해 이상의 팔레스타인이 숨졌다 이스라엘의 아슈켈론의 상공에서 아이언돔이 발사한 요격미사일이 가자 지구에서 날아온 팔레스타인 무장집단의 로켓 수발을 요격하고 로이터 이스라엘 피해가 작은 것은 실전 배치한 아이언돔 덕분이다 이스라엘 남부에선 최근 수일간 요란한 로켓 경고 사이렌과 아이언돔이 발사하는 요격 미사일이 계속 올라갔다 경고 사이렌에 주민들은 재빨리 대피소로 피했다 이스라엘 군은 요격에 성공했다고 발표했다 아이언돔은 단거리 로켓과 포탄 차단을 목표로 이스라엘의 방산업체인 라파엘 디펜스시스템과 이스라엘 항공우주산업이 미국의 기술적 지원을 받아 개발해 실전 배치했다 팔레스타인 무장집단이 장악한 가자 지구와 이스라엘 남부 지도 구글 지도 아이언돔은 날아오는 위협 물체를 레이더로 탐지한 물체의 최종 타깃이 인구 밀집지역이나 기간시설물인 것이 명확해지면 요격미사일을 발사해 공중에서 파괴한다 이스라엘 국방부 관리들은 지난달 최대 일간지 이스라엘 하욤에 실전 배치된 아이언돔의 하드웨어는 바뀌지 않았지만 소프트웨어의 능력은 계속 향상돼 애초 요격 대상이었던 단거리 로켓 포탄에서 크루즈미사일 드론 등으로 확장됐다 말했다 아이언돔 방공시스템의 개념도 출처 라파엘 하마스와 이슬라믹지하드는 일밤에는 아이언돔을 압도하기 위해 발을 차례 걸쳐 무더기로 쐈다 가장 가까운 이스라엘 도시 스데도트뿐 베르셰바와 예루살렘 텔아비브까지 공격했다 발은 아이언돔의 방어망을 빠져나갔지만 대부분은 요격됐다 아이언돔을 지지하는 사람들은 아이언돔 덕분에 년처럼 이스라엘군이 직접 가자 지구로 들어갈 일이 없어졌다 말한다 최종 목표물이 인구 밀집지역이나 기간시설인 경우에만 요격 미사일을 발사하기 가성비 높다고 말한다 가성비는 하마스의 로켓이 아이언돔의 요격미사일보다 이스라엘 정보당국에 따르면 하마스와 이슬라믹지하드가 보유한 로켓은 발에 달한다 상당수는 금속 껍데기에 폭약만 적재한 수준이라 종종 수백 달러에 불과하다 아이언돔의 요격미사일은 기에 달러다 요격미사일의 수는 비밀이다 어쨌든 가성비 로만 따진다면 팔레스타인 측의 단거리 미사일이나 로켓이 높다는 것이다 일각에선 현재 미국 노스롭 그루먼 사가 개발 중인 레이저 요격 시스템 스카이가드의 도입을 주장하기도 한다 실전 배치가 가능한 것으로 알려진 레이저 요격은 작동에 아이언돔 요격미사일 가격의 달러 수준이라고 한다 조선일보가 뽑은 확인해보세요 최고 기자들의 받아보세요 신문 조선일보 앱으로 편하게,sostoken 막아냈다 이스라엘 아이언돔 진화,막아냈다 이스라엘 아이언돔 진화 eostoken
