,title,contents
10,꿈꾸지 않으면,꿈꾸지 않으면 사는 아니라고 헤는 맘으로 없는 가려네 사랑하지 않으면 사는 아니라고 설레는 마음으로 낯선 가려 하네 아름다운 꿈꾸며 사랑하는 우리 아무도 가지 않는 가는 우리들 누구도 꿈꾸지 못한 우리들의 세상 만들어 가네 배운다는 꿈을 꾸는 가르친다는 희망을 노래하는 우린 알고 있네 우린 알고 있네 배운다는 가르친다는 희망을 노래하는 배운다는 꿈을 꾸는 가르친다는 희망을 노래하는 배운다는 꿈을 꾸는 가르친다는 희망을 노래하는 우린 알고 있네 우린 알고 있네 배운다는 가르친다는 희망을 노래하는 희망을 노래하는
11,당신은 사랑받기 위해 태어난 사람,당신은 사랑받기 위해 태어난 사람 당신의 삶속에서 사랑 받고 있지요 당신은 사랑받기 위해 태어난 사람 당신의 삶속에서 사랑 받고 있지요 태초부터 시작된 하나님의 사랑은 우리의 만남을 통해 열매를 맺고 당신이 세상에 존재함으로 인해 우리에게 얼마나 기쁨이 되는지 당신은 사랑받기 위해 태어난 사람 지금도 사랑 받고 있지요 당신은 사랑받기 위해 태어난 사람 지금도 사랑 받고 있지요 태초부터 시작된 하나님의 사랑은 우리의 만남을 통해 열매를 맺고 당신이 세상에 존재함으로 인해 우리에게 얼마나 기쁨이 되는지 당신은 사랑받기 위해 태어난 사람 지금도 사랑 받고 있지요 당신은 사랑받기 위해 태어난 사람 지금도 사랑 받고 있지요 당신은 사랑받기 위해 태어난 사람 지금도 사랑 받고 있지요 당신은 사랑받기 위해 태어난 사람 지금도 사랑 받고 있지요 지금도 사랑 받고 있지요 지금도 사랑 받고 있지요
12,러브송,눈이 기쁨 되는 눈이 미소되는 눈이 꽃잎처럼 내려와 우리의 사랑 축복해 지금 순간을 위해서 태어난 아닐까 깊은 잠에서 뜨면 꺼질 마법은 아닐까 그대의 사랑이 되고파 오랜 시간을 돌아서 이젠 자리에 오게 된거야 눈이 기쁨 되는 눈이 미소되는 눈이 꽃잎처럼 내려와 우리의 사랑 축복해 아주 조그만 행복도 팝콘 처럼 부풀길 때론 힘겨운 시간도 희망 안에서 잠들길 이렇게 잡은 손에 아주 소박한 약속을 모두 모아서 간직할 거야 눈이 기쁨 되는 눈이 미소되는 눈이 꽃잎처럼 내려와 우리의 사랑 축복해 그대 사랑이 되고 그댄 영원이 되고 우리 오늘처럼 사랑해 하늘이 주는 날까지 그대 사랑이 되고 그댄 영원이 되고 우리 오늘처럼 사랑해 하늘이 주는 날까지
13,높임말 친구,우리들이 하는 말은 이상해 어른들은 말을 올리래요 어떻게 올려야지 하늘높이 올라서 당겨볼까 우리들이 하는 말은 이상해 어른들은 말을 높이래요 어떻게 높여야지 벌려 쭈욱 밀어볼까 요구르트의 요는 달콤하고 요술의 요는 신기한데 뒤에 따라오던 요는 자꾸만 깜빡 깜빡 사라져 하하하하 웃고 싶을 때에도 요요요요 하고 붙일까요 잉잉잉 울을 때도 올려주고 높여줘야 하나요 우리들이 하는말은 이상해 어른들이 올리라고 하시는 밀어보고 당겨보자 가장 친한 친구 만들어보자 하하하하 웃고 싶을 때에도 요요요요 하고 붙일까요 잉잉잉 울을 때도 올려주고 높여줘야 하나요 우리들이 하는 말은 이상해 어른들이 올리라고 하시는 밀어보고 당겨보자 가장 친한 친구 만들어보자 랄라라랄라 랄라라랄랄라 랄라라랄라 랄랄랄라 랄라라랄라 랄랄라 가장 친한 친구 만들어보자
14,좋은,사랑해요 한마디 좋은 우리 식구 자고 나면 주고받는 사랑해요 한마디 좋은 엄마 아빠 일터 주고받는 말이 좋아서 온종일 신이 나지요 말이 좋아서 온종일 맛나지요 말이 좋아서 온종일 가슴이 콩닥콩닥 뛴데요 사랑해요 한마디 좋은 나는 나는 한마디가 정말 좋아요 나는 나는 한마디가 정말 좋아요 사랑 사랑해요
15,아빠 힘내세요,딩동댕 초인종 소리에 얼른 문을 열었더니 그토록 기다리던 아빠가 앞에 서계셨죠 너무나 반가워 웃으며 아빠하고 불렀는데 어쩐지 오늘 아빠의 얼굴이 우울해 보이네요 무슨 일이 생겼나요 무슨 걱정 있나요 마음대로 되는 오늘 있었나요 아빠 힘내세요 우리가 있잖아요 아빠 힘내세요 우리가 있어요 딩동댕 초인종 소리에 얼른 문을 열었더니 그토록 기다리던 아빠가 앞에 서계셨죠 너무나 반가워 웃으며 아빠하고 불렀는데 어쩐지 오늘 아빠의 얼굴이 우울해 보이네요 무슨 일이 생겼나요 무슨 걱정 있나요 마음대로 되는 오늘 있었나요 아빠 힘내세요 우리가 있잖아요 아빠 힘내세요 우리가 있어요 힘내세요 아빠
16,예쁜 아기곰,동그란 눈에 까만 작은 하얀 털옷을 입은 예쁜 아기곰 언제나 너를 바라보면서 작은 소망 얘기하지 너의 곁에 있으면 나는 행복해 어떤 비밀이라도 말할 있어 까만 작은 코에 입을 맞추면 수줍어 얼굴을 붉히는 예쁜 아기곰
17,악어떼,정글 숲을 지나서 가자 엉금 엉금 기어서 가자 늪지대가 나타나면은 악어떼가 나올라 악어떼
18,머리 어깨 무릎,머리 어깨 무릎 무릎 머리 어깨 무릎 무릎 머리 어깨 무릎 머리 어깨 무릎
19,작은 동물원,삐약 삐약 병아리 음메 음메 송아지 따당 따당 사냥꾼 뒤뚱 뒤뚱 물오리 개구리 집게 집게 집게 가재 푸르르르르르 물풀 소라
20,꼬부랑 할머니,꼬부랑 할머니가 꼬부랑 고갯길을 꼬부랑 꼬부랑 넘어가고 있네 꼬부랑 꼬부랑 꼬부랑 꼬부랑 고개는 열두고개 고개를 고개를 넘어간다
21,우유송,콜라 싫어 싫어 홍차 싫어 싫어 새카만 커피 핫쵸코 싫어 싫어 사이다 싫어 싫어 새하얀 우유 맛좋고 색깔 좋고 영양도 최고 깔끔한 입맛에 우유가 딱이야 단백질 칼슘도 비타민 가득 건강한 입맛에 우유가 딱이야 우유 좋아 우유 좋아 우유 주세요 우유 좋아 우유가 좋아 세상에서 제일 좋아 우유 없는 세상은 상상하기도 싫어 싫어 우유가 제일 좋아 우유 영어로 밀크 우유 공부하다 한잔 게임하다 한잔 항상 곁에 우유 우유는 우유병에 먹어야 신선한 우유만이 진짜 우유야 우유 먹고 튼튼해져 얼른자라서 나라 일꾼이 되볼랍니다 우유 좋아 우유 좋아 우유 주세요 우유 좋아 우유가 좋아 세상에서 제일 좋아 우유 좋아 우유 좋아 우유 주세요 우유 좋아 우유가 좋아 세상에서 제일 좋아 세상에서 제일 좋아
22,솜사탕,나뭇가지에 실처럼 날아든 솜사탕 하얀 눈처럼 희고도 깨끗한 솜사탕 엄마 잡고 나들이 먹어본 솜사탕 후후 불면은 구멍이 뚫리는 커다란 솜사탕
23,아기 다람쥐 또미,쪼로로롱 산새가 노래하는 속에 예쁜 아기 다람쥐가 살고 있었어요 울창한 푸른 나무 위에서 아기다람쥐 또미가 살고 있었어요 야호 랄라 노래 부르자 야호 속의 아침을 야호 트랄라 귀여운 아기다람쥐 또미
24,그대로 멈춰라,즐겁게 춤을 추다가 그대로 멈춰라 즐겁게 춤을 추다가 그대로 멈춰라 눈도 감지 말고 웃지도 말고 울지도 말고 움직이지 즐겁게 춤을 추다가 그대로 멈춰라
25,피노키오,꼭두각시 인형 피노키오 나는 네가 좋구나 파란 머리 천사 만날 때는 나도 데려가 주렴 피아노 치고 미술도 하고 영어도 하면 바쁜데 너는 언제나 공부를 하니 말썽쟁이 피노키오야 우리 아빠 꿈속에 오늘밤에 나타나 얘기 전해줄 없겠니 먹고 싶은 것이랑 놀고 싶은 놀이랑 모두 모두 있게 해줄래 꼭두각시 인형 피노키오 나는 네가 좋구나 장난감의 나라 지날 때는 나도 데려가 주렴 숙제도 많고 시험도 많고 일도 많아 바쁜데 너는 어째서 놀기만 하니 청개구리 피노키오야 우리 엄마 꿈속에 오늘밤에 나타나 얘기 해줄 없겠니 먹지 마라 살찐다 하지 마라 나쁘다 그런 하지 않게 해줄래 꼭두각시 인형 피노키오 나는 네가 좋구나 파란 머리 천사 만날 때는 나도 데려가 주렴 학교 다니고 학원 다니고 독서실 가면 바쁜데 너는 어째서 게으름 피니 제페트의 피노키오야 엄마 아빠 꿈속에 오늘밤에 나타나 얘기 해줄 없겠니 피노키오 줄타기 꼭두각시 줄타기 그런 아이 되지 않게 해줄래
26,클로버,깊고 작은 산골짜기 사이로 맑은 흐르는 작은 샘터에 예쁜 꽃들 사이에 살짝 숨겨진 이슬 먹고 피어난 클로버 랄랄라 랄랄라 랄랄라 랄랄라 행운을 가져다준다는 수줍은 얼굴의 미소 한줄기의 따스한 햇살 받으며 희망으로 가득한 나의 친구야 빛처럼 밝은 맘으로 너를 닮고 싶어
27,도깨비 나라,이상하고 아름다운 도깨비 나라 방망이를 두드리면 무엇이 될까 나와라 와라 와라 뚝딱 나와라 와라 와라 뚝딱
28,나비야,나비야 나비야 이리날아 오너라 노랑나비 흰나비 춤을 추며 오너라 봄바람에 꽃잎도 방긋방긋 웃으며 참새도 짹짹짹 노래하며 춤춘다
29,파란마음 하얀마음,우리들 마음에 빛이 있다면 여름엔 여름엔 파랄 거에요 산도들도 나무도 파란 잎으로 파랗게 파랗게 덮인 속에서 파란 하늘 보고 자라니까요 우리들 마음에 빛이 있다면 겨울엔 겨울엔 하얄 거에요 산도들도 지붕도 하얀 눈으로 하얗게 하얗게 덮인 속에서 깨끗한 마음으로 자라니까요
30,고향의,나의 살던 고향은 피는 산골 복숭아꽃 살구꽃 아기 진달래 울긋불긋 대궐 자리인 동네 속에서 놀던 때가 그립습니다 꽃동네 새동네 나의 고향 파란들 남쪽에서 바람이 불면 냇가에 수양버들 춤추는 동네 속에서 놀던 때가 그립습니다
31,노을,바람이 머물다 들판에 모락모락 피어나는 저녁연기 색동옷 갈아입은 가을 언덕에 빨갛게 노을이 타고 있어요 허수아비 벌려 웃음 짓고 초가지붕 둥근 꿈꿀 고개 숙인 논밭의 열매 노랗게 익어만 가는 가을바람 머물다 들판에 모락모락 피어나는 저녁연기 색동옷 갈아입은 가을 언덕에 붉게 물들어 타는 저녁놀
32,시골 하루,뽀오얀 안개가 산무등을 타고 닭소리에 잠을 깨면 초가집 굴뚝에 연기 오르니 시골 하루 시작된다 산비둘기 모여 구구 풀을 뜯는 염소 음매 한가롭게 강아지 놀고 소를 모는 농부 이랴 빨래하는 소리 뚝딱 물레방아 빙글 잘도 돈다 살며시 초생달 서산에 걸리고 귀뚜라미 자장가에 칭얼대던 아기의 눈이 감기면 들려오는 멍멍 소리
33,가을,노랗게 노랗게 물들었네 빨갛게 빨갛게 물들었네 파랗게 파랗게 높은 하늘 가을 길이 고운길 트랄랄랄라 트랄랄랄라 트라랄랄랄라 노래 부르며 넘어 건너가는 가을 길이 비단길 노랗게 노랗게 물들었네 빨갛게 빨갛게 물들었네 파랗게 파랗게 높은 하늘 가을 길이 고운길 트랄랄랄라 트랄랄랄라 트라랄랄랄라 노래 부르며 숲속의 새들이 반겨주는 가을 길이 우리길
34,나무야,나무야 나무야 서서 자는 나무야 나무야 나무야 다리 아프지 나무야 나무야 누워서 자거라
35,동생,동생 곱슬머리 개구장이 동생 이름은 하나인데 별명은 서너 엄마가 부를 때는 꿀돼지 아빠가 부를 때는 두꺼비 누나가 부를 때는 왕자님 어떤게 진짜인지 몰라 몰라 몰라 동생 곱슬머리 개구쟁이 동생 이름은 하나인데 별명은 서너 먹고 건강하게 꿀돼지 착하고 복스럽게 두꺼비 용감하고 슬기롭게 왕자님 어떤게 진짜인지 몰라 몰라 몰라
36,둥근 해가 떴습니다,둥근 해가 떴습니다 자리에서 일어나서 제일 먼저 이를 닦자 윗니 아랫니 닦자 세수할 때는 깨끗이 이쪽 저쪽 닦고 머리 빗고 옷을 입고 거울을 봅니다 꼭꼭 씹어 밥을 먹고 가방 메고 인사하고 유치원에 갑니다 씩씩하게 갑니다
37,도레미,도는 하얀 도화지 레는 둥근 레코드 미는 파란 미나리 파는 예쁜 파랑새 솔은 작은 솔방울 라는 라디오고요 시는 졸졸 시냇물 함께 부르자 도레미파솔라시 도도시라솔파미레 도미미 미솔솔 레파파 라시시 도미미 미솔솔 레파파 라시시 도레미파솔라시 도솔도
38,돌과,바윗돌 깨뜨려 돌덩이 돌덩이 깨뜨려 돌맹이 돌맹이 깨뜨려 자갈돌 자갈돌 깨뜨려 모래알 랄라라 랄라라 랄라라 랄라라 도랑물 모여서 개울물 개울물 모여서 시냇물 시냇물 모여서 강물 강물 모여서 바닷물 랄라라 랄라라 랄라라 랄라라
39,푸른 세상 만들기,푸른 하늘을 만들어줘요 새하얀 뭉게구름 두둥실 예쁜 모여 노래 부르는 파란 숲속 나라도 만들어줘요 아빠가 만들어 주시나요 엄마가 만들어 주실까 아니야 우리가 해야 하죠 아름다운 푸른 세상 만들기 우리가 푸른 씨앗 되어 푸른 숲을 만들어보자 우리가 푸른 바람 되어 하늘보다 푸르게 하자 아빠가 만들어 주시나요 엄마가 만들어 주실까 아니야 우리가 해야 하죠 아름다운 푸른 세상 만들기 우리가 푸른 씨앗 되어 푸른 숲을 만들어보자 우리가 푸른 바람 되어 하늘보다 푸르게 하자
40,아이들은,세상이 이렇게 밝은 것은 즐거운 노래로 가득 것은 집집마다 어린 해가 자라고 있어서다 해가 노래이기 때문이다 어른들은 모를 거야 아이들이 해인 것을 하지만 금방이라도 있지 있어 아이들이 잠시 없다면 아이들이 잠시 없다면 나나나 나나나나 낮도 밤인 것을 노랫소리 들리지 않는 것을
41,코끼리,코끼리 아저씨는 코가 손이래 과자를 주면은 코로 받지요 코끼리 아저씨는 소방수래요 불나면 빨리와 모셔가지요
42,올챙이와 개구리,개울가에 올챙이 마리 꼬물꼬물 헤엄치다 뒷다리가 앞다리가 팔딱팔딱 개구리 됐네 꼬물꼬물 꼬물꼬물 꼬물꼬물 올챙이가 뒷다리가 앞다리가 팔딱팔딱 개구리 됐네
43,숫자쏭,초라도 보이면 이렇게 초조한데 초는 어떻게 기다려 이야이야 이야이야 사랑해 사랑해 오늘은 말할 거야 육십억 지구에서 만난 럭키야 사랑해 요기조기 한눈팔지 말고 나를 좋아해 나를 향해 웃는 미소 매일매일 보여줘 팔딱팔딱 뛰는 가슴 구해죠 마음 이가도 너를 사랑해 언제나 이맘 변치 않을게
44,씨앗,씨를 뿌리고 꼭꼭 물을 주었죠 하룻밤 이틀 뽀드득 뽀드득 뽀드득 싹이 났어요 싹이 났어요 똑똑 물을 주었죠 하룻밤 이틀 뽀로롱 뽀로롱 뽀로롱 꽃이 폈어요
45,옆에 옆에,옆에 옆에 옆에 옆으로 옆에 옆에 옆에 옆으로 위로 아래로 위로 아래로 위로 아래로 위로 아래로 옆에 옆에 옆에 돌아 짝짝 옆에 옆에 옆에 돌아 짝짝 위로 아래로 위로 아래로 위로 아래로 위로 아래로 옆에 옆에 옆에 춤을 춥시다 옆에 옆에 옆에 춤을 춥시다 위로 아래로 위로 아래로 위로 아래로 위로 아래로
46,잠자리,잠자리 날아 다니다 장다리꽃에 앉았다 살금살금 바둑이가 잡다가 놓쳐 버렸다 짖다가 날려 버렸다
47,쥐가 마리,쥐가 마리가 쥐가 마리가 쥐가 마리 마리 다섯 마리 쥐가 여섯 마리 쥐가 일곱 마리 쥐가 여덟 마리 아홉 마리 마리 고양이 화났지 고양이 나왔지 쥐가 도망가지 쥐가 도망가지 쥐가 어디로 갔나 몰라 쥐구멍이지 쥐구멍이지 쥐구멍에 숨어버렸지
48,산중호걸,산중호걸이라 하는 호랑 님의 생일날이 되어 각색 짐승 공원에 모여 무도회가 열렸네 토끼는 춤추고 여우는 바이올린 짠짠 찌가찌가 찐짠 찐짠 찐짠하더라 그중에 놈이 잘난 체하면서 까불 까불 까불 까불 까불하더라
49,시계,시계는 아침부터 똑딱똑딱 시계는 아침부터 똑딱똑딱 언제나 같은 소리 똑딱똑딱 부지런히 일해요 시계는 밤이 돼도 똑딱똑딱 시계는 밤이 돼도 똑딱똑딱 모두들 잠을 자도 똑딱똑딱 쉬지 않고 가지요
50,산토끼,산토끼 토끼야 어디를 가느냐 깡총 깡총 뛰면서 어디를 가느냐 산고개 고개를 나혼자 넘어서 토실토실 알밤을 주워서 올테야
51,비행기,떴다 떴다 비행기 날아라 날아라 높이 높이 날아라 우리 비행기 내가 만든 비행기 날아라 날아라 멀리멀리 날아라 우리 비행기
52,엄마돼지 아기돼지,토실토실 아기돼지 달라고 엄마돼지 오냐오냐 알았다고 꿀꿀 꿀꿀 꿀꿀 꿀꿀 꿀꿀꿀꿀 꿀꿀꿀꿀 꿀꿀꿀꿀꿀 아기돼지 바깥으로 나가자고 엄마돼지 비가 와서 된다고
53,나라의 어린이,나라의 어린이는 일찍 일어납니다 잠꾸러기 없는 나라 우리나라 좋은 나라 나라의 어린이는 서로서로 돕습니다 욕심쟁이 없는 나라 우리나라 좋은 나라 나라의 어린이는 거짓말을 합니다 서로 믿고 사는 나라 우리나라 좋은 나라
54,호키포키,같이 오른손을 안에 넣고 오른손을 밖에 빼고 오른손을 안에 넣고 힘껏 흔들어 손들고 호키포키 하며 빙빙 돌면서 즐겁게 춤추자 같이 왼손을 안에 넣고 왼손을 밖에 빼고 왼손을 안에 넣고 힘껏 흔들어 손들고 호키포키 하며 빙빙 돌면서 즐겁게 춤추자 같이 오른발을 안에 넣고 오른발을 밖에 빼고 오른발을 안에 넣고 힘껏 흔들어 손들고 호키포키 하며 빙빙 돌면서 즐겁게 춤추자 같이 왼발을 안에 넣고 왼발을 밖에 빼고 왼발을 안에 넣고 힘껏 흔들어 손들고 호키포키 하며 빙빙 돌면서 즐겁게 춤추자 키포키 키포키 키포키 신나게 춤추자
55,옥수수 하모니카,우리 아기 불고 노는 하모니카는 옥수수를 가지고서 만들었어요 옥수수알 길게 남겨가지고 우리 아기 하모니카 불고 있어요 도레미파 솔라시도 소리가 안나 도미솔도 도솔미도 말로 하지요
56,코스모스,빨개졌대요 빨개졌대요 길가에 코스모스 얼굴 빨개졌대요 빨개졌대요 길가에 코스모스 얼굴 달님이 살짝 맞췄더니 달님이 살짝 맞췄더니 빨개졌대요 빨개졌대요 길가에 코스모스 얼굴
57,우리 유치원,꽃밭에는 꽃들이 모여 살고요 우리들은 유치원에 모여 살아요 우리 유치원 우리 유치원 착하고 귀여운 아이들의 꽃동산 미끄럼 그네뛰기 재미있고요 선생님의 풍금 맞춰 노래도 하죠 우리 유치원 우리 유치원 착하고 귀여운 아이들의 꽃동산
58,밀과 보리,밀과 보리가 자라네 밀과 보리가 자라네 밀과 보리가 자라는 것은 누구든지 알지요 농부가 씨를 뿌려 흙으로 덮은 후에 발로 밟고 손뼉 치고 사방을 둘러 보네 친구를 기다려 친구를 기다려 사람만 나오세요 나와 같이 춤추세 랄라랄라 랄라 랄라랄라 랄라 랄라 랄라 랄라 랄라 랄라 랄라 랄라 랄라
59,비누방울,쏙쏙쏙 방울 빙글빙글 방울 여기저기 내방울 내방울 쏙쏙쏙 방울 빙글빙글 방울 여기저기 무지개 빨간 하늘 닮고 파란 하늘 닮고 동글동글 내방울 내방울 빨간 하늘 닮고 파란 하늘 닮고 동글동글 무지개 이리저리 구름따라 마음대로 두리둥실 두리둥실 춤추며 아롱다롱 꽃잔치에 바람 타고 두리둥실 두리둥실 춤추며 쏙쏙쏙 방울 빙글빙글 방울 여기저기 내방울 내방울 쏙쏙쏙 방울 빙글빙글 방울 여기저기 무지개 빨간 하늘 닮고 파란 하늘 닮고 동글동글 내방울 내방울 빨간 하늘 닮고 파란 하늘 닮고 동글동글 무지개 넘어 나라까지 바다건너 먼나라까지 이리저리 춤을 춘다 쏙쏙쏙 방울 빙글빙글 방울 여기저기 내방울 내방울 쏙쏙쏙 방울 빙글빙글 방울 여기저기 무지개 빨간 하늘 닮고 파란 하늘 닮고 동글동글 내방울 내방울 빨간 하늘 닮고 파란 하늘 닮고 동글동글 무지개 이리저리 구름따라 마음대로 두리둥실 두리둥실 춤추며 아롱다롱 꽃잔치에 바람 타고 두리둥실 두리둥실 춤추며 쏙쏙쏙 방울 빙글빙글 방울 여기저기 내방울 내방울 쏙쏙쏙 방울 빙글빙글 방울 여기저기 무지개 빨간 하늘 닮고 파란 하늘 닮고 동글동글 내방울 내방울 빨간 하늘 닮고 파란 하늘 닮고 동글동글 무지개
60,뾰로롱 꼬마 마녀,뾰로롱 꼬마 마녀 열두 마법 마법의 천사 무지갯빛 미소를 당신에게 살짝 뿌려 드리겠어요 신비로 가득 행복의 가게로 오세요 무엇을 갖고 싶으세요 이제 우리 친구 사이 고민이 있으면 숨기지 말아요 당신의 눈동자만 보면 있어요 뾰로롱 꼬마 마녀 즐겁게 살아요 마법의 나라에서 지금 따온 오로라를 당신에게로 보내드릴게요 신비로 가득 행복의 가게로 오세요 무엇을 갖고 싶으세요 이제 우리 친구 사이 고민이 있으면 숨기지 말아요 당신의 눈동자만 보면 있어요 뾰로롱 꼬마 마녀 즐겁게 살아요 마법의 나라에서 지금 따온 오로라를 당신에게로 보내드릴께요
61,뿡뿡이가 좋아요,뿡뿡이가 좋아요 그냥 그냥 그냥 짜잔 형이 좋아요 그냥 그냥 그냥 뿡뿡 짠짠 뿡뿡
62,우리 아빤 슈퍼맨,아빠와 꼬박 이틀 함께 보내는 생각처럼 쉽진 않지만 그래도 아빠와 함께 같이 노는 정말 내겐 재밌지 아빤 혹시 슈퍼맨일까 아빠 멋진 슈퍼맨이야 아빠와 꼬박 이틀 함께 보낸 것은 내겐 정말 행운이야 그래서 아빠는 내겐 정말 멋있어요 우리 아빤 슈퍼맨 아빤 혹시 슈퍼맨일까 아빠 멋진 슈퍼맨이야 아빠와 꼬박 이틀 함께 보낸 것은 내겐 정말 행운이야 그래서 아빠는 내겐 정말 멋있어요 우리 아빤 슈퍼맨
63,말썽쟁이 짱구,하나 짱구야 놀자 세상에 제일가는 말썽쟁이 짱구 천방지축 얼렁뚱땅 앞뒤 짱구 짱구와 함께라면 뭐든지 있어 심심하지 답답하지 장난 천재 하늘에 해님 달님 사랑으로 비취 주면 착한 짱구에 마음 수가 있을거야 친구들아 함께 가자 오늘은 무슨 장난을 꾸밀까 짱구는 말려 오늘은 무슨 장난을 말썽을 부릴까 짱구는 말려
64,치키치키차카차카,치키치키차카차카초코초코초 치키치키차카차카초코초코초 나쁜 짓을 하면은 치키치키차카차카초코초코초 치키치키차카차카초코초코초 우리에게 들키지 밤에도 낮에도 느낄 있는 눈과 귀가 있다네 우리의 손오공 치키치키차카차카초코초코초 치키치키차카차카초코초코초 사랑하며 살면은 치키치키차카차카초코초코초 치키치키차카차카초코초코초 평화는 꺼야 평화는 꺼야
