,제목,내용
11,코인으로 315억 번 20대.jpg,"  2017년 겨울 
  집값이 비싸기로 소문난 신축 오피스텔에서 지내는 한 비트코인 투자자 
 
      그의 나이는 불과 23세 얼마의 자산을 가지고 있기에 
  젊은 청년이 이런 고급 오피스텔에서 살수있는것일까?
     
   
    그의 자신은 약 280억원 
    2016년 3월 
  8만원으로 가상화폐 투자를 시작한 조씨는 
  2017년 12월말에 280억 수준의 자산을 가지게 된것 
           
    로또를 10번 맞은 수준의 자산임 
   
    취재를 온 제작진이 현실성이 잘 안느껴진다고 하자 
   그자리에서 바로 
      가상화폐를 팔아 현금 2천만원을 통장에 꼽는 모습을 보여줌 
     
    그리고 인터뷰를 하는 2시간 사이 
            비트코인 시세가 오르기 시작 
          2시간만에 280억 자산에서 315억으로 늘어남 
               8만원으로 시작해

2년만에 

자산 

39,374,900 % 증가 
  ----

지금은 어떻게 되었을지 모르지만 
  당시 비트코인 뺴고도 

 최고급 오피스텔 구매+부모님 차 구매 +현금자산 4억쫌 넘어 가지고 있다했으니 

평범한 직장인 평생벌수있는것 보다 훨씬 더 번듯 ㅇ "
12,150만원짜리 라이터 인증하는 디시인.JPG,    
13,식당 점원의 만점짜리 배려.jpg,    
14,한국 애니 하청팀의 장난.jpg,    
15,"일본에 존재하는 ""한국산""","      큐슈 미야자키에 있는 명칭이 정말 한국이 붙은 산
  다만 일반적인 ""칸코쿠""는 아니고 ""카라쿠니""라고 한다.
    왜 이런 명칭이 붙여있는지에 대해서는
  한국이 보일 정도로 높다 라는 설 (실제론 당연히 안보임)
  백제의 마지막 왕족이 죽기전까지 미야자키에 머물었다는 설
  혹은 큐슈가 고대에 한반도와 가장 왕래가 잦았는데 그때 우호관계로 붙힌 명칭이라는 설 (고대 일본은 한반도에서 온나라를 대부분 카라 라고 함 : 마한,진한, 변한 등)
      하지만 아직도 정확한 설이나 기록은 없음.
    "
16,세계 담배 대회.. 1위 ..jpg,"            이게 뭐 화이트블로우인가 그거냐?
  "
17,남자뻑가는 여자옷 구멍,    
18,남자 32에 모아둔 돈 5천.JPG,    
19,김치공장 근황.jpg,    실업자 대량 발생하겠네 
20,신뢰도를 높이는 치즈돈까스 후기.jpg,"        오뚜기 칼국수 면발인줄
      "
21,20대 모델이 72세 부자랑 결혼하며 남긴 말,"       
    "
22,생활관에 배달음식 시켜먹는거 성공했다 ㅋㅋㅋㅋ,"    인테리어 ㅅㅂㅋㅋㅋㅋㅋ
    "
23,현재 개빡친 캡콤 팬들 요약.jpg,"  E3의 캡콤 파트는 한국 시간 오늘 오전 6시 30분부터 시작했음
  캡콤 팬들은 안자고 계속 기다림
       
  근데 발표한건
  1. 바이오하자드 멀티 대전 게임 곧 공개할 예정임
2. 바이오하자드 빌리지 DLC 만들거임
3. 몬헌 스토리즈 2 체험판 곧 풂
4. 몬헌 라이즈는 스토리즈랑 연동할 수 있고, 장비&이벤트 추가할거임
  끝임
  팬들 안자고 버틴 자신이 억울해서 셔츠찢고 울부짖음 "
24,12억을 쓴 가챠 아저씨.jpg,     결과 '최소' 10억 
25,과외 잘린후 학생과의 카카오톡 . JPG,        
26,엄청 빠졌지만 갈굴수없는 이등병.jpg,    
27,실제 조폭들 모습.jpg,      
28,잔인) 극혐) 죽여도 정당방위," 

    "
29,중국의 신비한 전기차," 레이 비스무리한 차가 나왔다.
근데 뭔가.. 뭔가 이상하다..?
   ??????????
    문.. 문이 1개?????
   ????????????
주차장에서 어케 내림???????
  + 뒤에 좌석 추가 가능하다고 함.
근데 ㄹㅇ 문은 1개
 + 못믿어서 실제 사진 추가
 ""진짜 문이 1개""
 저기 중간에 보이는 저 문만 통짜 문에서 열린다고 함.(옵션이래 기본이 아니고 ㅋㅋㅋㅋㅋㅋㅋ)
엌ㅋㅋㅋㅋㅋㅋ "
30,한 유튜버가 발리에서 추방 당한 이유....png,원본출처 | https://youtu.be/3OYnbiVhtjg 
31,나 대구 왔는데 택시기사분 화난거 같애ㅠㅠㅠ,                
32,실시간 GS알바들이 받고있는 긴급공지,원본출처 | 편의점 갤러리 
33,1분만에 99% 폭락한 코인.jpg,            
34,경악...일본애니 이지메사유,"  의외로 정상입니다
    "
35,일본 사람이 본 한국 연예 기획사,    
36,[혐오]여성의 입에서 나온 거.gif,"    와........
      "
37,유튜버) 가슴골 논란(?) 나온 육아(?) 유튜버 근황,"                                                                                      1. 엄마가 아니고 아빠
  2. 가슴골이 아니고 대흉근임(중요)
  3. 딸내미 이제 너무 많이 커서 컨트롤 불가
  4. 사실 육아 유튜버 아니고 헬스 유튜버임
      "
38,마트에서 득템한 모녀,    
39,미국 비만이 차원이 다른 이유.jpg,"  사람이 흘러내릴거 같음
  "
40,연돈 사장님도 제정신은 아니었네,"    돈까스에 미침
      "
41,태권도 근황.jpg,원본출처 | https://youtu.be/j_V6PTcCQCc 
42,저출산이 왜 2030의 숙제야?.jpg,    
43,비웃음 받았던 게임,"      2014년에 나왔음에도 90년대 수준의 그래픽으로 놀림받았던 게임
이에 제작진은 대규모 그래픽 패치를 준비하는데......
                                                                                                  이젠 비웃음으로도 모자르다
  "
44,연봉 5천 찍은 만 29세 골드미스의 소개팅 고민.jpg, 
45,일진이 던지고 간 난제.jpg,    
46,미원의 10년된 분노가 담긴 라면.jpg,"  더불어 MSG가 절대 무해하다는 점과
오히려 나트륨 섭취를 줄인다는 
팩트를 내세우면서
MSG 위험론에 대항한다고
    "
47,게임 피지컬이 떨어지는 나이.jpg,       25세 
48,전세계 인구 성비 근황.jpg,"    빨강이 많을수록 여성이, 파랑이 많을수록 남성이 많음.
  인구 17억이상의 밸붕, 중국을 제외하면 여성이 압도적으로 많음..
                 
    "
49,아우디 박살난상태로 아파트에 버려져있네 ㄷ,"                차주 김잼민(5세 )  오열
      "
50,90년대생 채널 멈추게 했던 홈쇼핑 광고들,    
51,중국 채굴금지 명령으로 문닫은 코인 공장.jpg,"씨1발 규모 뭔데 
이색히들이 그래픽카드 전부 끌어다 쓰고 있었구만 "
52,골때리는 이쁜이.gif, 
53,야근때매 신입 꼽주는 상사,   야근(수당 많이나옴) 
54,한국식 성형 받은 호라이즌2 주인공.jpg,희망편. 
55,손님 요청 무시 했다가 ㅈ된 음식점.jpg,        
56,여자 번호딴지 4일만에 답장옴ㅋㅋㅋㅋㅋㅋ,"  그냥 읽씹하던가
  "
57,유정호와 엮였던 어떤 유튜버,원본출처 | https://www.youtube.com/watch?v=yMPwVE8-2BI 
58,YG 6대 금지사항, 
59,학력 인증 ㄹㅈㄷ.jpg,"      합성 전문가
    "
60,데뷔 30년차 대배우의 인생 조언 . jpg,"     



         
데뷔 30년차
 
다양한 작품에서 다양한 캐릭터로 인정 받았지만
 
연관 검색어 1위는 손현주 거지 "
61,모두 기다렸던 신작 격겜,"  콘솔로 5년도 아닌 10년도 아닌 15년만에 신작인가
  믿고 있었다고 세가
                온라인 대전 가자
    "
62,같이 밥먹는데 남편만 살이 자꾸 빠짐.jpg,"  여동생 남편이 건강검진에서 '너무 마름' 이라는 진단을 받아서
여동생이 '내가 아무것도 못먹게 하는 것 같잖아!' 라며
집에서 만드는 식사량을 늘렸더니 여동생만 살쪘다는 이야기를 듣고 빵터졌다.
  "
63,코인을 게임처럼 즐긴다는 20대 청년의 최후,"      23세 전직 롤 프로게이머 스윙스
  어머니가 주신 15만원으로 코인 거래 시작
  그걸 계속 늘려서 340억 자산가가 됨
      본인 피셜 게임처럼 코인에 접근했지만 가족들이 돈때문에 힘들게해서 정말 목숨걸고 했다고 함
  가족들은 아직 자기가 이렇게 돈 많은거 모른다고 함
  거래스타일은 승부사 스타일
  실제로 저렇게 불린 방법도 저점이라고 생각되면 가지고있는 전재산 몇십억 몇백억 풀로 집어넣음
      물론 첨부터 잘한건 아니고 2018년부터 벌면 날리고 벌면 날리고 무한반복하면서 알게됐다고 함 "
64,치트키 가져온 놀면 뭐하니 근황.jpg,원본출처 | https://www.youtube.com/watch?v=6xzP9pfIMqI 
65,여친이 만들어 놓은 현대 미술,        
66,전쟁하다 집 가서 밥먹고 온 조종사.jpg,    
67,대법원피셜 사용해도 되는 단어,"대머리.
처벌받지 않음.
      "
68,재생 처녀.jpg,"                      (한심)
    "
69,제2의나라 개발자가 밝힌 충격적인 사실.,원본출처 | 구글플레이스토어 
70,주식 존버방 레전드,   존버하다가 로또 1등됨 ㅋㅋㅋㅋ 
71,세계사 채점후 교무실 소환당함.JPG,??? : 교무실 갔다온 썰 푼다 
72,이상하게 미국에서 인기를 끄는 간식,"  쿠키를 굽기 이전의 형태인 반죽 도우.
  이 상태가 나름 찰기도 있고 맛도 적절하게 있기에 별미의 간식으로 평가 받았는데 이걸 판매하는 가게들이 상당히 늘어났다고 한다.
          보통은 이렇게 퍼서 컵에 담아주며, 반죽의 종류별로 맛도 다양하다고.

     
               
           
                이후 쿠키 도우는 지금도 인기를 자랑중이며 언젠가는 미국 뿐만이 아니라 다른 국가에서도 보일거라 추정중이라고... "
73,존나 난잡하기로 유명한 KB국민은행 앱 근황.news,원본출처 | https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004551697 
74,당근마켓 선인장좌 등장 ㄷㄷ...jpg,        
75,화장실에 40분이나 걸리는 여성.jpg,                                                                                                                                                                    
76,중국)게임 업계 근황.jpg,원본출처 | https://www.pcgamer.com/uk/the-dollar77-million-pubg-cheating-empire-smashed-by-the-chinese-copsand-the-founder-who-escaped/ 
77,후방) 방송 켰다하면 시청자가 4만명씩 대기하는 여캠.avi,"  아 ㅋㅋ 저건 못참지
    "
78,국내 3위 서점 반디앤루니스 최종부도 사유.jpg,원본출처 | https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=057&aid=0001585730 
79,잘생긴..과외쌤..ㅗㅜㅑ.JPG,"      나도 과외나 해볼까
  "
80,요즘 세대들은 충격받을 사진.jpg,  무려 공중파에서 대놓고 담배피던 시절.. 
81,장모님이 저의 엄마입니다," 








그런데
1년 후...







그 후로
장모님과 아내의 사이는
멀어지게 됨















그런데 얼마 후...
아버지 폰을 우연히 봤는데













아버지와 장모님이
연애한다는 것을 알고
충격 받음





















알고 보니
장모님이 나를 낳아준 엄마였음 ㄷㄷㄷ















진짜 골 때린다...
사연남은 무슨 죄야ㅠㅠ "
82,요즘 10대 덕후들 근황...jpg,"                    덕질을 강의로 배움 ㄷㄷ...
  "
83,광고에서 뼈맞는 나이 34세,"  이런 나쁜 놈들이 있나
  광고 보다가 뼈맞아 골절 당하겠다
  "
84,일본 시골에서 자신의 아들을 사진에 담은 아빠.jpg,                                                
85,지하철에서 꽐라된 여학생,"    델리만쥬면 어쩔수 없다
    "
86,여동생한테 인생 망한놈이란 소리들음.jpe,        
87,후방) 치과에서 빰 맞은 여자.gif, 
88,아빠가 31살인데 딸이 15살,원본출처 | https://www.youtube.com/watch?v=tFY74JTdSL0 
89,잘생긴 남자bj를 본 여자들의 행동,"                                                                        현실
        "
90,제로투 댄스 유행이 불러버린 참극,"        달링프라 똥맛보고 정신을 못차리는 인싸
  아싸걸 뺏어가서 업보받음 ㄷㄷㄷㄷ
  아 ㅋㅋ 이래 MEMEME댄스로 퍼져야 한다고 ㅋㅋㅋ
      "
91,대한민국이 핀란드에 수출 한 총,"  AK-47을 수출함
  K-2 이런거 아님

진짜 AK-47임
    핀란드에서 굳이 한국산 AK를 산 이유는
러시아산 사기에는 미국 눈치가 보이고
그렇게 많이 사지도 않을거고
실전용도 아니고 예비군용, 체험용인데
거기다가 자기네들 제식소총하고 비슷해야하고
  뭣보다
동구권 말고는, 만들어 줄수있는데가
한국밖에 없었다고함 
      "
92,29살의 현자타임.gif," 
    (정색) "
93,"110,000원.jpg", 
94,넥슨 근황.jpg,"       
          눈에가는 넨도로이드들
                게임개발 프로젝트가 드롭이 되면 개발자들은 사내에서 대기발령상태로 떨어지게되고
다른 프로젝트가 시작되면 그곳에 또 이력서를 넣어 들어가야하는 것
사내에서도 구직자 신세가 됨
  대단하다 넥슨!!
    이러니 맨날 똥겜들만 줄창내놓지
  "
95,신분증 사본 제출하세요,"      그것은 사본이라기엔 너무나도 거대했다
    "
96,일본 저학력 근빈층 여성의 삶 . JPG,"            글 읽으면서 오래간만에 먹먹하고 답답했다
                    "
97,버릇없는 여후배 레전드.gif,         
98,25년 동안 매일 소주 한 병을 마셔온 49살 남성.jpg,      뇌 수축된거 무섭네; 
99,어릴 때 엄마가 보여준 최고의 사랑,    
100,15년에 걸친 윌 스미스의 복수.jpg,    
101,요즘 대한민국 공사판 근황,"          이제 동남아나 중국인이 아니라 
  서양인들도 먹고살려고 막노동 하러 온다.
    "
102,일본 복고양이 근황.,    
103,흔한 러시아의 뒷마당.jpg,      그럴수도 있지. 
104,어떤 돌아이 연예인의 집 근황,"  화장실
      거실
          마당에 있는 거
    노칠홍
    "
105,데프콘 근황, 
106,제2의 나라 일본반응 근황.jpg,"  똥겜만 전문으로 하는 일본 40만 유튜버
 

일본에선 '니노쿠니 크로스월드'로 발매.
   
  씹ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
    "
107,어느 유튜버의 무시무시한 직업병.jpg,"    심지어 저 여성분은 AV 배우도 아님.
    "
108,갈때까지 간 애슐리 근황.jpg,                  민트로 도배됨 
109,소주 근황 ..... jpg,원본출처 | https://www.news1.kr/articles/?4348558 
110,어마무시한 90년생 여성 ㄷㄷㄷ,원본출처 | https://magazine.hankyung.com/job-joy/article/202105032295d 
111,일본의 60년된 러브호텔 리뷰,원본출처 | https://youtu.be/-IpK10QQBFA 
112,자취방 대참사.jpg,"  근데 어떻게 치우냐 저거
  "
113,sbs도 인정하는 그 장면,       시청률을 나락으로 보내버린 전설의 그 장면 
114,8년동안 쓴 아이폰5,    
115,백종원 .. 역대급 창렬가격에 분노.jpg,"                  8천원아니것슈?
          17000원
          9000원짜리쥬
   
    16000원
      우삼겹 샐러드 파스타
      19000원
     
  ""저사람들 제정신이유?????""
    백종원 가격에 분노
            맛도 별로.. "
116,조류계 먹이사슬 정점.JPG,      가끔 동물원에서 사자나 호랑이 먹이 스틸하다가 잡혀뒤짐 ㅎㅎ  
117,일본 할머니 인터뷰 중 갑분싸.jpg,    
118,요즘 잼민이들 사이에서의 롤 인식,이미 고전게임임 
119,13살 딸로 위장하여 등교한 30대 유부녀,"        미국 학교에서 담임교사가 없어서 저렇게 학생 얼굴도 모르는거임?
    수업듣는 학생 얼굴을 모르는 수준인데........
    학생들이 왜 총기 살,인까지 가는지 알겠다...
    저렇게 학생에게 무신경하니깐 그러는거지.......
  저 학부모가 결국 걸린 시각은
  7교시때였음
  그 이전까지 전혀 몰랐음
    "
120,마음의 소리 충격적 근황.jpg,"   율봉이(15년생, 7살) 내년에 초등학교 들어감 "
121,30대 이후 노화 과정...jpg,"        너무 슬프다 ...
      "
122,국뽕 유튜버도 포기한 한국 총기.jpg,"   
  "
123,교수 : 실험기구는 여성을 다루듯이 다뤄주세요.jpg,"  교수 '실험기구는 여성을 다루듯이 다뤄주세요'
  나 '여성은 어떻게 다루면 되나요?'
  교수 '여성말인가요, 여성은 실험기구를 다루듯이 다뤄주세요'
  나 (스택오버플로우를 일으켜 귀에서 뇌수가 흘러나옴)
    "
124,요즘 일본 중학생 도덕 교과서 표지 근황,"                      뭔가 익숙하고 그림이 예뻐서 찾아보니.
                                                                                                 
이거 그리신 분이더라.
                        덤
                                                                                                         저 분 그림들
            "
125,게임 입문 0일차 아버지에게 진 디시인,"      입문 0일차 아버지에게 졌다고 함
                    알고보니까 아버지 젊었을적
  노량진 정인 오락실 출신임
  (참고 지금은 망했지만 한때 정인은 스파2 세계에서 먹히는
  한국 빠요엔들이 모이는곳)
        그리고 10선해서 10대 떡으로 짐
  마지막으로 너 개못하잖아 당함 
    "
126,넷플릭스 첫 한국식 시트콤 근황,"           
김치 싸대기 등장
  "
127,바다에서 잡힌 문어의 충격적인 모습.gif,    
128,여자들에게 인기 많다는 일본 급식남 . gif,"           
박보검 원빈 이진욱 조금씩 섞은 느낌



    "
129,대학생을 공격하는 존재들.jpg,                
130,애니에 나오는 수액이 노르스름한 이유.jpg,        
131,지금 난리난 새로 나온 중국게임 근황.JPG,"        한국인은 약관 안 읽는줄
  "
132,한국 맥도날드가 들어온연도를 아는 인도 누나,    
133,촬영 중인 SNS 미녀　gif,          
134,20년에 걸친 복수에 성공한 할머니.jpg,원본출처 | https://kr.theepochtimes.com/share/534820 
135,한국인의 대표적인 착각.jpg,"    콘소메 맛이 스위트콘 맛인줄 아는 사람들이 넘나 많음
  광고에 옥수수까지 그려 넣으니 더더욱 오해가 생김
              실제 콘소메 스프는 맑은 고기국임
  옥수수랑은 1도 연관 없음
        "
136,ㅅㅍ) 뇌절의 선을 넘어버린 드라마.jpg,"           로건리 친형 등장 
몰입도를 단 한방에 깨버림 
10조 인출ㅋㅋㅋㅋㅋㅋㅋㅋㅋ "
137,아저씨 고기주세요. 부위 몰라요 맛있는거 주세요,어이구 그래그래 
138,육사 면접에서 떨어진이유.jpg,"   이거 쿠데타 전용 인재네 
시대를 잘못 태어났어 ㅋㅋㅋ "
139,"""말걸던 남자가 딴여자 사귀더라..."".jpg","  에이 뭔 김칫국이여 ㅋ
      ??
           
    "
140,GS25 내부사정 근황," 마케팅팀 ㄹㅇ ㅈ됨.
  물론 블라인드발이므로 판단은 알아서.
  "
141,논란이 일어났던 요리 동영상 甲,    호다다다다닷 
142,공장에서 시계를 끼고 일했더니,사..살았다...? 
143,5만원짜리 지폐로 담배 한갑만 산다고? 수상한데?,    
144,배달부가 현관문 사진찍어감.txt,        
145,주작 같은 여사친 결혼 썰,        
146,큰맘먹고 플라잉요가 세트를 산 누나,"엌ㅋㅋㅋㅋ
  애들아 안죽었어..
기절도아냐 "
147,후방) 가슴이 웅장해지는 쁘걸 근황,         미안하다 이거 보여주려고 어그로 끌었다 
148,의외로 한국을 밀어주는 남미국가.jpg,        한국이 좋아서라기보단 브라질이 ㅈ같아서.... 
149,은혜 갚은 지성 샴푸 업체...jpg,원본출처 | https://mobile.twitter.com/hejgruess/status/1386924509698138115?s=19 
150,철벽녀.gag,"    출산 ㅋㅋㅋㅋ
  "
151,드래곤라자 게임 광고 근황.jpg,원본출처 | https://gall.dcinside.com/mgallery/board/view/?id=genrenovel&no=2990306&exception_mode=recommend&page=1 
152,PC방 점유율 2위 게임 근황,    
153,출근 첫 날 70만원 들고 런,"        저건 100% 잡히는데
먼깡이지
    "
154,나라별 대표 초콜릿.jpg,"                      한국은 무엇일까...
        "
155,공감되는 퇴사사유.jpg,    
156,후방주의)서양의 사극 제작자들이 절대 고증하지 않는다는 패션,으으 거기에 왜 음식을 넣어 
157,뉴욕 최고급 아파트 뷰,"                            냥이 뷰 
  고양이가 좋아해요
  "
158,계란 애미도 속을 짤.jpg,    망고빙수임 
159,정신이 혼미해지는 유부녀,    
160,회사에서 좀 짤라줬으면 좋겠다.,      거기에 쐬주한병만 줬으면 좋겄다. 
161,일본의 전자제품 매장 근황.jpg,    
162,너무 연기가 개쩔면 생기는 일,"     
          거지가 아니고 '운명철학자' 임
    절대 안없어질 짤 "
163,임신을 알기 전 과 알게 된후 표정 변화,   ㅋㅋ갓냥이  
164,카카오벵크 사과문.jpg,                            
165,부산항에 들어오는 영국항모.jpg," 중국견제 목적으로 아시아순방 
  영국국방부 ""영국은 한국과 가장 오랜친구""
  한국: ????????
거문도사건..... 영일동맹.... 세계사악의 근원..
프렌드요??
  "
166,7월에 터질 시한폭탄 甲, 
167,강아지 5시간 산책 후기 사진 . JPG,    
168,입으면 몸짱 되는 바디수트,                    
169,박항서 “내가 베트남에서 할 일 여기까지”.jpg,원본출처 | https://m.clien.net/service/board/park/16225213 
170,25년간 실종된 여성이 다락방에서 갇힌 채 발견되었던 사건,"  부유한 귀족 집안에서 태어나고 성장한 '블랑쉬 모니'의 실종 전 사진과 발견 당시 사진
  귀족가의 여인이 약 25년간 실종되었다가 발견되었던 사건임
   
당시 프랑스 귀족사회는 
부모가 정한 사람과 결혼해야 하는 관습이 있었는데 
  블랑쉬 모니는 25살에 부르주아 계층이아닌 파산한 변호사, 사실상 하층민 취급을 받았던 남성과 사랑에 빠졌고 
  집안과 크게 다투고 곧 실종되었음
  실종 당시 가정 불화로 인한 가출로 결론짖고 용의자 파산한 변호사 주변을 조사했지만 찾지 못했음
  최종적으로 해외 도피 및 ■■ 실종으로 어영부영 조사가 끝남
            그리고 1901년 
  법무장관 뮤슈는 편지 한 통을 받게 됐는데 
그가 받은 서명되지 않은 편지(익명)에는 
  “매우 심각한 사건을 알립니다. 한 여성이 25년간 쓰레기와 오물로 뒤덮인 다락방에 갇혀 습니다. 모니 부인의 집입니다. 그녀는 25년 전 실종된 블랑쉬 모니입니다”라고 적혀 있었고 바로 조사에 들어가게 됨
    발견된 곳은 자기 가족들의 집 다락방
  어머니가 자기가 정한 사람과 
결혼하지 않는다고 
다락방에 약 25년간 감금생활을 시킴
  발견 당시 몸무게는 25kg, 
  운신이 힘들어서 몸 주변은 대변으로 인한 분변독과 욕창때문에 온몸이 썩어가는 중이였다고함
  그녀의 어머니는 “딸이 가난한 변호사와 사랑에 빠져 다락에 가뒀다”고 자백한 후 15일이 지나 감옥에서 사망했고 
  친언니도 그 사실을 알고있어지만 방치했음
        페이크 뉴스가 아니라 진짜 이었던 비참한 사건...
    반대하는 사랑을 했다는 이유로 
25년 인생을 송두리째 잃어버린 그녀는 
사망하기 전까지 한 말은
자신의 선택을 후회하지 않는다 였다고 한다.
  라고 블로그 글에서 올라오던데
  감금에서 풀려서나서 약 5년만에 정신이 나가서
정신병동에서 숨을 거뒀기에 윗말은 루머....
  "
171,결혼하고 살뺀부부,"      올 대단
  "
172,AV찍다가 갈뻔한 배우.JPG,    이후로 무료로 AV 출연하는 노인들의 건강상태에 대해서 조금 더 따져보게 되었다고... 
173,일본의 감정가 2억 7천만원 짜리 찻잔.jpg,"    도랏???????
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
        "
174,여고생 특유의 냄새.jpg,"    근데 요즘 분식값 비싸서
아직도 학생들의 소울 푸드인..가..? "
175,신고 포상금 17억원..ㄷㄷ,    
176,갓오브워 호불호 거르고 단점인 부분.jpg,"    트롤
              가면 쓴 트롤
                  차가운 트롤
              뜨거운 트롤
                딱딱한 트롤
                  이름이 그렌델인 트롤
                망자의 다리를 지키는 파수꾼
  마투그르 헬손
  이라고 불리는 트롤
          트롤 트롤 또롤 또로로롤롤로
                          갓 오브 워가 부정 못할 명작임에도 불구하고
  이런 몹 돌려먹기 우려먹기 재탕이 나온 이유는 바로
  갓오브워가 산타 모니카 스튜디오가 망할 위기에 있을 때 간신히 만들어낸 게임이기 때문이다.
    아마 큰 성공을 거두고 회사도 안정되었을 때 만들어진 후속작에서는 확실하게 개선될 부분으로 여겨진다.

      "
177,신입사원이 알콜 알레르기가 있다네요;;.jpg,그래도 요샌 술권하는게 많이 줄긴 했지 
178,정가 보다 비싸게 받는 이유.jpg,"  정가 보다 비싸게 파는 이유는
  정가 보다 비싸게 팔아야 이윤이 남기 때문입니다 "
179,서양에 진출한 어둠의 한식.jpg," 다크 갈비는 뭘까..??
  "
180,남자들이 좋아하는 예수상,"        ㅇㅇ
  진짜임
  "
181,아 유튜브 보는데 어떤색기가 우리누나 도촬했네,"  있다 사진 보여주면서 말해줘야지 
  "
182,당신이 살 찌고 있다는 증거,    
183,배달 오토바이 밧줄사건 전말,원본출처 | https://n.news.naver.com/article/023/0003618212 
184,강남스타일 영상 근황.jpg,"  레딧 서버 터지니까 레딧 사람들
강남스타일 영상 댓글창으로 몰려와서
레딧 대신해서 글 쓰고 있음 ㅋㅋㅋ "
185,부동산 10대 거짓말.jpg,    
186,배달하다가 헐벗은 여자 본 썰.ssul,            
187,여성부가 포기한 가수,                            
188,이빨 뽑고 그날 술마시면 안되는 이유.jpg,"    죽을수 있기때문
  "
189,여초사이트 망상수준ㅋㅋㅋ,"             어...?
  "
190,인방)제로투 댄스 근황,원본출처 | https://www.youtube.com/watch?v=CRjdDNQc22k 
191,이베이에서 1억원에 팔린 BTS 맥너겟.jpg,원본출처 | https://n.news.naver.com/article/215/0000962688 
192,"""나.. 카페알바생 그만두게 만든거 같음..."".jpg",          
193,입사후 인식이 완전히 바뀐 사무기기,    
194,인방) 애기안고 뒷산산책중 퓨마 발자국 발견 ㄷㄷㄷ,원본출처 | https://www.youtube.com/watch?v=Z-tObPGKlOM 
195,일본 한국 라면 표절 역전 시대.JPG,"동남아에서 불닭볶음면 짝퉁을 일본의 닛신라면에서

판매중. 그냥 비슷한 맛 만드는거야 그러려니 하는데

굳이 제품 포장에 한글이 들어가 있음 "
196,레전드 의수(義手) 방송사고,    
197,이쁘다며!!! 소중하다며!!!,"        거짓말쟁이!!!!
내 팬티도 들춰봤음서!!!
      "
198,백신을 맞았는데 좀 이상하다...,"  자꾸 머릿속에서 군단이라는 단어가 떠오르고
저그를 보면 충성하고 싶어진다....
어디 부딫히면 안될것 같아서 조심조심 다니는 중...
  "
199,진짜로 판명난 심령사진,"    절대 사람으로 보이지 않는 
유일무이 귀신 사진이다
  "
200,학교 자퇴하기 vs 안하기.jpg,    어렵군 
201,수천년동안 사용되었다가 사라진 물건,"      주판.
  오래 전인 기원전 2700~2300년, 메소포타미아 수메르 문명에서도 사용되어 90년대까지도 보였지만 이후 계산기 및 컴퓨터의 등장과 발전으로 큐브와 같은 장난감 혹은 지능 개발을 위한 유희용 도구로 전락하게 된다.
       다만 그 탑승감 하나 만큼은 지금도 높게 평가 받는다고.
    "
202,최신 면도기 근황,    
203,혐) 한국 pc 진짜 근황,"  진짜 pc 사기 힘들다...
  개극혐
  "
204,승무원 눈나의 착각," 전 눈나 이름이랑 핸드폰 번호 주세요....
  "
205,냉동새우 해동시켰더니 생긴 일.JPG,    
