,제목,내용
147,간호사 태움글 글쓴이 입니다.,"이미 아시겠지만 여러 언론사와 인터뷰를 진행했습니다.
팜뉴스를 비롯해 JTBC, MBC 등 여러 언론사에서 관심을 가져 주셨습니다.
  아래는 추가 인터뷰 기사들 링크입니다.
  https://www.youtube.com/watch?v=u2ujx1o_HXA&t=4s
https://www.youtube.com/watch?v=PDRQdriAkGI
https://www.pharmnews.com/news/articleView.html?idxno=103006
https://www.pharmnews.com/news/articleView.html?idxno=103086
  현재, 제 동기들 몇몇 분과, 현재 재직 중이신 분들께서 많은 연락을 주셨고, 증언을 해주셨습니다. 몇 분의 가해자로 지목된 분들께서는 간접적으로 나마 사과를 전달 해주셨고, 저는 그 사과로 지난 날의 기억을 조금이나마 보상 받은 느낌이었습니다.
  다시 한번 말씀드리지만 저는 그분의 진정성 있는 사과만을 원했습니다. 하지만 그분께서는 여전히 묵묵부답이었으며, ‘고소'라는 답장을 주셨습니다.
  이제 긴 싸움이 될 것으로 생각하고 있습니다.
  그분은 오히려 주변 분들에게 연락해 입단속을 하는 것 같았습니다. 그들 중에 당연히 제 주변 지인들도 있었고, 상당수 지인들은 “정말 미안하다. 그 목소리를 듣고 두려움에 사로잡혀 제 목소리를 못냈다 ”고 사과를 하셨습니다. 이 일로 제 주변 분들을 괴롭힐 생각은 추호도 하지 않았지만, 그렇게 된 것 같아 대단히 죄송합니다. 그 분들에게도 좋지 않은 기억 이었을 텐데 말이죠.
  물론 다수의 분들이 A병원에 근무 중이시거나, 인맥, 이해관계로 얽힌 분들이라면 증언을 해주시기 쉽지 않다는 점은 알고 있습니다.
  “나 아직도 그분이 무서워서”
“아직 이 지역에서 간호사를 해야 해서”
“보복이 두려워서”
“아직 그 동네에 살고 있어. 가해자들과 자주 마주쳐서”
“그때의 고통을 떠올리기 싫어서”
“아직도 그분들 밑에 있어서”
  저희가 연락했던, 또는 저희에게 연락이 온 많은 분들께서 증언은 어렵다고 미안하다면서 하신 말씀들입니다. 저도 그 공포감을 수없이 느껴본 만큼 충분히 이해합니다.
  그렇다면, 그 분들에게도 한 가지 부탁을 하고 싶습니다. 거짓 증언으로 본인의 양심을 버리지만 말아 주세요. 부탁드립니다. 자신의 부모에게, 또는 자식에게, 그리고 배우자 에게도 부끄러움 사람이 되지 말아주세요.
  저희에게 필요한 것은 당시 근무하셨던 다른 동료 여러분들의 용기입니다. 당시 괴롭힙을 당했던, 아직도 아픔을 안고 사는 여러분들의 용기 있는 증언이 있어야, 진실을 밝히고 저희 후배들에게 이어질 악습의 연결고리를 끊을 수 있습니다.
  주변 사람들은 가해자에게 피해 보상을 요구해야만 한다고 제게 말씀 하셨습니다.
하지만 금전적인 보상을 요구하게 되면, 제가 보상을 바라고 글을 올렸다고 생각될까 꺼려집니다.
사실 어떤 보상을 받든, 제가 겪는 트라우마를 지울 수는 없습니다. 그나마 트라우마를 조금이라도 덜어낼 수 있는 건, 그분의 진심 어린 사과 뿐이라고 생각했고, 단지 그것을 바랐습니다. 진정한 어른이란 사과할 줄 알고, 용서를 구하는 데 있어 망설이지 않는다고 배웠습니다. 교수가 되신 그분께서 진정한 어른의 자세를 보여주길 바랐을 뿐입니다.
  만약 그분께서 진정으로 사과하셨다면, 저는 오히려 홀가분히 내려놓을 수 있었을 것입니다. 그리고 그 편이 그분께서 교육자로서 강단에 서실 때에도 떳떳하지 않았을까 생각합니다.
  하지만, 지금 상황에서는 돌이키기 어려울 것 같습니다.
  길고 긴 싸움이기에 조금이라도 힘을 더해주실 추가 증언이 간절한 상황입니다.
  저와 함께 고통의 세월을 견뎌냈던 동료 여러분께서 용기를 내주시길 간곡히 부탁드립니다. 그리고 그분들께서 용기를 낼 수 있도록 격려와 응원을 부탁드립니다. 전통이라는 이름으로 포장된 태움이라는 악습을 지금 끊어 내지 않는다면, 우리 후배들, 그리고 우리들의 자식들 또한 상처받을 수 있다는 점을 생각해주세요.
  감사합니다.
  팜뉴스 기자님
credit@pharmnews.com
010-2696-5349
  JTBC 기자님
https://news.jtbc.joins.com/Etc/InterNetReport.aspx
02-751-6394
yunjm@jtbc.co.kr
  실화탐사대 작가님
https://program.imbc.com/Report/truestory
  그것이알고싶다 작가님
https://programs.sbs.co.kr/culture/unansweredquestions/report/55081 "
148,방탄 다음 콘서트 좌석,계단석 천장석 무릎석 굴비석도잇노 
149,이시국 시어머니의 목욕탕 강요,"안녕하세요
코로나 크게 확산 전인 2020년 3월 결혼한
나름 신혼 1년차 28세 여자 입니다.
신랑은 33 이구요!

이야기가 조금 길어질 것 같아 음슴체로 쓰는 점 양해 부탁드립니다.

코로나가 조짐은 있었으나 남편과 결혼 직후 갑자기 크게 확산되서 시댁이 가까우나 자주 갈 일은 없었음
(신혼집에서 시댁 차로 20분 친정 차로 15분 정도 거리 위치)
이 부분에서는 시어머니 불만도 없으셨고
대신 2주에 한번 정도 전화드림 (내가 따로 드리는게 아니라 남편이랑 각자 집에 전화할때 옆에서 짧게 안부 묻고 대화하는 정도)

명절이라고 해봤자 두번이었지만
내가 갈비찜만 해서 친정, 시댁 가져다드리고 용돈 드리고 오는 정도 ( 친정, 시댁 모두 기독교라 제사, 차례 없고 명절날 손님도 없어서 우리 결혼전에도 크게 음식하거나 모이는 일도 없었음)

이 이야기를 꺼내는 이유는 딱히 고부갈등도 없고 두 집안 분위기 모두 보수적이지 않다는걸 설명하려고...

아무튼 그런 분위기 속에서 주위 친구들 이야기를 듣다보면 나는 좀 편한 시월드에 속해있구나. 시어머니가 간섭하지 않는것만 해도 감사하게 생각하고 여유가 될때 친정 시댁 모두 선물 보내드리거나 용돈을 조금 더 드리는 수준으로 감사표현을 하고 살았음

그러다가 작년 12월쯤 부터 시어머니 한테 연락이 따로 오기 시작함.
목욕탕도 같이 가고 쇼핑도 가자고

그런데 내가 어렸을때 수두를 심하게 앓아서 흉도 많고
아토피도 심해서 친정 엄마랑도 중학교? 이후로 같이 안감 그리고 간다 해도 이시국에?? 목욕탕을??

시어머니 한테는 흉 이야기는 안하고 아토피가 있어서 목욕탕을 못간다고 말씀드리고
주말에 어머니 시간 괜찮을때 쇼핑 가자고 말씀드림

내가 한번 거절한 이후로 거의 일주일에 두번씩 일할때도 전화와서 그놈의 목욕탕 목욕탕 목욕탕 질리겠음

주위에 아무리 물어봐도 시어머니랑 친해도 목욕탕 같이간다는 이야기는 못들어봄

굳이 아파서 안된다는 사람 그리고 이시국에 목욕탕을 고집하는 심리를 모르겠음..

맨날 목욕탕 타령 하셔서 내가 너무 지치고 매일 같은 이유로 거절하는게 질려서 얼마전에 남편한테 잘 말씀드리라고 했는데

어제 또 전화오셔서 역정내심 그런걸 왜 남편한테 말하냐고
다음주에 목욕탕 같이 가는걸로 알고있을테니까
남편한테 말하지 말고 데리러 오라고 하시는데

그냥 남편을 보내야되는건가 뭘 어떻게 해야될지 모르겠음
지금까지 트러블 없이 잘 지내온거 같은데 진짜 멘붕임
아무리 거절을 해도 도루묵...
미치겠음 "
150,세븐틴 민규 짤털,저번에 순영이 짤털 반응좋았기도하고 누가 민규 짤털도 해달라구 해서 할게! 
151,직접 모은 판링크모음 올린다,"만약 더 추가할링크 있으면 수정해서 추가할게!!
작년 1월1일에 링크모음으로 톡선 갔었는데 글정리하다가 실수로 지워버려서 너무 미안했어가지고ㅠㅠ 이번엔 진짜 안지울게
아 그리고 혹시 삭제된 링크있으면 말해줘


((뷰티))
예뻐지는 자잘한팁
https://m.pann.nate.com/talk/333568316
패고탈출
https://m.pann.nate.com/talk/343797719
예뻐지는법
https://m.pann.nate.com/talk/342563377
얼굴,모공 작아지는법
https://m.pann.nate.com/talk/341440678
예뻐지는 꿀팁
https://m.pann.nate.com/talk/338645190
안면비대칭 꿀팁
https://m.pann.nate.com/talk/342344990
예쁜 화장대
https://m.pann.nate.com/talk/341250449
앞머리 안풀리는법
https://m.pann.nate.com/talk/341017378
다리털
https://m.pann.nate.com/talk/341327883
뷰티꿀팁
https://m.pann.nate.com/talk/341019213#
옷코디꿀팁
https://m.pann.nate.com/talk/341031030
데일리 팁
https://m.pann.nate.com/talk/339730232
예뻐지는 특급 비밀
https://m.pann.nate.com/talk/327005878
예버지는 버어어업
https://m.pann.nate.com/talk/334430991
예뻐지는 법 쓰고가장
https://m.pann.nate.com/talk/339760414
그냥 여러가지 뷰티팁
https://m.pann.nate.com/talk/340052278
냄새 좋아지는법
https://m.pann.nate.com/talk/339927284
방학이니까 예뻐지는법
https://m.pann.nate.com/talk/339968247
4일만에 예뻐지기
https://m.pann.nate.com/talk/345322778
야조카청순한화장
https://m.pann.nate.com/talk/348480751
예뻐지는법 추가
https://m.pann.nate.com/talk/347916446
화장 개잘하는데 질문받음
https://m.pann.nate.com/talk/345405228
자세한 코쉐딩법
https://m.pann.nate.com/talk/345519513
손톱 예뻐지는법
https://m.pann.nate.com/talk/345023460
여러가지 뷰티팁
https://m.pann.nate.com/talk/340052278
갓음 커지는법
https://m.pann.nate.com/talk/348767993



((공부))
책추천
https://m.pann.nate.com/talk/346890738
네이트판 책방어쩌고
https://m.pann.nate.com/talk/339391188
성적자랑+공부법
https://m.pann.nate.com/talk/332136069
수학잘하는법
https://m.pann.nate.com/talk/346396295
삼각함수문제 개꿀팁
https://m.pann.nate.com/talk/345927715
모고용 영어공부법
https://m.pann.nate.com/talk/346316923
평소공부법
https://m.pann.nate.com/talk/346312220
고1들을 위한 영어본문외우는팁
https://m.pann.nate.com/talk/345714336
영어본문외우는 꿀팁
https://m.pann.nate.com/talk/337583666
벼락치기,공부팁
https://m.pann.nate.com/talk/339479650
벼락치기 올백
https://m.pann.nate.com/talk/342554983
암기과목 10회독해
https://m.pann.nate.com/talk/pann/346217539
의지박약,집중력높이는 팁
https://m.pann.nate.com/talk/345386147
모의고사 잘보는팁
https://m.pann.nate.com/talk/345731854
공부 재밌게 하기
https://m.pann.nate.com/talk/343124152
공부 집중안될때 하는망상
https://m.pann.nate.com/talk/343115396
수학공부법
https://m.pann.nate.com/talk/335171048
서울대 고3공부팁
https://m.pann.nate.com/talk/340464234
인생역전 썰(공부자극)
https://m.pann.nate.com/talk/339261279
공부관련팁
https://m.pann.nate.com/talk/343924281
미친거같은 공부잘되는팁
https://m.pann.nate.com/talk/340172759
시험찍는 꿀팁
https://m.pann.nate.com/talk/342524138
공부 잘하는애들 특징
https://m.pann.nate.com/talk/342518856
시험공부 꿀팁
https://m.pann.nate.com/talk/338617316
고3의 시험공부꿀팁
https://m.pann.nate.com/talk/332256326
수학못하는사람들아
https://m.pann.nate.com/talk/334068738
문제집 추천글
https://m.pann.nate.com/talk/345498048
공부꿀팁공유하자
https://m.pann.nate.com/talk/345528966
공부꿀팁공유
https://m.pann.nate.com/talk/336425657
공부법 아아주자세히
https://m.pann.nate.com/talk/344198171
중학교 공부 성적올리기꿀팁
https://m.pann.nate.com/talk/336659416
중딩~고1 공부법
https://m.pann.nate.com/talk/341909272
벼락치기
https://m.pann.nate.com/talk/338830945
특이한 공부꿀팁1
https://m.pann.nate.com/talk/340284627
특이한 공부꿀팁2
https://m.pann.nate.com/talk/343519176
공부관련팁들 많음
https://m.pann.nate.com/talk/343924281
영어공부 꿀팁
https://m.pann.nate.com/talk/341752694
노트정리하는 꿀팁
https://m.pann.nate.com/talk/335855031
영어단어 외우는 개꿀팁(효과개짱)
https://m.pann.nate.com/talk/338211134
시험기간꿀팁
https://m.pann.nate.com/talk/337688113
벼락치기 꿀팁
https://m.pann.nate.com/talk/338830945
공부꿀팁 하나씩 적고가기
https://m.pann.nate.com/talk/339257885
예비고1들을 위한팁
https://m.pann.nate.com/talk/344775873
중3을 위한 고등학교 꿀팁
https://m.pann.nate.com/talk/339373732
예비고,재학생 꿀팁
https://m.pann.nate.com/talk/335792058
책추천
https://m.pann.nate.com/talk/339391188
책추천22
https://m.pann.nate.com/talk/339404114
예비고1 소소한팁
https://m.pann.nate.com/talk/344476923
중3한테 필요한 팁☆
https://m.pann.nate.com/talk/341651065
벼락치기 공부법
https://m.pann.nate.com/talk/336760028
고등학교 꿀팁!!
https://m.pann.nate.com/talk/339977276
야호 벼락치기 개꿀팁
https://m.pann.nate.com/talk/343530980
인강 추천글
https://m.pann.nate.com/talk/345587685
인강 공부법
http://m.pann.nate.com/talk/pann/329749212
수능레전드+공부질문
https://m.pann.nate.com/talk/348304231
연대붙은 쓰니
https://m.pann.nate.com/talk/344953291
일반고 기준 고등학교 꿀팁
https://m.pann.nate.com/talk/339977276
수능 전체 두개틀린사람
https://m.pann.nate.com/talk/344407434
수능대박쓰니의 공부법
https://m.pann.nate.com/talk/344198171
각성하고 성적 엄청 올리는 법 알려줄게
https://m.pann.nate.com/talk/345883796



((피부))
피부고민 꿀팁,해결
https://m.pann.nate.com/talk/338761633
피부 뽀얘지는 팁
https://m.pann.nate.com/talk/341076201
피부좋아지는법
https://m.pann.nate.com/talk/343070985
피부관리법
https://m.pann.nate.com/talk/340408493
여드름꿀팁
https://m.pann.nate.com/talk/338176091
여드름들아 꿀팁
https://m.pann.nate.com/talk/338218860
얼굴하얘지는법
https://m.pann.nate.com/talk/339258359
등드름 가드름 꿀팁
https://m.pann.nate.com/talk/342769632
피부 예뻐지는법
https://m.pann.nate.com/talk/338116707
피부꿀팁 공유
https://m.pann.nate.com/talk/335568895
블랙헤드 소멸
https://m.pann.nate.com/talk/342727851
피부90프로 좋아지는법
https://m.pann.nate.com/talk/339283699
피부 꿀팁 알려줌
https://m.pann.nate.com/talk/338659345
여드름 고민 종결지어줌
https://m.pann.nate.com/talk/346789602



((다이어트))
0거북목 교정
https://m.pann.nate.com/talk/342936943
0다이어트 팁
https://m.pann.nate.com/talk/335331400
0다이어트 팁 8가지
https://m.pann.nate.com/talk/335655439
0최고의 다이어트 방법
https://m.pann.nate.com/talk/340333309
0트와이스 뱃살빼기
https://m.pann.nate.com/talk/346221439
0하체살 한달조지기
https://m.pann.nate.com/talk/340603192
0캐시개짱
https://m.pann.nate.com/talk/340639697
2주만에 7키로 빠
https://m.pann.nate.com/talk/345525916



((새학기))
새학기에 이것만은 하지말자
https://m.pann.nate.com/talk/345341352
새학기걱정안됨
https://m.pann.nate.com/talk/345669411
새학기친구사귀는 팁
https://m.pann.nate.com/talk/348701514
새학기 관련 판링크모음
https://m.pann.nate.com/talk/341121518
새학기 마인드컨트롤
https://m.pann.nate.com/talk/341113674
새학기 꾸울팁
https://m.pann.nate.com/talk/340330549
새학기꿀팁 16가지
https://m.pann.nate.com/talk/345435165
새학기 필수품 추반
https://m.pann.nate.com/talk/340763440
새학기 친구사구ㅏ기
https://m.pann.nate.com/talk/341268568
새학기준비물 체크리스트
https://m.pann.nate.com/talk/341171160
새학기 꿀팁 푼다 들어와
https://m.pann.nate.com/talk/349213361
친화력 꿀팁공유!
https://m.pann.nate.com/talk/335342443
새학기, 예비고, 예비중 필수품!
https://m.pann.nate.com/talk/348925891
새학기 맞이 문제집 추천
https://m.pann.nate.com/talk/345498048
새학기맞이 학교생활 꿀팁
https://m.pann.nate.com/talk/345568591



((학교생활,인간관계))
인간관계 연연 ㄴㄴ
https://m.pann.nate.com/talk/346181411
학교 재밌게 다니는법
https://m.pann.nate.com/talk/341324688
학교생활 꿀팁 80가지
https://m.pann.nate.com/talk/340542682
뒷담화 안하는법
https://m.pann.nate.com/talk/340580456
걸러야할 친구유형
https://m.pann.nate.com/talk/339920816
왕따 꿀팁
https://m.pann.nate.com/talk/340199840
친구관계 느낀점
https://m.pann.nate.com/talk/339796295
애들이 만만하게 안보는팁
https://m.pann.nate.com/talk/339403754
인간관계 꿀팁공유
https://m.pann.nate.com/talk/339321512
성격바꾸는 팁 공유
https://m.pann.nate.com/talk/330075239
학교생활 꿀팁풀자
https://m.pann.nate.com/talk/345568591
인간관계 마인드
https://m.pann.nate.com/talk/345720012
인생꿀팁 알려줄게
https://m.pann.nate.com/talk/341859325
고등학교 팁(일반고 기준)
https://m.pann.nate.com/talk/339977276
고등학교 친구관계에서 살아남는 성격 되는 법
https://m.pann.nate.com/talk/345878630


((일상관련))
분야별 유튜버추천
https://m.pann.nate.com/talk/342477370
분위기 힐링 계절별
https://m.pann.nate.com/talk/341712987
타그룹이 자기본진 언급한 브이앱 보기
https://m.pann.nate.com/talk/338857375
혼자집에서 놀기
https://m.pann.nate.com/talk/344536567
방사진
https://m.pann.nate.com/talk/342186334
취미 30개추천
https://m.pann.nate.com/talk/336832772
ㄹㅇ개꿀하루보내기
https://m.pann.nate.com/talk/340492898
꼭 깔아야할 앱추천
https://m.pann.nate.com/talk/341713929
습관 삶의광명
https://m.pann.nate.com/talk/345708952
분위기 힐링
https://m.pann.nate.com/talk/341425346
기분전환 하기
https://m.pann.nate.com/talk/341409505
방 인테리어
https://m.pann.nate.com/talk/338158605
기분좋아지는 방법
https://m.pann.nate.com/talk/333887940
힐링하는 법이나 취미
https://m.pann.nate.com/talk/343849427
여러가지 취미들
https://m.pann.nate.com/talk/338141341
학교예쁘게하고가기
https://m.pann.nate.com/talk/334342881
망상썰 털기
https://m.pann.nate.com/talk/339510914

우울하거나 무기력할 때 하면 좋은 것들
https://m.pann.nate.com/talk/348444923
행복해지는 35가지 방법
https://m.pann.nate.com/talk/347159629

혼자 백화점 감
https://m.pann.nate.com/talk/348648255
여름방학에 할 일 모음
https://m.pann.nate.com/talk/346945035

겨울로망 쓰고감
https://m.pann.nate.com/talk/347605107
내 하루 로망 적어봄
https://m.pann.nate.com/talk/348075305
겨울 로망 말해보자
https://m.pann.nate.com/talk/348201771


((심심할때))
~~vs걍누워서판하기 조카웃김
https://m.pann.nate.com/talk/342737321
어이없게 틀린 시험문제
https://m.pann.nate.com/talk/342564537
스쉐놀이
https://m.pann.nate.com/talk/333642060
스케치퀴즈하셈
https://m.pann.nate.com/talk/340104310
생리썰
https://m.pann.nate.com/talk/335032757
웃긴 공카
https://m.pann.nate.com/talk/343939604
생리 초콜릿산썰
https://m.pann.nate.com/talk/334064708
개웃긴 고백
https://m.pann.nate.com/talk/339763164
연예인놀이 존잼
https://m.pann.nate.com/talk/340813564
걸그룹 리더가 애교부리면
https://m.pann.nate.com/talk/341988915
개웃긴 재채기
https://m.pann.nate.com/talk/334303635
노래가사웃김
https://m.pann.nate.com/talk/346897332
카스썰 공유 링크
https://m.pann.nate.com/talk/348586742
심심한애들아
https://m.pann.nate.com/talk/340909733


((맛있는거))
맛있는 피자
https://m.pann.nate.com/talk/342987824
변비음식
https://m.pann.nate.com/talk/343550724
토스트 꿀팁
https://m.pann.nate.com/talk/338032446
편의점 존맛탱
https://m.pann.nate.com/talk/340348866
먹는 꿀팁
https://m.pann.nate.com/talk/334680224
맛있게 라면먹기
https://m.pann.nate.com/talk/341124807
집에서 초코버블티
https://m.pann.nate.com/talk/341136797
노브랜드 마싰는거
https://m.pann.nate.com/talk/336317189
김치찌개 맛있게 끓이기
https://m.pann.nate.com/talk/340702372
레시피 팁 모음
https://m.pann.nate.com/talk/339995594
탕후루 만들기
https://m.pann.nate.com/talk/340237474
카페메뉴 따라하기
https://m.pann.nate.com/talk/338481070
초콜릿맛있는것들
https://m.pann.nate.com/talk/339827690
편의점 꿀템
https://m.pann.nate.com/talk/339801784
단짠간식 추천
https://m.pann.nate.com/talk/339607703
파베초콜릿 만드는법
https://m.pann.nate.com/talk/335770548
개맛있는 초콜릿
https://m.pann.nate.com/talk/335556529
집밥 만들깅
https://m.pann.nate.com/talk/341963088
존맛탱 계란말이
https://m.pann.nate.com/talk/341756744
질리도록 먹어보고싶은 음식
https://m.pann.nate.com/talk/341805035
에어프라이어로 스콘 만들기
https://m.pann.nate.com/talk/342055416
존맛탱 음료수추천
https://m.pann.nate.com/talk/340134678
와 레알 개꿀요리법 반찬으로드셈
https://m.pann.nate.com/talk/341413290
편의점 존맛탱 추천
https://m.pann.nate.com/talk/342281256
마시멜로 아이스크림 만들기
https://m.pann.nate.com/talk/340850471맛있는 밥레시피 공유
https://m.pann.nate.com/talk/339168852
음식레시피 뿌림
https://m.pann.nate.com/talk/339331710
카라멜 식빵팝콘 만들기
https://m.pann.nate.com/talk/337741357
젤리얼음
https://m.pann.nate.com/talk/342932652
딸기샌드위치
https://m.pann.nate.com/talk/345544902
인생 죤맛탱구리 알려줌
https://m.pann.nate.com/talk/345375969

((화장품))

가을립 모음
https://m.pann.nate.com/talk/343595802
인생틴트
https://m.pann.nate.com/talk/341321554
삼각존 섀도우
https://m.pann.nate.com/talk/341070050
화장품 사진
https://m.pann.nate.com/talk/342452515
인생템 모음
https://m.pann.nate.com/talk/340274171
화장품 인생템쓰고가깅
https://m.pann.nate.com/talk/339600284
인생템 추천글
https://m.pann.nate.com/talk/343453668
애굣살 섀도우 추천
https://m.pann.nate.com/talk/341671047
인생템 쓰고가자!
https://m.pann.nate.com/talk/342290724
코랄핑크립 추천
https://m.pann.nate.com/talk/343364331


((화장법))
지리는 코쉐딩
https://m.pann.nate.com/talk/345519513
여리여리메컵
https://m.pann.nate.com/talk/335430566
여러가지화장법
https://m.pann.nate.com/talk/343674707
투명 메이크업
https://m.pann.nate.com/talk/343620094
데일리메이크업
https://m.pann.nate.com/talk/342612414
예뻐보이는 화장법
https://m.pann.nate.com/talk/342734025
졸사꿀팁
https://m.pann.nate.com/talk/341472624
취미로하는 눈화장
https://m.pann.nate.com/talk/343822174
코 쉐딩 꿀팁
https://m.pann.nate.com/talk/335130972
백설공주 메이크업
https://m.pann.nate.com/talk/339720368
ㄹㅇ예뻐보이는 화장법
https://m.pann.nate.com/talk/342734025
섀도우 꿀조합
https://m.pann.nate.com/talk/341917350
화장할때 자기만의 팁
https://m.pann.nate.com/talk/341903709

엥 올리고나니까 ㅈㄴ길다 필요한부분만 복사해서 메모앱에다가 붙여넣기하고 보삼 "
152,야 진짜 이건 좀 아니지않냐,내가 이해를 못한 거임? 누가 설명 좀 
153,+)하루라도 갓생 사는법 알려줄게❤️❤️,"이어쓰기로 학교 다닐때도 올렸음..!!!
++++ㅋㅋㅋㅋ나도 앱 광고였으면 좋겠다 근데 이거 우리나라 앱도 아니고 나도 무료로 씀 왤케 꼬였어 다들
+++시작하기에 앞서서 학원 안가냐고 물어봤는데 난 학원가는 날에는 12-15 과정 생략함!



++팝송은

cigarettes after sex-apocalypse, k
khalid-talk
frank ocean-nikes(이 곡이 수록된 blonde 앨범 다 들어봐 전부 띵곡)
katie-thinkin bout you
추천함


+노래 추천해달라는 말 있어서 추천해볼겡

죠지-boat
치즈-blue champagne
나플라-35번째 밤(나플라 범죄자였대ㅠㅡㅠ 근데 비발매곡이라 수익 안간대서 걍 다시 넣었음 진짜 띵곡이야)
nct dream-don't need your love

-


요즘 내 일상 루틴인데 너무 행복해... 너네두 하루만 따라해봐

1. 일찍 일어나보기!!! 조카 힘들어보이지만 사실 누구나 할수 있음 6-7시 사이에 일어나봐

2. 간단하게 세수양치하고 츄리닝+후드+모자+패딩 뒤집고 에어팟 탁 귀에 꽂아서 좋아하는 노래 무한반복 해놔 정재현이 커버한 i like me better(사운드클라우드에 있음), slchld의 she likes spring i prefer winter 두곡 추천함

3. 편의점 가서 초코케이크/마카롱 하나 먹고

4. 9시까지 무작정 산책하기

5. 집 들어와서 샤워해 그러면 10시임 평소에 일어나던 시간ㅋㅋ

6. 요가 해 이 앱 무료인데 짱좋으니까 해봐 한 10분정도 몸풀어 엄마/자매랑 같이하면 좋음


7. 앉아서 단어를 외우거나 문제를 풀거나 하면서 1시간만 공부해

8. 밥먹어 맛난걸루!!

9. 또 앉아서 딱 2시간 공부해!! 공부 끝나면 1-2시경임

10. 간식을 먹고 쉬어 폰은 하지 말고 쉬기!! 딱 20분만

11. 이번엔 앉아서 딱 3시간 집중해서 공부하기!!!

12. 공부 다하면 5-6시경인데 화장실로 가서 욕조에 물받고 목욕해 (욕조 없으면 걍 샤워하셈) 재즈 노래 틀어두고 영상을 보던가 책을 읽던가 하셈

13. 샤워 끝내고 나와서 스킨케어하고 예쁜잠옷 차려입어

14. 저녁 먹고싶은거 있어도 포기하고 냉장고에서 과일 꺼내서 접시에 이쁘게 담아

15. 과일 먹으면서 영화 한편 봐 다보면 약 9시임

16. 또 두세시간 공부를 해 끝나면 11-12시임

17. 그때 딱 양치하고 자면
6,7시간 수면, 다이어트 효과, 7-9시간 공부 가능임 "
154,❗️❗️방귀소리 없이 뀌는 법,"새학기 방귀 걱정하는 애들이 있더라고!!
난 이방법 맨날 써먹는다ㅎㅎ


우선 방귀가 나올려고 하면 엉덩이가 두쪽이 있지?
그럼 한쪽을 은근슬쩍 잡아서 벌려(말이 좀 이상하네)그리고 살살 힘을주면서 뀌면 소리가 안나!!


!!!!손을 쓰기 어려울 때는 몸을 비틀면서 의자바닥으로 엉덩이 한쪽을 끌면서 엉덩이들을 서로 떨어트리면 돼
(그냥 두쪽다 잡고 벌린다음 껴도 소리 안남) "
155,판하면서 모은 꿀팁짤들!,"❣거북목 교정 운동



❣기온별 옷차림
  



❣찐 맛집 찾는 법

->짤이 짤렸는데 카카오네비에서 저장많은 순서로 보면 됨
    


❣찐 맛집 찾는 법 2




❣발암물질 없는 생리대 리스트

  


❣빌려간돈 안줄때
 

❣미용실에서 많이 쓰는 제품 브랜드들

 



❣1분만에 잠자는 호흡법

 




❣존맛탱 계란범벅
 



❣기본적으로 지켜야 할 것들
 



❣요리 기본 맛 내기 꿀팁 

 


❣ppt 템플릿 무료 사이트
  "
156,얘들아 우리 새벽인데 망상ㅈㄴ해보자,"내가 댓글에다 망상할 주제 여러개 쓸게 너넨 그 댓글 답댓에 망상하는거야

예를들면 10년 전 나에게 무전이 온다면? 이런거 쓰고갈테니까 다들 창의적으로 망상 ㄱㄱ 너네도 하나씩 쓰고가!! "
157,안유명한 짤들 털털털한다 1,책갈피 쌉가능인데 짤 하나 남기고 행 
158,+) 우리학교 트젠? 있는데,"여자화장실 들어오는 거 어케 생각함??

갑자기 생각나네 저번에 나 학교 화장실에서 볼일보고 나오니까 거울 앞에 지 친구들이랑 아무렇지도 않게 서있더라
여자교복입고 가발 쓰고 다니는건 암 생각 없었는데 화장실 들어온 거 보고 ㅈㄴ 놀람

+) 여자 되고 싶어서? 여장하는 남자애임 트젠수술한 건 아니고 약간 트젠 꿈나무,,?

++) 주작아니야 얘더라... 쌤들 얘 학교에서 여장하고 다니는 건 아는데 화장실 들어오는건 몰라 고등학교 올라올때부터 여장 한다고 좀 유명했옸고 양아치 애들이랑 다녀서 놀아주는애들은 있음,, "
