,제목,내용
16,"누드모델협회 만든 하영은 ""목사·전직CEO·중년부인도 벗었다""","『나는 누드모델입니다』 펴내
1988년 주말 아르바이트로 첫발
명함 주면 “오해 십상” 박대 일쑤

편견 깨려 한국누드모델협회 설립
목사·전직 CEO·중년부인도 노크
“당당함·자신감 얻고 성취 경험” "
17,"""확진자 집계 중단"" 파격 선언…전세계 놀란 싱가포르 자신감[뉴스원샷]","싱가포르, 확진자 집계 중단 위중증만 관리
중국 백신 불인정, 그래도 접종률 63%
방역 포기? 모임 제한 등 기본 방역 철저
""바이러스 근절 아닌, 함께 사는 법 모색"" "
18,"한국 호갱님 맞았다, 106만원 더 비싼 생로랑백 세계 최고가",[명품까톡] 
19,수백 명 퍼지는 집단감염 사례 보니… 백화점·술집 일파만파,영어학원 어린이집 카페도 집단감염 
20,"천은미의 경고 ""확산세 못 꺾으면 수도권 확진자 수만 명 나올 수도""","천은미 이대목동병원 감염내과 교수
전염력 강한 델타 바이러스 수개월 전 들어와
백신은 중증 예방에 효과적, 기본은 거리 두기
활동 많은 젊은층, 실내 접촉-대화 최소화해야 "
21,문 닫은 음식점에 에어컨이 돌아가? 안에선 손님·접객원 술자리,가게 빌려 꾸린 무허가 유흥주점 적발…52명 입건 
22,미스터트롯 콘서트 열리는 청주... 코로나 확산 우려에 비상,"청주대와 청주시에 ""이 시국에…"" 민원 쇄도
""막을 방법 없어… 확진자 안 나오길 바랄 뿐"" "
23,"""설마 6만전자?""…삼성전자 개미들 패닉","일부 주주들, 반등 위해 '이재용 부회장' 사면 주장
증권가 ""당분간 매물 출회 가능성 높다"" "
24,"거리두기 4단계 강화…산업계 ""사실상 외출 금지""(종합)","삼성전자 가전·스마트폰 사업부 30% 재택 전환
현대차 출장 전면금지·LG전자 재택근무자 50% 상향
포스코, 출장제한·회식중단·행사금지 "
25,내일 새벽까지 최대 '120㎜' 물폭탄…낮에도 소나기,"11일 새벽까지 예상강수량 10~60㎜
많은 곳 120㎜ 이상…순간 풍속 70㎞/h
내일 낮 습도 높아, 체감온도 33도 이상 "
26,"수도권 오후 6시 '통금'…백화점·마트 ""주말부터 걱정""","백화점·마트 오후 10시까지만 영업…최대 2시간 단축
이마트, 오늘부터 예고한 30분~1시간 연장영업 취소
생필품 '반짝' 상승도 온라인 집중…마트 ""1~3% 상승""
호텔·마트 식음료 매장 직격탄…예약 취소 빚어질 듯 "
27,고문실 된 오피스텔…'34㎏ 시신' 어떻게 학대 당했나,"검찰 수사 결과, 가혹행위 추가로 밝혀져
잠 안 재우기, 물 뿌리기, 케이블 타이 결박
결국 피해자, 폐렴 및 영양실조로 사망해 "
28,윤석열 20%지지? 호남민심 바닥에 흐르는 저류는,■ 윤석열 ‘민생행보’ 1순위 호남→대전으로 
29,“한국음식 그리웠지” 말하지 마세요…매일 먹으니까요 [다른 삶],성우제의 ‘경계인’ 
30,'생리대에 크롭티 입고 포즈?' 생리대 업체 광고 논란,"네티즌, ""생리대 광고에 불필요한 노출이다""
해당 업체 현재 SNS 댓글 기능 차단 "
31,"도쿄서 실종된 28세 영국 여성, 싸늘한 주검으로 발견돼","지난 1일, 학교에 출근하지 않아 실종신고
집에서 아버지와 오빠에게 전하는 메시지 발견 "
32,'임신 초기였는데'…크로스컨트리 간판 서보라미 35세로 별세,사망 당시 임신 초기였던 것으로 알려져... 
33,[위클리 건강] 유방암 자가검진 '두꺼운 이불 밑 구슬' 기억하세요,"한 달에 한 번 자가검진…생리 3∼4일 후에 시행하는 게 최적
흔히 발견되는 유방 내 미세석회, 모두 암으로 발전하는 건 아냐 "
34,"세계 1천만 명이 앓는 파킨슨병, 마침내 발병 원인 밝혀냈다","미토콘드리아 손상 폐기물이 뉴런에 쌓이는 게 문제
인터페론 경로의 '뉴런 청소' 조절하는 단백질도 확인
덴마크 코펜하겐대 연구진, 저널 '분자 정신의학'에 논문 "
35,"서울시, 4단계 앞두고 ""노가리골목 오세요"" 홍보 논란","""시기 부적절"" 비판…서울시 ""외국인들 나중에 방문해 달라는 취지"" "
36,"서울대 학생처장 ""산 사람들이 피해자 코스프레 역겹다""","SNS서 ""청소노동자 '갑질' 사실과 멀어"" 주장했다 삭제 "
37,더 극명해진 성적표… 문과 여학생 수학 1등급 ‘하늘 별따기’,문·이과 통합 수능의 민낯 
38,수도권 4단계에 ‘풍선 효과’?…“휴가철 앞두고 지역에 사람 몰릴라”,"강원·광주, 수도권 방문자 진단검사 행정명령
일부 지자체 거리두기 조정 검토 "
39,한강 사망사건 석달…‘비뚤어진’ 정의의 이름으로,[토요판] 친절한 기자들 
40,직계가족도 따로 살면 생일·제삿날 저녁에 못 모인다,"거리두기 4단계 Q&A

직계가족 어떻게
한 집에 거주땐 인원제한 예외

돌봄활동도 안되나
경로당·복지관 프로그램 참가는
백신접종 어르신들 제한 없어
아동·노인·장애인 돌보미도 예외

오후 6시 전후 모임은
4명 모여 있었어도
6시 넘으면 2명까지만 가능 "
41,"원전이 가장 효율적이라는 오세훈, 서울에 짓기는 싫은 서울시","오세훈 시장 <시사저널> 인터뷰서 “원전 효율적이고 친환경”
“박원순 시장 미니태양광 사업 효율성 떨어져…내년부터 중단”
“서울시 전력자립률 11% 그쳐…원전 짓겠다는 것이냐” 비판 "
42,현직 의사가 본 ‘슬의생’…판타지보단 본원적 메디컬 드라마,"[황진미의 TV 새로고침]
tvN ‘슬기로운 의사생활 시즌2’ "
43,"유재석도 골치 아픈 일…""아들과 계속 주도권 다툼 중"" [튜브뉴스]","[김예랑의 튜브뉴스]

유튜브 알고리즘 때문에 생긴 일
유재석도 ""아들과 주도권 다툼중이다""

유튜브 사용자 불쾌감 드는 영상 추천하기도 "
44,용돈벌이로 시작한 루이비통 리폼…月매출 700만원 된 비결 [안혜원의 집에서 돈벌기],"명품 유행타고 '명품 가방 리폼' 바람

루이비통 스피디 30백 하나로…
미니백에 지갑·열쇠고리까지 '득템' "
45,피쉬앤칩스 시켰다가 '경악'…음식과 함께 튀겨진 이것,"싱가포르 한 음식점 메뉴에서 사람 치아 나와
""물고기 치아로 착각했지만, 변색된 사람 치아"" "
46,"""더는 못 참아"" 열받은 삼성전자…신작 렌더링 유출 ""강력 대응""","IT팁스터에 저작권 침해 경고장 발송
법적인 조치 취할 가능성도 제기 "
47,수도권 거리두기 4단계 격상…오후 6시부터 3명 금지,12일부터 2주간 실시 
48,"비틀거리며 여성 쫓다, 말리던 남성 목 졸라…그 정체",[실시간 e뉴스] 
49,"나이 들수록, 몸에서 '냄새' 나는 까닭",▷물을 많이 마신다＝ 
50,샤워 중 '이것' 하면… 건조한 눈 촉촉해져,▷하루 2~4회 온찜질= 
51,"""방역 최대위기""…수도권 거리두기, 12일부터 2주간 4단계로(종합)","오후 6시 이후 3인이상 모임 금지…결혼식·장례식 친족만 참석
非수도권은 지자체별 단계 유지…김총리 ""사적모임 오늘부터라도 자제"" "
52,12일부터 수도권 '4단계+α' 초강수…오후 6시이후 3인모임 금지(종합),"4단계 조치에 더해 유흥시설 집합금지 유지하고 접종 인센티브 보류

4차 대유행에 사실상 첫 '야간 외출제한'…풍선효과 우려해 전체 적용

결혼식·장례식엔 친족만 참석 가능…영업시간 제한 업소 96만곳 추정 "
53,"[Q&A] 4명 카페갔다 오후 6시 넘으면?…""규정위반, 개인과태료 10만원""",상견례·직계가족 제사도 2인·4인 제한…동거가족만 예외 허용 
54,암살된 아이티 대통령 시신에 총알 12발…영부인은 고비 넘겨,모이즈 대통령 부부 외에 다른 사상자 없어 
55,"'9분' 만에 제보…""실종자 찾습니다"" 문자로 12명 가족 품에",MBC 뉴스는 24시간 여러분의 제보를 기다립니다. 
56,"[르포] ""정말 죽겠다, '거리두기 4단계'라니""…자영업자 '망연자실'","""하루종일 장사해도 마수걸이도 못해""
식사 시간에도 거리는 텅텅 매장은 한산
방역당국 ""4차 유행 진입단계…방역 적극 동참해달라"" "
57,내일 수도권 거리두기 발표…'오후 6시 통금' 4단계 현실화하나(종합),"""내일 오전 총리 주재 중대본 회의서 논의, 이후 브리핑서 발표"" "
58,"암살당한 아이티 대통령, ""총알자국 12발 발견""...범인중 2명은 미국인(종합)","""용의자 총 26명, 6명 체포하고 7명 사살""
美 국무부 ""용의자 중 시민권자 포함 사항 확인못해"" "
59,김 총리 “거리두기 4단계로”…3인 이상 모임 금지(상보),"중대본, 수도권 거리두기 조정
12일부터 2주간 4단계 적용키로 "
60,오늘 수도권 거리두기 발표…‘2인 모임만 허용’ 4단계 검토,"총리 주재 중대본 회의서 거리두기 단계 조정
김 총리 “수도권 심각…거리두기 최고단계 검토”
이대로 가면 이달 말 신규 확진자 2000명 넘을 우려 "
61,"화이자 ""델타 변이 막을 '부스터샷' 개발 중""…3차 접종시 면역력↑","화이자 ""2회차 접종 후 6개월이면 면역력 감소""
""세번째 접종시 면역 수준 5∼10배 높아져""
이르면 8월 중 부스터샷 임상시험 착수 "
62,김 총리 “코로나 최대 고비”…4단계 격상·3인 이상 모임 금지(종합),"중대본, 수도권 거리두기 조정
12일부터 2주간 4단계 적용키로
소상공인 피해 지원 등 추진키로 "
63,9일 코로나 새 확진자 1316명...하루만에 사상 최다,4차 유행 이후 비수도권 확진자 비중 첫 20% 초과 
64,"화이자 ""델타 변이 대응하려면 부스터샷 필요""","8월 중 미 당국에 승인 신청할 것...한국 당국 ""부스터샷 연구 계획 중"" "
65,"""저녁 6시 이후 사적모임 2인""...수도권 거리두기 최고 수준 '4단계' 돌입",오는 12일부터 실시...사실상 사회 활동 전면 제한 
66,'가공된 현실'로 박탈감 부추기는 이준석의 '증오의 정치',"[기자의 눈] 한국, 세계 성별 격차 108위...OECD 성별 임금 격차도 20년째 꼴찌 "
67,"윤석열 ""추미애와 동반사퇴 압박했다""…청와대 겨냥 맹공","언론 인터뷰서 작심 비판, 靑 ""언급할 가치 없다"" "
68,"""이 정도였어?""…철수하니 '존재감' 예상외로 커진 LG폰","하반기 삼성 갤럭시Z폴드, 애플 아이폰13 등 신제품 출시
삼성전자·애플, 스마트폰 사업 철수한 LG 고객잡기 '총력' "
69,도봉구 창동이어 쌍문·방학동도 '재건축 열풍',"쌍문한양1차 정밀진단 나서
진단비용 26일만에 모금 마쳐
전용 66㎡ 7.7억에도 안팔아

도봉구 최대 3169가구 단지
방학 신동아1, 예비진단 통과

창동역 개발·GTX 등 호재
""상대적 저평가…매수세 몰려"" "
70,"조연배우, '성관계 몰카' 찍고…외도에 분노한 여친이 유포","SNS 범죄영화 출연한 조연배우
'모델 섭외팀장'이라며 여성에 접근
여자친구, 남친 외도 알고 피해자 사진 유포 "
71,"""아들이 아니라 괴물""…가석방 일주일 만에 친엄마 8시간 폭행 [글로벌+]","친모 폭행하고 수감됐다 가석방된 친아들
가석방 1주일 만에 다시 친모 8시간동안 폭행
결국 징역 8년 선고 받고 교도소에 수감 "
72,"[속보] ""방역 최대 위기""…수도권 거리두기 4단계 격상","정부, 수도권 거리두기 오는 12일부터 4단계로
18시 이후 3인 이상 사적모임 금지
결혼식·장례식도 친족만 참석 "
73,'최다 기록' 하루 만에 깨질 듯...오늘 수도권 4단계 발표 예상,"어제 0∼21시 코로나19 신규 환자 1,179명…전날보다 66명↑
신규 확진자 1,300명 안팎 예상…최다기록 하루 만에 깰 듯
오전에 '수도권 4단계' 브리핑…""사적모임 제한 조기실시""
'풍선효과' 우려 비수도권 지역도 방역수칙 강화 검토 "
74,수도권 거리두기 조정안 내일 발표...4단계 유력,"4단계 격상 시 오후 6시 이후 '2명 모임'만 가능
다중이용시설 밤 10시 운영 제한…클럽 나이트 등 영업금지
서울 4단계 기준 근접…4단계 수도권 전역으로 확대할 듯 "
75,수도권 거리두기 4단계 격상...12일부터 2주간,"김부겸 총리 ""수도권에 새로운 거리두기 4단계 적용""
준비시간 감안해 오는 12일부터 2주간 시행
서울의 주간 일 평균 환자 410명 4단계, 수도권은 3단계
서울만 4단계 적용할 경우 풍선효과 우려 "
76,현직 의사가 본 ‘슬의생’…판타지보단 본원적 메디컬 드라마,"[황진미의 TV 새로고침]
tvN ‘슬기로운 의사생활 시즌2’ "
77,"[단독] 이재명 기본소득 후퇴, 자문 교수그룹 ‘강력한 권고’ 있었다","“당장 줄 돈 미미” 재원 논쟁 경계
보수쪽 ‘부의 소득세’ 수용도 열어놔 "
78,‘유지’ 영어로 ‘Yuji’…김건희 논문 의혹 제기한 열린민주당,"비문, 기사·타인 논문 무단 발췌 등 지적 "
79,"친구들아, 즐거웠어…‘저녁모임 2명만’ 4단계 다른 점은?","결혼식·장례식엔 친족만
1인 시위 외 집회 금지 "
80,내일 수도권 거리두기 발표…'오후 6시 통금' 4단계 현실화하나(종합),"""내일 오전 총리 주재 중대본 회의서 논의, 이후 브리핑서 발표"" "
81,"김부겸 ""죄송하다, 양보해 달라""…국민지원금 선별 논란에 읍소한 총리",2021 제2차 추가경정예산안 국회 시정연설 
82,'렘데시비르 200배 효과' 치료제 발굴…게임체인저 떴다(종합),"KAIST-파스퇴르연구소, '약물 가상 스크리닝' 기술 고안해 기존 약물 재창출 "
83,"""출퇴근도 무섭다"" 지하철 2·5·9호선 승객들 '공포'","여의도·코엑스발 무더기 확진
""델타 변이 전파력 높다는데""
해당 노선 이용 직장인 불안감 "
84,"""수도권 거리두기 12일부터 4단계 격상""…내일 발표할 듯","김부겸 총리, 예정에 없던 중대본 회의 주재 "
85,"델타 변이 감염되면 '이 증상' 주로 나타난다...""즉각 검사받아야""","델타 변이 감염되면 콧물·기침 주로…미각·후각은 그대로
의심 증상 시 단순 감기로 판단 말고 즉각 검사받아야 "
86,"김건희 해명이 발단된 '논문' 논란...""기본도 못 갖춰""","윤석열 부인 김건희 박사 논문…표절 의혹 제기
논문 영문 제목, 한글 단어 음차…수준 미달 지적
자료제공;열린민주당 강민정 의원실 "
87,"""곧장 4단계"" vs ""3단계+α""....역대 최악 코로나 속 '거리두기 단계' 격상 고민","당분간 1000명대 이어져…4단계 기준 충족 눈앞
""사고 나기 전에 브레이크 밟아야…지금도 늦어""
""국민 수용성 감안, 3단계에 부가조치 더 해봐야"" "
88,"숨진채 발견된 아내…""서울대 취업 기뻐했는데"" 눈물(종합)","50대 여성 노동자, 휴게실에서 숨진 채 발견
유족 ""대우받는 직장 되도록 해달라"" 흐느껴
노조 ""학교 시설물 한문으로 쓰라고 시험봐""
강압적인 인사 관리 방식 개선 등 요구해 "
89,"정부, 수도권 거리두기 격상 검토…서울만 4단계도 논의(종합)","""선제적 대응 필요성 검토…단계 상향 가능 염두""
""환자수 따른 기계적 상향보다 위험도 보고 결정""
일요일 결정?…""매일 상황 달라 사전 안내 어려워""
영국, 중환자 중심…""접종률 낮아 확진 차단 중요"" "
90,"윤석열·홍준표 ""여가부 폐지, 신중해야"" vs 유승민·하태경 ""폐지가 마땅""(종합)","윤석열 ""여가부, 업무에 변화는 있어야""
유승민 ""박원순·오거돈 때 여가부 뭐했나""
하태경 ""586 기득권 여성 보호하는 집단"" "
91,김건희씨 30% 싸게 샀는데도…‘신주인수권’ 특혜 아니라는 윤석열,"권오수 회장, 주당 278원에 인수해
원금손실 감수한채 195.9원에 넘겨

윤석열쪽 ‘특혜 부인’ 입장문 냈지만
수년 걸쳐 권회장과 거래 이유 안밝혀
금투업계 “과감한 투자, 반등 기대한듯” "
92,“회사 직원 절반이 현대백화점 방문”…비상 걸린 강남 일대,"선별 검사소 긴 대기줄
예약 취소 줄줄이 인근 상인들도 울상 "
93,‘유지’ 영어로 ‘Yuji’…김건희 논문 의혹 제기한 열린민주당,"비문, 기사·타인 논문 무단 발췌 등 지적 "
94,[단독] 성 상품화 논란 ‘누드 촬영대회’에 지자체 예산 수천만원?,"대전·창원·장흥 등 매년 천만원 안팎 지원
누드모델은 2040 여성…참가자 대다수 남성 "
95,"“현재 76명 감염” 현대백화점 무역센터점, 12일까지 휴점",코로나19 확산 고려 
96,"정부, 수도권 거리두기 선제격상 고려…서울만 단독 격상도 논의(종합)","서울, 내일 새 거리두기 기준 4단계 진입하는 첫날 될 듯
4단계 격상 땐 사실상 '통행 금지'…오후 6시 이후 2인까지만 모임 허용 "
97,"정부, 내일 오전 수도권 거리두기 조정안 발표…4단계 격상 예상(종합)","'4단계 7월12∼25일 2주간…저녁 6시 이후 2명모임은 10일부터' 문건 나돌아
김총리, 내일 오전 예고에 없던 중대본 회의 주재…오전 11시 결과 발표 "
98,"홍준표 ""무상연애에 쥴리까지…프리섹스 미국서도 치명상""","이재명-윤석열 동시저격…""후보 1,2위가 모두 스캔들에 묶여"" "
99,"신규확진 1천275명, 코로나19 사태후 '최다'…4차 대유행 본격화(종합)","지역 1천227명-해외 48명…누적 16만4천28명, 사망자 1명↑ 총 2천34명
해외유입 포함 수도권 확진자만 1천6명…서울 550명-경기 392명-인천 64명
주간 일평균 900명대, 지역발생 843명…어제 3만6천280건 검사, 양성률 3.51% "
100,국민지원금 오늘 격돌…“전국민 20만원씩” Vs “80% 선별해야”,"김 총리 국회 시정연설 이후 여야 추경안 심의
홍남기 “80% 선별지원…한정된 재원 효율적으로”
이재명 “부자가 죄인 아냐…차별 없이 20만원씩”
23일 처리, 90%까지 지급 중재안 타협 가능성도 "
101,엄마 종아리 때리고 “엎드려뻗쳐!” 子 패륜에도…母 선처 호소,"모친에 1년 넘게 가혹행위 일삼은 아들
상습특수존속상해 등 혐의로 재판
부모의 선처 호소로 집행유예 5년 "
102,"'파죽지세' 카카오게임즈, 시총 2위 등극…M&A 모멘텀 더해지나","6% 올라 8만원 돌파…시총 6조원 넘어
장 마감 후 세나테크놀로지 지분 54.5% 인수 공시
지난달 29일 출시한 ‘오딘’ 열풍도 가세 "
103,"[단독]""순순히 죽지 못해 죄송""···100개 대학가 붙은 대자보","""1년 남으셨습니다""…청년 모임, 전국 대학에 붙여 "
104,오늘 최소 1천200명 안팎 폭증 왜?…수도권 거리두기 강화될 듯,"방역 긴장감 이완-거리두기 완화-미접종 20~30대 환자 급증-델타변이 확산

761명→825명→794명→743명→711명→746명→?…어제 밤 9시까지 1천145명 "
105,"수도권 현행 거리두기 1주 연장…""상황악화땐 가장 강력한 단계 적용""(종합)","유흥시설 일주일 더 문 닫아야…카페·식당 매장 영업 오후 10시까지
'방역 완화' 오인 우려에 새 거리두기 체계 시행 추가 유예 "
106,"홍준표 ""무상연애에 쥴리까지…프리섹스 미국서도 치명상""","이재명-윤석열 동시저격…""후보 1,2위가 모두 스캔들에 묶여"" "
107,국민지원금 소득기준 맞벌이만 예외? 자식 취직한 집은 어쩌나,"꼬리에 꼬리 무는 형평성 논란…정부 ""개인 선별은 오히려 형평성 우려"" "
108,"[중국은, 왜] 균열된 갑판 땜질? 청소작업? 中항모 사진 논란","2번 항모 산둥함 갑판 균열? 청소?
인공위성 사진 공개된 뒤 갑론을박
中해군, 해명 없이 추가 사진 공개 "
109,"숨진 강서구 일가족은 기초수급자…""월세 20만원 깎아달라"" 요청도","1차 부검 결과 ""타살 혐의점 없어"" "
110,"서울시, 코로나 확산 막으려 버스, 지하철 밤 10시 이후 20% 감축운행","버스 8일, 지하철 9일부터 감축운행
음식점·카페·학원 등 종사자 ‘선제검사’ 행정명령
선별검사소 확대 "
111,개방형 사무실은 정말로 짜증을 유발했다…8분 실험 결과는?,"협업·소통 강화 위해 도입한 ‘트인 사무실’
직원들은 소음과 프라이버시 실종에 불만
8분 실험에 짜증 25%, 겨드랑이땀 34% 증가 "
112,삭은 장판·골프가방…은마아파트 2300t 쓰레기 “썩은 내 진동”,"첫날 수거된 쓰레기만 50t
일용직 노동자 8명 고군분투
“구멍, 쪽문마다 쓰레기 가득
반려동물·쥐 사체 가장 힘들어” "
113,[단독] 김건희-도이치모터스 수상한 증권거래 또 있었다,"권오수 회장, 신주인수권 51만주를
2012년 김씨에 싼값에 장외매도
김씨, 사모펀드에 팔아 82% 수익
업계 “특수관계인 아니면 불가능” "
114,"‘집단감염’ 인천 인주초, 토론수업 학급 학생 3분의 2 확진",15명 새로 추가…누적 41명으로 늘어 
115,모텔 창문 사이로 손이 슥…투숙객 성관계 장면 불법 촬영한 30대,휴대전화 사진첩에서 성관계 불법 촬영 영상 추가 확인 
116,"따돌림 당하다가 투신한 소년…마지막 쪽지엔 ""나 안 괜찮아, 도와줘""","""아들 죽음 억울함 풀어달라"" 유족 측 靑 청원
""2주 전 자해 시도했는데 담임에게 사실 안 전해"" "
117,"""배우자 몰래 불륜 방법 좀…"" 간통죄 폐지로 당당해진 男女? 시민들 '분통'","일부 온라인 카페 회원들 '불륜' 글 공유
'간통죄 폐지로 처벌 피할 수 있는 것 아니냐' 시각도
배우자 불륜으로 분통…'응징성 폭로' 이어져
전문가 ""민·형사로 이혼 책임 물을 수 있어"" "
118,"[영상] 광고 속 매력적인 22살 그녀, 사실은 가상인간 이었다",신한라이프 광고모델 버추얼 인플루언서 '로지' 화제 
119,"'국방색 비키니' 맥심, 교보문고 진열대서 한때 퇴출설","이영비 편집장 ""금지도서 됐다"" 주장
문제된 6월호는 고객 항의에 빠진 듯
교보문고 측 ""7월호는 정상 판매중"" "
120,차기정권 누가 되더라도 '집값 통제·토지공개념'에 ‘부자증세’까지 ‘與입법말뚝’,"이재명, 집값 부담 줄인 기본주택···당내서도 “땅도 없다”
이낙연, '토지공개념' 위헌 판결에도 보완해 재차 추진
유례없는 대선전 입법경쟁···차기 정부 발목 잡기 전망 "
121,'군복 비키니' 맥심 6월호...교보문고 진열대서 사라졌다 왜,"맥심 편집장 “금지 도서 됐다”
교보문고 “진열대서 잠시 뺀 것” "
122,"[단독] 공군 불륜 신고, '두 번 운 피해자' (영상)",부대 내 불륜 신고에도 처리-징계 미적 
123,수도권 거리두기 1주 연장…2030 이용시설 선제검사,"신규 확진 1212명, 수도권이 85%…""지속 시 가장 강력한 단계 검토"" "
124,"[속보] 문 대통령, 확진자 급증에 ""방역지침 위반 무관용 원칙 강력 적용""",청와대서 수도권 방역 강화 회의 주재 및 특별 지시 
125,"[속보] LG전자, 2분기 영업익 1.1조…사상 첫 분기 연속 '1조' 달성",전년比 영업이익 65% 증가 
126,"오세훈 ""백신 더 많이 빨리""…학원·노래방 등 '선제검사'",서울시 긴급대책…지하철·버스 10시 이후 20% 감축 
127,"오늘 신규 확진 1천 명대…서울서만 5백 명 넘어 ""역대 최대치 근접""",MBC뉴스는 24시간 여러분의 제보를 기다립니다. 
128,"""내 통장에 웬 15억""…오송금 된 돈으로 호화생활 30대男의 최후","""도박으로 딴 상금인 줄…은행서 계좌는 정상 답변""
러 법원 ""은행 기술 오작동 이용한 절도""…징역 6년 "
129,"""너무 잘생겼잖아""…모녀 덮친 과속운전 20대男에 감형 요구 '논란'","美법원, 살인죄로 징역 24년 선고 "
130,인천 10억·경기 20억…서울이 우스운 수도권 집값 [부동산360],"인천 청라 ‘10억 클럽’ 아파트 등장
경기도 과천·판교는 20억원대 두드려
다산신도시·시흥·용인에서도 10억원대 거래 증가
올해 1분기 수도권 아파트 구입은 ‘역대급 난제’ "
131,단골 손님이 안 오네요 ㅠㅠ… ‘전기차 시대’ 정비업계 울상,"부품, 내연기관 70%… 매출 반토막
차량 장치 단순 큰 고장 거의 없어
본격적 보급 생각하면 살길 막막 "
132,통화됐다던 80대 매몰 여성...숨진 채 발견,"""휴대전화 통화 연결돼 생존으로 판단""
""실제는 자녀가 휴대전화 보관""
구조대 9시간 사투 끝에 발견...사인 조사 "
133,"고액자산가 ""올 여름에는 韓주식""...매수 1순위는","삼성증권, 금융자산 10억이상 고액자산가 설문조사
""64%는 서머랠리 기대...코스피 3,400선 전망""
매수 1순위는 삼성전자,SK하이닉스,네이버 "
134,"방에 몰래 코브라 뱀 풀었다, 인도 악습 신부지참금의 비극","세계은행 리서치그룹, 인도 농촌 결혼 4만 건 분석
95% 지참금 지급…男 평균 67달러·女평균 429달러
BBC ""여성 가정폭력·죽음에 취약하게 만드는 요인""
'지참금 불만' 남편, 부인 불태우거나 독살하기도 "
135,"""화이자 백신 예방효능 델타 변이 확산 후 94%→64% 하락""","신규 감염자 중 55% 돌파 감염 사례, 나머지는 학생층
이스라엘 델타 변이 4월 확인…최근 신규 감염자 90% 가량
이스라엘 보건부 관리 ""고령층 등 추가 접종 고려해야"" "
136,"""안 괜찮아, 도와줘"" 쪽지 남기고 극단 선택 고교생...부모, 학교 폭력 신고","A 군 부모, 국민청원에 진상 규명 요구
""사건 2주 전 자해 시도 교사가 알렸다면…""
학교 폭력 사안 신고…따돌림 주도 4명 고소 "
137,"""충전 끝나니 8만원 결제""…테슬라 차주에게 벌어진 황당한 일","테슬라 '점거 수수료' 둘러싼 논란
차주들 ""관련 내용 고지 못받았다"" 주장
사측 ""첫번째 수수료 발생건은 면제 조치"" "
138,"[단독] 신세계그룹, 이마트 본사건물 판다","e커머스 전쟁위한 '실탄' 충전
매각 후 재임대로 1조원 조달 "
